Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1930,-999,-999,-999,10.4,16.01,11.43,4.06,0.29,0.42,5.52,20.53,7.46,4.68,0.11,5.51,4.57,6.26,5.27,19.1,0.23,1.47,0.0,0.81,0.33,7.43,17.93,0.62,4.2,0.12,2.59,0.0,3.59,0.84,0.01,0.41,2.54,15.01,0.06,1.09,0.0,7.62,1.07,5.58,22.94,0.42,3.21,0.0,0.01,0.47,1.52,0.0
1931,-999,-999,-999,8.18,12.43,13.1,8.23,0.14,0.42,1.33,23.99,11.18,4.24,0.16,5.35,4.6,7.9,6.33,18.02,0.56,0.0,0.25,1.75,4.1,7.36,10.07,0.39,2.15,0.72,3.92,0.0,0.67,0.04,1.76,0.73,1.49,13.02,0.06,1.15,0.0,8.48,5.68,2.88,14.56,2.5,1.63,0.16,0.01,3.48,0.75,0.24
1932,-999,-999,-999,15.58,17.16,19.21,4.56,0.03,0.06,0.7,24.83,11.47,1.46,0.07,1.98,1.86,4.35,3.64,31.06,0.06,0.87,0.0,0.37,0.68,3.2,19.47,0.0,2.23,0.17,1.94,0.0,0.69,0.39,1.16,0.12,0.29,9.6,0.03,1.14,0.0,8.94,1.21,3.09,21.82,1.16,1.06,0.0,0.01,1.39,0.02,0.0
1933,-999,-999,-999,6.7,9.82,24.04,7.69,0.03,0.06,3.82,25.2,5.37,0.43,0.07,2.56,2.9,7.78,3.58,24.17,0.97,0.43,0.0,0.77,0.56,5.49,10.12,0.44,1.59,0.07,1.48,0.0,2.03,0.21,1.29,0.85,1.03,15.07,0.06,1.37,0.0,5.41,1.22,1.45,19.98,1.09,0.8,0.0,0.05,0.62,0.16,0.0
1934,-999,-999,-999,8.51,22.72,20.48,10.0,0.46,0.06,3.62,21.65,6.75,7.01,0.07,10.22,6.87,23.99,4.18,22.69,0.23,0.87,0.0,0.38,1.4,24.21,18.5,0.47,5.06,0.26,9.83,0.0,1.38,0.43,0.74,0.29,1.97,29.28,0.03,1.0,0.0,7.24,2.94,7.4,27.46,0.97,1.43,0.0,0.01,1.33,0.48,0.05
1935,-999,-999,-999,7.64,11.68,12.33,10.49,0.3,0.06,1.96,20.89,4.36,3.3,0.07,4.53,1.92,9.26,2.22,20.42,0.23,1.28,0.0,0.21,0.68,7.34,13.66,0.14,2.62,0.16,3.95,0.0,1.5,0.54,0.34,0.08,0.58,12.38,0.4,1.0,0.0,6.07,2.13,3.3,15.41,0.41,0.64,0.0,0.31,0.23,0.07,0.0
1936,-999,-999,-999,8.3,19.35,20.73,14.96,0.89,0.06,1.96,33.23,8.45,7.15,0.08,13.13,9.66,20.73,11.42,22.94,0.17,0.43,0.0,1.06,3.35,23.65,21.72,0.76,3.25,2.64,10.08,0.0,2.15,0.39,1.28,0.9,2.39,33.03,0.02,0.39,0.0,11.65,7.43,8.62,16.96,1.3,1.74,0.0,0.01,2.23,0.56,0.17
1937,-999,-999,-999,3.51,7.13,21.68,14.31,0.33,0.78,4.24,22.6,3.35,1.99,0.13,1.54,1.23,8.93,1.02,16.25,0.59,0.87,0.0,0.21,0.97,3.14,6.99,0.12,1.02,0.34,4.13,0.0,2.12,0.12,1.41,0.55,0.33,18.5,0.06,0.43,0.0,3.27,2.11,1.61,22.68,1.35,0.26,0.37,0.06,0.83,0.16,0.0
1938,-999,-999,-999,1.64,3.83,14.72,11.12,0.0,0.42,1.12,18.63,1.71,1.98,0.03,1.57,1.23,6.29,2.37,12.47,0.64,0.0,0.0,0.69,0.79,3.99,6.51,0.0,1.04,0.14,2.74,0.0,0.91,0.05,0.0,0.59,0.19,6.88,0.36,1.14,1.0,3.13,1.25,0.7,12.94,0.76,0.39,0.0,0.06,0.46,0.0,0.0
1939,-999,-999,-999,2.2,7.79,18.15,11.54,0.0,0.42,1.34,21.02,1.93,1.93,0.03,2.14,0.72,7.74,2.4,18.86,0.42,0.87,0.0,0.79,0.41,4.24,11.09,0.14,1.07,0.0,4.09,0.0,1.55,0.46,1.01,0.29,0.31,8.73,0.62,0.26,0.0,3.2,0.96,1.73,18.05,1.44,0.94,0.0,0.06,0.24,0.15,0.0
