Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1930,4.09,-999,-999,3.02,4.41,0.15,0.57,0.52,0.16,1.12,5.2,2.59,1.1,0.0,0.66,0.38,1.53,0.71,4.98,0.07,0.73,1.44,0.17,0.45,1.39,2.82,0.09,1.01,0.1,0.81,0.22,1.64,0.39,0.0,0.34,0.13,1.68,0.29,0.39,-999.0,1.02,0.48,2.11,1.9,0.04,0.48,0.5,0.57,0.6,0.05,0.11
1931,3.07,-999,-999,2.2,3.23,0.36,1.28,0.1,1.2,0.99,3.36,1.85,1.91,0.0,1.91,1.42,1.44,0.81,4.33,2.02,0.0,0.22,0.56,0.71,2.24,3.15,0.01,2.69,0.08,0.51,1.51,0.45,0.15,0.03,0.4,0.89,1.63,0.78,0.8,-999.0,1.62,0.33,1.5,1.47,0.01,1.29,0.34,1.76,0.81,0.5,0.08
1932,3.91,-999,-999,4.64,3.74,0.08,0.51,0.13,5.32,3.0,2.75,4.25,1.39,0.02,1.09,2.36,1.08,2.73,6.4,2.32,2.13,1.87,0.78,0.41,1.74,7.0,0.08,3.45,0.48,0.64,2.46,3.5,0.53,0.0,1.76,0.74,2.45,0.89,0.72,-999.0,3.51,0.42,4.04,2.99,0.18,1.95,0.57,2.26,0.7,1.07,0.08
1933,4.34,-999,-999,3.49,3.97,0.0,1.05,0.16,1.26,2.94,6.41,2.76,1.18,0.0,1.12,1.5,1.17,2.6,5.7,1.85,2.3,1.34,0.54,0.66,1.73,4.28,0.34,0.99,0.18,0.77,1.32,2.63,0.57,0.08,0.9,1.1,2.2,1.43,1.26,-999.0,1.76,0.52,3.75,1.75,0.02,1.26,0.7,2.62,0.65,1.09,0.21
1934,3.93,-999,-999,4.3,3.5,0.04,0.64,0.05,3.25,2.41,3.73,3.23,0.8,0.0,1.08,1.0,0.66,2.7,5.71,1.74,1.72,1.26,0.23,0.34,1.34,4.57,0.1,3.46,0.13,0.28,2.82,2.51,0.13,0.0,0.58,0.7,1.8,0.68,1.11,-999.0,1.99,0.27,2.46,1.56,0.07,2.46,0.5,1.33,1.08,0.83,0.0
1935,5.0,-999,-999,3.5,4.4,0.05,0.69,0.15,1.5,3.41,3.3,1.91,1.46,0.0,1.65,1.16,1.72,3.36,5.12,1.54,2.15,0.58,0.46,0.66,2.51,5.16,0.08,2.11,0.34,0.92,0.42,3.08,0.15,0.0,1.07,1.26,2.85,0.35,1.24,-999.0,3.16,0.17,2.93,2.83,0.01,2.11,0.4,1.49,0.87,1.06,0.08
1936,2.62,-999,-999,5.43,3.03,0.1,1.43,0.43,3.77,5.83,4.93,5.11,1.06,0.0,1.41,1.03,0.79,1.74,3.14,1.96,1.6,1.54,0.3,0.45,2.02,3.11,0.01,4.78,0.06,0.32,1.27,2.81,0.33,0.05,0.65,0.61,1.64,0.93,1.03,-999.0,4.58,0.15,3.53,2.3,0.01,2.26,0.14,1.43,0.52,1.27,0.0
1937,4.6,-999,-999,5.32,4.44,0.04,1.93,0.03,3.52,1.53,6.2,2.91,0.95,0.06,1.45,2.77,0.84,2.33,4.13,2.41,2.74,2.52,0.61,0.83,1.73,2.45,0.22,1.93,0.44,0.45,5.12,1.36,0.49,0.04,1.07,1.59,1.56,1.94,1.69,-999.0,2.25,0.59,3.59,1.55,0.07,3.38,0.14,2.34,0.65,1.18,0.1
1938,3.56,-999,-999,4.41,4.63,0.21,1.28,0.35,5.28,3.53,2.98,2.82,1.84,0.0,1.64,1.75,2.23,1.98,4.62,3.77,2.28,1.03,0.63,0.64,2.18,3.52,0.13,1.93,0.26,0.75,1.5,3.89,0.3,0.0,1.06,0.89,2.43,1.05,0.89,-999.0,2.67,0.48,2.45,2.01,0.08,1.81,1.33,0.89,1.92,0.64,0.03
1939,4.29,-999,-999,4.65,4.27,0.3,0.69,0.04,1.5,1.93,3.67,2.28,0.9,0.0,1.63,1.7,0.82,2.28,3.32,1.27,0.74,0.41,0.36,0.57,1.55,3.7,0.02,2.15,0.26,0.47,0.74,1.16,0.0,0.07,0.23,0.94,1.26,0.71,0.59,-999.0,2.08,0.54,2.61,1.31,0.0,1.9,0.0,0.83,0.65,0.7,0.04
