Year,CONUS
1900,81.24
1901,70.74
1902,70.39
1903,65.28
1904,64.39
1905,76.88
1906,75.43
1907,66.16
1908,72.57
1909,71.25
1910,69.86
1911,79.71
1912,70.45
1913,72.88
1914,75.71
1915,64.18
1916,72.37
1917,59.74
1918,71.98
1919,80.34
1920,68.84
1921,84.82
1922,77.47
1923,71.99
1924,59.49
1925,76.25
1926,72.22
1927,70.21
1928,67.78
1929,73.19
1930,72.91
1931,79.42
1932,73.34
1933,82.23
1934,79.49
1935,75.78
1936,82.85
1937,78.73
1938,79.98
1939,80.97
1940,69.15
1941,81.58
1942,75.14
1943,74.75
1944,75.64
1945,70.4
1946,70.04
1947,73.49
1948,71.09
1949,77.8
1950,66.81
1951,68.32
1952,69.24
1953,72.81
1954,77.77
1955,79.56
1956,72.61
1957,74.57
1958,70.87
1959,81.47
1960,70.6
1961,71.04
1962,72.33
1963,73.96
1964,72.48
1965,71.86
1966,67.62
1967,64.14
1968,66.72
1969,71.17
1970,76.17
1971,73.54
1972,69.94
1973,75.61
1974,66.24
1975,74.5
1976,61.61
1977,78.1
1978,72.85
1979,67.75
1980,72.45
1981,70.83
1982,69.94
1983,73.43
1984,72.58
1985,70.81
1986,75.63
1987,72.54
1988,69.88
1989,71.61
1990,75.64
1991,84.83
1992,60.72
1993,69.27
1994,71.71
1995,75.36
1996,72.14
1997,68.38
1998,83.8
1999,70.6
2000,74.74
2001,74.21
2002,82.07
2003,72.66
2004,73.05
2005,78.86
2006,75.43
2007,82.67
2008,68.69
2009,67.93
2010,81.06
2011,77.55
2012,81.32
2013,76.9
2014,73.31
2015,82.3
2016,83.6
2017,76.08
2018,90.93
2019,80.54
2020,80.07
2021,85.68
2022,82.09
2023,78.06
2024,83.26
