Year,CONUS
1930,43.09
1931,51.73
1932,39.31
1933,49.91
1934,53.64
1935,39.42
1936,56.91
1937,46.92
1938,42.59
1939,48.85
1940,39.82
1941,40.75
1942,35.58
1943,43.76
1944,40.35
1945,36.26
1946,33.84
1947,40.62
1948,39.64
1949,36.37
1950,27.58
1951,37.8
1952,47.98
1953,48.08
1954,50.4
1955,45.12
1956,44.77
1957,34.68
1958,36.33
1959,39.84
1960,40.22
1961,34.55
1962,36.47
1963,40.48
1964,38.88
1965,29.71
1966,34.97
1967,28.28
1968,32.05
1969,35.88
1970,40.29
1971,33.79
1972,33.47
1973,33.3
1974,33.09
1975,31.51
1976,30.22
1977,40.28
1978,39.59
1979,30.75
1980,46.66
1981,34.95
1982,30.52
1983,42.24
1984,35.32
1985,34.78
1986,36.15
1987,37.52
1988,47.23
1989,32.11
1990,39.05
1991,36.4
1992,24.2
1993,31.34
1994,32.26
1995,36.67
1996,32.57
1997,31.85
1998,43.0
1999,35.92
2000,40.95
2001,37.01
2002,42.84
2003,35.17
2004,25.88
2005,40.08
2006,42.21
2007,38.55
2008,32.19
2009,30.44
2010,41.9
2011,46.16
2012,47.45
2013,33.76
2014,29.75
2015,36.59
2016,39.92
2017,34.27
2018,41.03
2019,35.77
2020,39.46
2021,39.18
2022,46.41
2023,39.65
2024,43.49
