Year,CONUS
1930,11.27
1931,8.88
1932,5.88
1933,8.93
1934,15.85
1935,7.17
1936,18.59
1937,9.17
1938,7.4
1939,9.53
1940,6.98
1941,4.64
1942,5.22
1943,8.57
1944,6.36
1945,5.11
1946,6.54
1947,8.36
1948,6.09
1949,4.5
1950,4.02
1951,7.66
1952,9.8
1953,9.25
1954,13.34
1955,5.89
1956,8.93
1957,5.93
1958,5.59
1959,5.3
1960,6.79
1961,4.71
1962,5.77
1963,6.23
1964,6.52
1965,3.47
1966,5.52
1967,4.41
1968,3.48
1969,6.87
1970,6.41
1971,5.15
1972,3.75
1973,4.51
1974,5.84
1975,3.59
1976,3.97
1977,6.14
1978,7.78
1979,4.42
1980,12.36
1981,5.52
1982,3.97
1983,7.53
1984,5.16
1985,6.23
1986,5.02
1987,4.76
1988,8.0
1989,4.53
1990,6.32
1991,4.06
1992,3.06
1993,3.92
1994,5.29
1995,5.23
1996,5.48
1997,3.78
1998,8.86
1999,5.53
2000,9.71
2001,6.78
2002,6.3
2003,7.51
2004,3.39
2005,5.65
2006,8.06
2007,6.14
2008,5.03
2009,5.83
2010,5.9
2011,11.61
2012,10.29
2013,5.25
2014,4.35
2015,5.35
2016,5.34
2017,5.25
2018,6.3
2019,5.17
2020,6.68
2021,6.34
2022,10.05
2023,10.29
2024,8.73
