Year,CONUS
1900,9.83
1901,10.34
1902,9.76
1903,10.7
1904,13.19
1905,13.62
1906,9.6
1907,9.51
1908,6.97
1909,11.38
1910,9.59
1911,9.49
1912,15.35
1913,10.28
1914,12.92
1915,6.76
1916,15.83
1917,17.74
1918,13.97
1919,11.29
1920,10.02
1921,5.62
1922,11.78
1923,9.16
1924,14.0
1925,8.55
1926,8.0
1927,9.46
1928,6.77
1929,14.21
1930,10.3
1931,3.89
1932,10.23
1933,8.76
1934,7.92
1935,8.96
1936,15.61
1937,11.89
1938,6.82
1939,7.3
1940,11.11
1941,5.42
1942,9.56
1943,11.18
1944,7.31
1945,9.34
1946,6.87
1947,7.83
1948,12.93
1949,10.96
1950,12.19
1951,12.17
1952,7.5
1953,4.38
1954,6.44
1955,11.87
1956,8.21
1957,9.05
1958,10.14
1959,9.77
1960,10.8
1961,9.92
1962,13.57
1963,16.16
1964,8.75
1965,10.31
1966,10.81
1967,9.58
1968,11.88
1969,9.03
1970,12.46
1971,11.11
1972,13.54
1973,7.88
1974,8.79
1975,9.43
1976,11.69
1977,14.05
1978,16.01
1979,15.63
1980,10.37
1981,8.09
1982,13.94
1983,9.1
1984,9.83
1985,14.6
1986,6.85
1987,5.62
1988,11.3
1989,14.86
1990,6.79
1991,7.38
1992,5.65
1993,10.64
1994,11.74
1995,7.74
1996,12.85
1997,8.1
1998,4.91
1999,5.09
2000,8.76
2001,6.26
2002,4.8
2003,9.57
2004,9.05
2005,8.14
2006,3.39
2007,9.23
2008,9.86
2009,10.37
2010,6.7
2011,8.95
2012,3.84
2013,8.96
2014,13.74
2015,11.47
2016,5.86
2017,6.56
2018,8.28
2019,9.95
2020,4.52
2021,5.89
2022,10.99
2023,4.55
2024,4.6
