Year,CONUS
1930,0.86
1931,0.02
1932,0.28
1933,1.15
1934,0.27
1935,0.63
1936,2.72
1937,1.02
1938,0.27
1939,0.67
1940,0.23
1941,0.08
1942,0.35
1943,0.87
1944,0.14
1945,0.16
1946,0.13
1947,0.1
1948,0.67
1949,0.79
1950,1.15
1951,0.92
1952,0.29
1953,0.07
1954,0.64
1955,0.24
1956,0.23
1957,0.49
1958,0.1
1959,0.34
1960,0.11
1961,0.1
1962,0.74
1963,0.75
1964,0.18
1965,0.3
1966,0.72
1967,0.5
1968,0.54
1969,0.36
1970,0.63
1971,0.39
1972,1.09
1973,0.26
1974,0.43
1975,0.09
1976,0.25
1977,0.63
1978,0.34
1979,0.95
1980,0.16
1981,0.11
1982,0.94
1983,0.95
1984,0.3
1985,0.62
1986,0.1
1987,0.08
1988,0.38
1989,1.28
1990,0.75
1991,0.06
1992,0.08
1993,0.22
1994,0.99
1995,0.05
1996,1.82
1997,0.28
1998,0.12
1999,0.04
2000,0.03
2001,0.03
2002,0.03
2003,0.07
2004,0.28
2005,0.31
2006,0.06
2007,0.08
2008,0.14
2009,0.34
2010,0.14
2011,0.21
2012,0.01
2013,0.15
2014,0.21
2015,0.09
2016,0.09
2017,0.15
2018,0.16
2019,0.53
2020,0.03
2021,0.57
2022,0.46
2023,0.09
2024,0.35
