Year,CONUS
1900,3.14
1901,9.63
1902,4.41
1903,1.79
1904,2.01
1905,2.85
1906,2.33
1907,3.23
1908,2.76
1909,4.25
1910,5.06
1911,7.42
1912,3.44
1913,9.24
1914,6.61
1915,2.5
1916,4.65
1917,5.39
1918,8.32
1919,3.59
1920,2.19
1921,4.37
1922,5.43
1923,3.08
1924,6.32
1925,9.21
1926,5.22
1927,3.65
1928,3.9
1929,4.55
1930,11.01
1931,8.38
1932,5.08
1933,7.96
1934,15.34
1935,6.03
1936,18.17
1937,7.42
1938,5.84
1939,8.2
1940,5.66
1941,3.64
1942,3.66
1943,7.34
1944,5.17
1945,3.59
1946,4.78
1947,7.03
1948,4.27
1949,2.57
1950,2.39
1951,5.54
1952,8.45
1953,7.45
1954,12.46
1955,4.75
1956,7.07
1957,3.97
1958,3.2
1959,3.29
1960,4.58
1961,3.02
1962,3.88
1963,4.43
1964,4.92
1965,1.9
1966,3.97
1967,2.8
1968,2.14
1969,4.89
1970,4.81
1971,3.49
1972,2.31
1973,2.86
1974,4.04
1975,1.82
1976,2.57
1977,4.06
1978,5.48
1979,2.41
1980,10.34
1981,3.47
1982,2.33
1983,5.82
1984,3.42
1985,4.26
1986,3.36
1987,3.05
1988,6.46
1989,2.67
1990,4.65
1991,2.53
1992,1.47
1993,2.56
1994,3.54
1995,3.78
1996,3.49
1997,1.98
1998,6.5
1999,3.93
2000,7.85
2001,4.56
2002,4.49
2003,5.46
2004,1.95
2005,3.83
2006,6.18
2007,4.44
2008,3.25
2009,3.8
2010,4.25
2011,9.14
2012,8.39
2013,3.5
2014,2.91
2015,3.51
2016,3.39
2017,3.41
2018,3.87
2019,3.58
2020,4.46
2021,4.35
2022,7.52
2023,7.62
2024,6.15
