Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,35.58,31.74,35.12,42.67,52.5,47.99,38.13,31.67,41.94
1901,34.91,31.0,34.06,40.7,50.03,45.74,37.88,30.51,41.47
1902,34.91,29.39,33.17,41.54,51.7,46.73,37.4,31.23,40.57
1903,34.62,28.8,32.76,40.68,50.34,46.56,36.04,29.38,39.96
1904,32.02,29.11,34.31,39.47,50.56,44.84,37.24,28.09,41.37
1905,33.61,29.52,33.29,40.74,51.47,46.53,37.67,30.78,40.56
1906,35.15,30.36,34.56,41.97,51.55,47.69,37.72,31.32,41.55
1907,33.13,29.1,33.91,41.23,52.18,46.33,38.39,29.68,41.31
1908,34.71,30.49,33.48,42.15,52.29,47.18,36.58,31.88,39.76
1909,34.73,29.13,33.01,41.56,51.75,46.56,36.97,30.54,40.85
1910,34.88,30.78,33.75,40.77,50.68,46.17,38.67,30.57,41.1
1911,35.26,29.33,31.85,43.25,53.48,48.07,37.76,31.21,38.98
1912,33.76,29.23,33.31,39.93,50.76,46.4,35.49,30.62,39.45
1913,36.24,29.38,32.75,42.7,51.82,47.79,36.08,30.97,39.92
1914,33.16,30.42,34.05,41.69,51.45,46.16,38.2,30.49,41.36
1915,35.63,30.36,34.5,41.83,51.35,46.64,36.67,31.24,40.89
1916,34.29,28.36,31.15,40.9,51.21,46.57,36.87,29.76,39.23
1917,32.32,27.46,32.96,38.28,49.29,44.65,36.12,27.41,39.49
1918,33.94,30.56,34.29,41.25,51.72,46.71,37.56,31.29,40.71
1919,35.67,29.68,32.36,42.28,52.42,47.68,36.89,31.38,39.92
1920,34.23,30.15,33.5,41.13,51.28,46.06,36.85,30.41,40.16
1921,36.72,31.97,33.91,45.03,53.59,48.92,38.65,34.1,41.56
1922,35.22,29.28,31.76,42.74,53.35,48.4,37.14,31.77,39.79
1923,33.6,30.44,33.54,41.94,52.34,47.29,37.0,30.27,39.82
1924,33.14,28.34,32.64,39.64,50.29,45.53,35.87,29.14,39.68
1925,34.46,31.28,35.52,41.7,52.48,47.54,37.75,30.34,41.25
1926,32.69,31.26,35.16,41.1,51.4,46.44,38.02,29.1,42.33
1927,35.3,29.33,34.03,42.48,53.26,47.91,38.22,30.35,41.03
1928,35.22,30.25,33.76,41.55,51.25,46.66,37.51,31.26,40.9
1929,34.58,28.46,31.38,40.62,51.85,47.38,36.34,30.1,39.95
1930,35.29,31.09,32.61,41.87,51.49,46.68,36.53,32.41,40.22
1931,37.19,32.55,33.66,44.73,52.31,47.59,37.78,35.53,41.77
1932,35.85,29.68,32.74,42.15,52.46,48.19,36.37,30.83,39.9
1933,35.63,31.19,33.34,43.38,53.34,48.41,37.0,31.24,39.73
1934,33.83,32.95,37.02,42.42,52.12,47.18,39.59,31.42,43.35
1935,34.3,30.11,32.79,42.36,52.17,47.25,37.98,30.96,40.49
1936,34.52,29.64,33.46,41.41,51.74,47.13,38.29,29.93,41.61
1937,36.1,30.76,33.36,41.37,51.86,47.14,37.19,31.06,40.45
1938,35.95,31.91,34.89,43.76,52.61,48.08,37.99,32.86,41.35
1939,34.85,31.28,34.64,42.84,52.29,47.89,37.53,31.79,41.49
1940,33.45,31.4,36.26,40.38,49.73,45.27,38.97,30.91,42.98
1941,35.09,32.43,35.87,43.29,52.31,46.84,38.2,33.62,41.68
1942,35.68,30.41,33.61,42.22,50.99,47.2,36.7,31.98,40.43
1943,34.03,29.92,33.46,40.95,50.96,46.28,38.13,29.75,41.52
1944,35.08,29.98,33.32,42.28,51.93,46.71,36.46,32.76,39.45
1945,35.3,29.55,34.26,41.56,52.0,47.81,36.81,30.36,40.87
1946,35.35,31.26,33.96,43.15,52.99,47.97,37.83,31.69,40.36
1947,35.26,30.55,34.77,41.71,51.37,46.57,37.33,31.31,40.72
1948,34.58,29.71,32.71,41.62,51.77,47.45,36.41,30.68,38.93
1949,37.08,28.95,32.1,43.05,52.67,48.97,36.42,32.07,39.12
1950,34.82,28.81,33.64,40.7,51.48,47.14,37.25,29.15,41.64
