Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1965,63.96,0.0,0.02,2.5,0.63,18.12,5.58,0.0,-999,0.0,20.81,5.2,7.02,8.77,2.43,4.31,0.0,9.58,1.19,24.15,12.25,49.81,3.89,0.0,30.5,0.1,61.64,15.71,25.84,2.19,4.14,4.33,16.26,7.17,0.0,0.1,7.08,7.16,0.0,36.9,0.7,0.0,4.46,1.56,21.64,0.0,29.77,5.36,25.5
1966,73.41,1.21,0.71,7.14,0.52,23.32,3.69,0.0,-999,0.6,23.91,6.56,7.04,5.93,7.75,3.06,0.0,6.19,0.84,19.19,11.77,55.32,4.03,0.71,29.03,0.54,61.99,18.93,23.16,0.95,5.88,4.6,15.45,6.26,0.39,0.1,7.22,1.64,0.28,39.93,1.67,0.33,7.61,1.29,22.12,0.25,34.81,7.07,27.17
1967,54.46,0.0,0.0,6.16,0.53,14.53,5.33,0.0,-999,0.0,16.3,5.95,5.69,5.18,1.79,1.59,0.0,8.22,1.26,32.64,13.55,49.32,1.8,0.0,19.08,0.15,54.89,8.66,32.19,2.56,5.14,2.49,19.4,4.43,0.0,0.76,4.33,3.08,0.0,27.53,0.0,0.0,9.21,2.13,27.23,0.36,30.13,3.31,23.28
1968,62.76,0.0,0.09,7.6,1.0,20.76,10.42,0.0,-999,0.0,19.79,7.01,8.62,8.21,4.8,2.69,0.0,15.48,2.27,48.3,14.07,41.69,4.66,0.0,24.84,0.01,49.16,13.58,40.67,3.08,3.55,3.39,29.72,8.28,0.61,1.75,11.43,8.27,0.0,27.46,0.0,0.0,9.6,2.21,40.18,2.56,26.85,7.23,26.36
1969,54.83,0.0,0.0,2.36,0.74,15.58,1.61,0.0,-999,0.0,19.16,6.34,5.38,4.78,1.79,0.1,0.0,4.87,0.2,30.3,6.61,44.27,1.9,0.0,33.51,0.01,60.1,12.6,21.7,0.15,3.71,2.22,14.85,3.29,0.0,1.97,3.49,0.49,0.0,34.91,0.08,0.0,3.44,0.49,21.12,4.5,28.44,2.98,24.23
1970,58.6,0.54,0.56,3.13,1.03,13.17,5.18,0.0,-999,0.29,23.15,4.56,11.96,12.22,3.1,7.96,0.0,13.82,1.93,39.51,15.27,55.59,6.86,0.0,24.91,1.11,63.85,14.43,37.46,2.19,7.51,4.14,27.93,10.47,0.0,0.68,12.01,3.42,0.13,37.24,3.64,0.0,4.45,3.65,40.86,0.56,36.64,6.45,22.12
1971,74.52,0.0,0.14,7.09,1.75,16.02,8.08,0.0,-999,0.0,19.88,6.86,8.4,7.33,4.92,2.5,0.0,12.37,1.09,39.55,11.21,48.09,3.69,0.17,28.21,0.05,57.73,12.03,31.19,1.65,9.7,8.16,20.58,6.33,0.0,0.68,5.96,7.5,0.0,33.79,0.93,0.27,9.13,0.75,27.56,1.07,32.39,2.52,24.67
1972,68.42,0.0,0.11,3.5,7.74,20.88,3.77,0.0,-999,0.0,31.62,16.38,11.21,8.35,9.11,1.9,0.0,7.07,0.67,43.78,17.14,61.37,5.11,0.0,32.61,0.26,67.94,23.08,33.35,1.07,6.35,10.83,19.51,7.91,0.61,6.8,6.87,2.7,0.0,41.13,0.93,0.0,9.51,1.77,25.72,8.83,44.34,2.85,31.78
1973,61.18,0.0,0.09,3.04,0.19,20.18,3.98,0.0,-999,0.0,15.29,7.85,4.42,1.89,4.04,0.0,0.0,6.24,0.26,24.05,7.54,30.66,3.73,0.0,20.36,0.01,36.28,12.36,23.8,0.39,7.67,4.17,17.54,1.92,0.77,0.84,3.73,0.11,0.0,20.03,0.0,0.19,12.83,0.91,22.01,1.88,21.46,0.87,26.72
1974,62.1,0.0,0.02,3.12,2.47,24.49,3.28,0.0,-999,0.0,15.04,12.07,6.21,3.9,7.68,0.0,0.0,6.79,0.05,27.96,10.26,34.36,5.55,0.0,16.72,0.01,46.04,13.78,24.6,0.87,12.16,5.17,14.85,3.52,0.0,3.8,2.19,1.25,0.0,21.66,0.0,0.0,10.15,0.26,19.14,6.02,24.92,0.42,22.49
1975,68.51,0.0,0.02,5.1,0.85,22.01,2.62,0.0,-999,0.0,16.74,7.74,3.2,1.37,2.55,0.0,0.0,6.95,0.2,32.83,5.24,50.61,1.49,0.0,29.71,0.01,59.07,12.63,29.73,0.15,11.22,3.92,12.59,1.42,0.0,0.39,2.23,2.66,0.0,30.83,0.0,0.0,6.48,0.47,20.36,0.83,27.95,1.47,29.71
