Year,CONUS
1930,17.02
1931,21.0
1932,18.15
1933,19.39
1934,23.5
1935,18.57
1936,24.61
1937,18.73
1938,17.19
1939,18.0
1940,14.91
1941,19.96
1942,16.24
1943,20.24
1944,16.29
1945,15.47
1946,14.41
1947,17.61
1948,14.79
1949,18.42
1950,11.2
1951,16.78
1952,19.71
1953,19.36
1954,20.57
1955,18.17
1956,14.29
1957,16.44
1958,16.94
1959,17.22
1960,14.89
1961,12.08
1962,13.8
1963,14.79
1964,17.14
1965,12.84
1966,14.96
1967,10.98
1968,15.23
1969,16.79
1970,17.53
1971,13.29
1972,12.62
1973,14.39
1974,11.95
1975,13.62
1976,8.98
1977,18.89
1978,17.02
1979,13.36
1980,20.95
1981,16.61
1982,15.2
1983,17.82
1984,13.18
1985,14.95
1986,18.97
1987,17.72
1988,19.74
1989,16.53
1990,18.71
1991,20.62
1992,12.72
1993,18.81
1994,15.85
1995,19.86
1996,17.55
1997,16.67
1998,24.24
1999,20.28
2000,19.95
2001,20.42
2002,21.42
2003,18.85
2004,15.44
2005,21.07
2006,21.21
2007,20.11
2008,17.5
2009,17.23
2010,27.13
2011,25.96
2012,22.0
2013,19.48
2014,17.37
2015,21.21
2016,25.24
2017,19.22
2018,24.57
2019,20.49
2020,20.93
2021,21.64
2022,26.02
2023,21.38
2024,24.49
