Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1980,55.57,51.81,46.36,63.49,69.52,64.43,56.08,54.86,54.79
1981,55.73,52.01,47.37,62.83,69.28,65.43,57.5,55.27,57.36
1982,53.6,51.48,48.58,60.51,68.11,64.45,55.68,52.58,55.66
1983,55.9,53.82,48.15,63.53,68.18,64.06,55.67,57.54,55.22
1984,56.46,52.9,47.67,61.84,67.2,64.43,56.35,55.85,57.2
1985,54.2,50.44,48.11,60.65,67.88,63.95,56.14,52.15,57.04
1986,54.6,52.33,48.89,62.25,68.93,65.73,56.75,54.16,57.04
1987,56.29,52.02,47.74,63.67,68.92,66.16,55.19,56.62,55.68
1988,56.38,54.48,48.08,62.27,67.75,64.12,57.27,56.86,57.3
1989,56.4,52.34,47.99,62.13,67.92,65.86,56.0,54.93,55.84
1990,56.6,52.4,49.38,61.91,68.23,64.97,56.59,55.09,56.93
1991,56.51,53.7,48.18,63.27,68.85,66.19,55.76,56.85,55.77
1992,53.93,49.43,49.31,59.56,67.15,64.24,54.82,50.77,56.82
1993,56.13,49.53,45.55,63.57,69.5,65.67,54.84,55.13,54.17
1994,57.14,51.81,48.47,61.76,68.27,65.76,58.21,54.43,57.62
1995,57.26,52.25,46.92,64.36,68.66,66.09,55.38,58.2,54.87
1996,56.35,52.07,48.12,61.69,68.16,64.68,57.8,54.74,57.93
1997,54.65,53.05,48.32,61.47,67.81,63.22,56.1,54.76,56.27
1998,56.54,52.93,49.83,63.53,70.56,65.81,56.18,55.81,56.31
1999,57.03,52.29,47.3,63.02,69.35,65.71,56.38,56.67,54.97
2000,55.17,52.63,48.0,62.31,68.48,64.86,57.94,54.77,56.93
2001,56.26,53.79,48.3,62.62,68.95,64.89,57.43,56.37,57.13
2002,56.78,53.47,48.47,64.36,68.93,65.64,57.92,57.53,57.23
2003,57.17,53.73,49.97,61.78,68.76,65.83,57.94,55.16,58.62
2004,55.83,49.89,49.82,60.49,67.78,65.54,55.35,52.2,57.12
2005,58.89,52.64,47.91,64.36,69.73,67.27,56.01,57.47,56.67
2006,57.91,54.08,49.52,63.33,69.09,65.73,58.51,56.48,58.44
2007,55.87,54.7,49.52,63.1,69.34,65.45,58.06,56.26,58.01
2008,56.9,51.59,47.55,62.02,68.74,64.85,56.95,54.69,57.45
2009,56.1,50.16,49.19,61.2,68.54,65.43,56.12,52.75,56.58
2010,58.4,52.67,47.18,65.57,71.95,68.27,57.44,58.14,56.27
2011,57.76,53.28,47.01,64.82,71.28,66.86,57.9,57.21,55.67
2012,57.56,54.08,48.58,62.69,69.0,65.46,58.6,57.06,57.25
2013,57.67,53.41,50.24,62.21,68.95,66.23,58.4,55.5,58.54
2014,56.04,52.11,50.17,62.01,68.37,64.93,57.18,55.4,58.42
2015,56.62,53.27,51.5,62.92,69.79,66.7,58.05,55.2,59.05
2016,57.84,53.07,48.81,65.17,70.86,67.81,58.16,57.18,58.31
2017,56.15,52.83,50.65,61.81,69.44,65.96,58.09,54.9,59.87
2018,58.3,53.08,49.3,64.53,70.24,67.01,58.73,57.22,59.19
2019,56.91,52.49,49.12,63.31,69.67,66.24,57.22,55.44,57.6
2020,58.43,53.54,48.93,63.7,69.76,67.28,58.57,57.4,58.29
2021,58.99,54.93,52.21,64.32,69.85,66.47,59.14,57.78,60.88
2022,57.48,54.07,51.14,63.59,70.67,66.63,59.32,56.3,59.55
2023,57.43,53.65,50.49,62.01,69.94,65.21,57.6,55.53,57.75
2024,58.74,53.26,50.17,63.24,70.37,66.62,59.55,56.7,60.15
