Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1967,6.75,7.43,2.32,14.67,7.62,6.13,10.79,2.64,4.62,7.98
1968,8.71,8.58,2.16,13.28,8.37,10.49,10.23,3.97,2.94,6.06
1969,4.13,9.95,3.53,15.92,9.13,9.37,9.8,3.8,5.56,14.76
1970,7.56,11.82,2.04,16.25,7.22,7.66,11.21,1.69,2.5,9.39
1971,7.86,10.87,2.86,15.73,9.48,7.26,11.93,2.08,5.11,5.65
1972,7.4,9.73,2.65,17.05,10.39,10.56,13.22,1.95,4.03,5.79
1973,6.07,12.34,2.07,11.17,9.53,10.56,14.26,3.32,4.47,8.97
1974,5.84,13.29,2.35,17.86,11.32,11.33,14.57,2.64,4.17,7.02
1975,7.97,11.65,2.31,15.96,11.23,10.19,14.48,2.52,4.44,6.57
1976,7.98,11.76,2.37,14.78,8.95,5.77,9.18,2.34,3.8,3.94
1977,9.38,7.63,1.48,4.82,4.6,7.16,9.94,1.37,2.33,2.34
1978,5.78,14.32,3.06,15.09,7.99,7.36,12.46,4.23,3.36,12.46
1979,6.99,16.29,2.65,11.09,13.48,12.42,15.62,4.94,4.08,7.54
1980,8.7,4.74,2.2,14.02,6.16,7.41,8.64,5.32,3.0,11.16
1981,8.93,7.81,1.5,12.12,5.54,5.04,6.84,1.38,3.37,5.39
1982,5.93,11.32,2.64,18.04,10.13,7.97,15.37,2.92,3.53,7.42
1983,6.82,8.61,2.06,16.34,8.94,14.75,14.81,3.82,4.7,10.81
1984,7.91,12.75,2.04,12.41,8.2,9.73,15.16,2.81,3.23,6.72
1985,10.65,7.0,1.67,7.05,9.34,9.85,9.36,3.89,4.54,3.97
1986,9.69,9.06,2.43,13.17,6.52,5.06,7.89,2.34,3.42,9.38
1987,9.83,10.42,1.66,8.89,7.15,11.58,15.17,3.47,1.68,4.74
1988,8.46,8.63,2.05,11.43,10.04,9.41,9.84,3.08,3.67,6.17
1989,8.92,5.79,2.18,9.51,10.93,10.22,7.39,2.67,2.8,4.2
1990,10.26,8.52,1.84,12.17,9.93,12.66,13.72,2.32,2.68,4.12
1991,9.92,10.12,1.72,9.19,13.33,11.99,12.78,2.48,2.98,2.87
1992,10.38,8.39,1.68,9.43,8.9,12.28,12.04,3.58,3.37,6.44
1993,10.06,9.84,2.4,10.23,8.9,10.58,12.85,6.82,3.92,13.65
1994,7.82,12.02,2.27,10.78,10.36,9.24,12.2,1.92,3.14,5.24
1995,7.28,9.3,1.9,13.54,8.56,8.44,12.46,3.72,2.38,10.38
1996,7.84,10.88,2.41,17.95,8.18,6.98,10.64,2.57,3.9,10.84
1997,7.35,12.15,3.28,18.8,9.76,10.62,12.43,3.59,5.02,11.1
1998,7.49,12.56,2.14,13.04,9.42,13.34,19.14,3.83,3.81,13.1
1999,7.09,10.6,2.27,19.16,11.26,9.57,11.32,1.7,3.82,6.32
2000,10.1,8.75,2.2,13.55,9.07,6.43,8.26,2.18,3.3,8.29
2001,10.61,8.67,1.97,6.27,8.42,10.47,7.37,2.76,4.76,5.65
2002,8.98,6.79,1.37,13.55,8.46,9.05,8.21,1.49,3.06,5.76
2003,8.8,10.19,1.88,13.59,9.77,10.16,12.39,2.77,1.8,7.55
2004,8.26,9.35,2.14,13.2,8.31,9.56,10.3,2.86,3.66,8.9
2005,10.09,10.56,1.53,7.74,11.14,9.21,8.79,5.38,4.62,10.04
2006,7.79,10.55,2.0,17.19,7.44,7.08,10.64,1.5,3.64,9.57
2007,8.18,8.41,2.46,11.9,9.34,10.58,9.34,2.54,4.33,5.09
2008,7.54,13.12,2.19,13.95,11.95,8.89,11.26,4.78,5.14,8.52
2009,9.15,10.47,2.76,10.89,10.31,6.76,8.82,3.02,4.66,6.04
2010,5.87,11.99,2.33,9.63,8.95,11.12,16.64,4.32,3.99,8.49
2011,7.27,9.99,3.19,13.59,7.96,5.38,7.86,3.09,3.8,8.34
2012,10.19,8.25,2.22,10.74,9.6,10.73,8.65,2.55,3.92,3.2
2013,8.81,10.33,2.12,11.0,11.16,12.38,14.2,2.8,5.01,5.4
2014,8.49,10.9,2.42,10.37,9.92,6.94,12.62,1.77,3.89,3.67
2015,7.85,10.3,2.13,11.5,7.36,8.1,11.38,3.22,2.69,6.11
2016,6.84,11.67,2.42,16.65,11.1,9.56,15.78,2.72,5.66,7.91
2017,7.34,9.42,3.33,14.8,8.81,8.89,11.39,5.01,5.01,14.38
2018,8.07,10.62,2.53,11.07,11.03,11.36,9.55,1.8,3.9,2.88
2019,7.62,12.35,2.9,13.16,14.58,13.13,16.2,3.84,5.64,10.42
2020,7.94,10.66,2.27,13.94,12.92,11.6,16.75,2.82,4.53,4.84
2021,9.2,10.96,1.82,13.14,8.62,8.48,12.67,2.06,2.81,4.62
2022,11.74,8.93,1.92,11.17,11.66,6.4,9.99,2.53,3.46,4.72
2023,8.48,11.22,3.1,10.79,10.3,10.72,11.52,4.25,5.81,11.68
2024,9.94,14.28,2.31,14.31,9.74,10.83,13.74,3.57,3.85,9.27
