Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,-999.0,20.95,14.87,-999.0,-999.0,2.22,-999.0,-999.0,20.65,19.65,10.11,3.46,8.48,8.69,7.96,10.54,19.67,-999.0,-999.0,17.15,7.01,6.47,11.18,21.71,1.22,14.47,3.24,6.98,-999.0,9.32,0.0,-999.0,6.39,6.32,7.91,5.42,8.08,-999.0,16.03,5.74,12.94,12.29,1.58,11.94,-999.0,5.57,9.25,9.42,-999.0
1901,-999.0,18.13,11.01,-999.0,-999.0,1.43,-999.0,-999.0,16.35,18.68,5.85,1.62,5.14,6.04,5.27,7.93,14.44,-999.0,-999.0,12.11,5.13,5.15,6.4,16.72,1.39,19.63,4.48,6.41,-999.0,12.0,0.99,-999.0,7.39,5.61,7.14,5.8,10.84,-999.0,16.65,4.42,14.12,6.18,0.88,15.99,-999.0,8.17,5.49,9.26,-999.0
1902,-999.0,15.65,18.21,-999.0,-999.0,1.55,-999.0,-999.0,14.73,16.03,12.86,1.92,10.56,9.03,9.86,12.99,14.31,-999.0,-999.0,12.11,6.28,6.46,12.58,13.34,2.44,12.02,3.06,9.57,-999.0,15.01,7.41,-999.0,8.17,7.24,13.81,6.2,8.04,-999.0,14.2,4.05,14.63,11.33,1.36,7.35,-999.0,11.57,7.68,11.51,-999.0
1903,-999.0,14.57,14.06,-999.0,-999.0,1.39,-999.0,-999.0,16.76,15.17,9.03,1.22,9.03,8.61,9.28,9.93,15.65,-999.0,-999.0,8.57,5.3,8.61,10.48,15.26,1.34,15.91,4.94,8.14,-999.0,13.44,1.81,-999.0,8.69,7.76,8.61,5.44,7.98,-999.0,12.87,3.88,14.67,10.79,1.04,11.27,-999.0,4.5,8.56,7.45,-999.0
1904,-999.0,11.82,13.69,-999.0,-999.0,3.02,-999.0,-999.0,14.99,8.9,6.35,1.13,9.74,9.1,8.56,7.88,12.13,-999.0,-999.0,13.43,4.87,4.74,12.68,11.25,0.92,9.95,3.77,6.53,-999.0,9.82,4.61,-999.0,5.96,7.85,9.19,7.22,6.91,-999.0,10.81,3.52,9.87,9.2,1.62,4.81,-999.0,7.36,9.21,2.53,-999.0
1905,-999.0,16.09,21.53,-999.0,-999.0,3.29,-999.0,-999.0,16.3,15.84,9.3,0.94,8.31,11.88,8.08,13.02,26.11,-999.0,-999.0,8.73,6.61,8.33,13.29,20.02,1.31,15.38,4.24,8.34,-999.0,8.89,5.67,-999.0,8.82,8.41,10.65,3.23,8.31,-999.0,12.4,5.67,13.95,15.4,2.1,10.69,-999.0,7.36,8.62,9.92,-999.0
1906,-999.0,18.73,18.85,-999.0,-999.0,2.28,-999.0,-999.0,16.95,16.3,7.16,2.61,9.26,9.65,6.67,11.97,15.51,-999.0,-999.0,12.69,6.19,5.71,9.14,16.46,2.11,13.81,3.91,6.95,-999.0,10.99,1.56,-999.0,7.82,6.97,10.85,5.93,6.23,-999.0,16.74,6.1,14.94,10.1,3.48,10.75,-999.0,6.57,7.41,7.4,-999.0
1907,-999.0,17.62,15.68,-999.0,-999.0,1.53,-999.0,-999.0,14.75,14.87,7.3,0.92,10.41,11.46,6.26,11.64,18.86,-999.0,-999.0,12.18,4.15,4.69,9.96,17.38,1.93,12.61,1.7,4.89,-999.0,13.98,2.28,-999.0,6.96,8.51,11.08,6.57,6.31,-999.0,12.63,4.04,13.25,11.68,2.05,10.02,-999.0,7.06,5.87,10.75,-999.0
1908,-999.0,15.94,14.94,-999.0,-999.0,2.33,-999.0,-999.0,12.77,16.37,8.41,0.97,7.66,6.73,8.65,8.7,16.67,-999.0,-999.0,7.24,5.65,6.55,11.22,17.23,2.17,16.32,2.69,6.95,-999.0,14.19,1.54,-999.0,6.64,6.33,17.97,3.44,6.94,-999.0,17.4,6.04,13.35,10.69,3.28,11.82,-999.0,6.72,5.78,6.25,-999.0
1909,-999.0,20.01,13.94,-999.0,-999.0,1.91,-999.0,-999.0,13.62,16.45,10.69,1.5,11.68,11.76,8.25,11.57,15.72,-999.0,-999.0,13.41,7.26,6.48,13.95,19.61,1.69,13.39,2.94,6.29,-999.0,10.36,1.13,-999.0,5.52,9.43,7.12,8.1,7.1,-999.0,11.19,4.59,15.03,8.07,2.71,7.91,-999.0,8.25,7.32,7.73,-999.0
1910,-999.0,12.43,15.38,-999.0,-999.0,2.17,-999.0,10.0,14.96,12.67,3.9,0.41,6.69,9.32,5.18,14.15,16.37,-999.0,-999.0,5.72,3.88,2.19,10.96,14.12,1.1,13.14,1.72,3.94,-999.0,9.34,1.24,-999.0,6.25,8.2,4.43,4.2,7.3,-999.0,13.55,1.78,10.88,7.19,0.99,7.66,-999.0,8.05,4.43,6.46,-999.0
1911,-999.0,15.4,14.27,-999.0,-999.0,1.62,-999.0,14.0,13.24,14.87,7.78,0.84,8.8,7.38,6.39,12.01,20.77,-999.0,-999.0,7.46,5.84,5.38,10.08,18.51,2.2,11.0,2.75,6.22,-999.0,13.06,2.02,-999.0,5.25,6.82,8.76,3.45,7.07,-999.0,12.12,3.81,15.63,9.93,0.16,8.08,-999.0,4.62,9.09,10.7,-999.0
1912,-999.0,21.75,14.2,-999.0,-999.0,2.78,-999.0,15.0,18.45,20.55,6.34,1.62,7.97,7.95,6.86,10.49,20.13,-999.0,-999.0,13.47,7.45,3.48,11.85,19.87,1.72,11.66,3.6,4.48,-999.0,14.13,1.57,-999.0,6.05,7.72,8.32,4.78,7.41,-999.0,14.98,3.19,16.57,8.53,1.14,10.14,-999.0,6.35,7.4,8.76,-999.0
1913,-999.0,16.28,17.12,-999.0,-999.0,1.8,-999.0,11.0,12.11,13.4,7.21,1.06,8.5,9.47,4.91,11.71,21.14,-999.0,-999.0,8.46,4.19,6.41,9.27,18.72,1.81,14.02,1.92,5.52,-999.0,10.95,1.55,-999.0,8.13,8.85,9.34,4.15,9.71,-999.0,16.19,2.93,14.05,12.03,1.15,11.4,-999.0,5.28,8.94,13.84,-999.0
1914,-999.0,13.18,13.25,-999.0,-999.0,2.53,-999.0,11.0,13.03,13.95,8.32,0.5,5.35,6.73,5.6,8.57,15.01,-999.0,-999.0,7.72,5.94,6.76,8.75,15.24,1.66,11.65,3.84,5.29,-999.0,8.65,2.91,-999.0,6.85,8.02,6.3,3.65,5.28,-999.0,12.04,3.91,11.76,12.96,2.85,7.63,-999.0,6.75,7.78,7.85,-999.0
1915,-999.0,18.36,17.74,-999.0,-999.0,2.59,-999.0,15.0,17.33,16.15,9.69,0.73,9.62,9.62,10.98,14.57,18.87,-999.0,-999.0,10.26,4.65,5.8,13.14,19.15,2.0,14.77,3.25,9.79,-999.0,10.63,2.91,-999.0,8.71,8.51,13.1,3.84,6.87,-999.0,15.32,5.73,17.24,10.23,3.0,10.64,-999.0,5.52,6.38,8.66,-999.0
1916,-999.0,15.09,14.79,-999.0,-999.0,1.43,-999.0,-999.0,13.5,13.16,6.77,1.42,8.44,9.34,5.51,11.92,17.19,-999.0,-999.0,10.98,5.63,5.58,10.07,14.84,2.14,11.73,3.52,4.48,-999.0,6.65,3.21,-999.0,6.56,7.05,8.84,5.48,6.7,-999.0,11.13,3.54,15.69,9.16,2.01,7.15,-999.0,7.76,7.21,9.37,-999.0
1917,-999.0,17.4,11.09,-999.0,-999.0,1.23,-999.0,-999.0,11.81,15.37,6.44,0.93,8.01,8.54,4.46,11.0,10.48,-999.0,-999.0,11.48,4.67,3.02,8.21,14.65,0.71,13.05,1.0,5.0,-999.0,8.13,0.67,-999.0,7.03,7.28,5.27,4.71,6.77,-999.0,10.98,2.25,14.95,4.85,0.34,7.06,-999.0,7.16,4.43,8.73,-999.0
1918,-999.0,19.12,13.56,-999.0,-999.0,1.81,-999.0,-999.0,16.25,15.66,7.37,0.78,10.01,9.74,7.2,8.66,16.95,-999.0,-999.0,9.24,5.05,4.79,10.3,16.56,1.31,13.58,2.84,4.79,-999.0,7.34,1.74,-999.0,8.18,5.33,10.81,3.46,6.85,-999.0,13.72,3.94,12.22,9.88,0.77,12.44,-999.0,6.26,6.17,9.68,-999.0
1919,-999.0,22.96,18.42,-999.0,-999.0,2.27,-999.0,-999.0,15.01,15.9,9.91,0.49,8.9,9.99,5.74,14.88,23.91,-999.0,-999.0,6.5,5.47,4.94,12.37,22.22,0.63,12.53,2.22,5.77,-999.0,11.04,3.88,-999.0,6.28,8.18,9.36,6.44,6.23,-999.0,14.24,3.98,15.22,15.18,0.71,10.53,-999.0,6.5,7.16,12.72,-999.0
1920,-999.0,21.3,18.1,-999.0,-999.0,2.03,-999.0,18.0,15.47,19.9,7.57,0.81,6.8,8.3,5.91,13.58,21.09,-999.0,-999.0,17.03,4.0,5.09,9.73,18.11,0.98,16.3,2.63,5.78,-999.0,13.54,1.58,-999.0,8.13,7.94,11.72,3.6,6.28,-999.0,15.63,4.93,16.15,11.84,1.52,10.65,-999.0,6.9,6.23,10.72,-999.0
1921,-999.0,14.88,15.31,-999.0,-999.0,2.48,-999.0,7.0,12.03,12.49,8.44,1.18,10.05,11.87,5.37,11.04,15.57,-999.0,-999.0,5.02,6.1,3.8,12.96,14.17,1.25,9.89,3.61,5.29,-999.0,10.15,2.42,-999.0,4.85,7.65,8.72,6.69,6.75,-999.0,10.79,4.41,13.57,9.35,1.52,7.54,-999.0,7.27,6.04,10.37,-999.0
