Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1930,0.34,-999,-999,138.86,128.37,58.26,34.72,21.02,65.56,97.36,229.98,148.02,64.24,15.38,77.73,73.49,92.56,92.69,174.76,57.91,55.07,20.69,33.88,31.18,95.48,155.05,15.83,98.92,20.45,61.61,23.43,77.68,34.67,13.6,37.76,58.44,127.69,5.48,42.22,35.0,135.2,44.58,97.27,160.29,30.42,74.17,34.78,9.47,42.34,44.94,14.14
1931,0.26,-999,-999,141.56,136.3,69.45,47.8,29.74,66.22,101.16,223.93,146.0,78.68,15.95,92.56,89.46,99.59,102.94,162.43,62.77,70.21,22.69,50.47,42.67,111.68,148.01,14.57,99.2,25.4,68.79,27.37,85.91,39.54,23.13,53.0,79.65,134.99,5.15,60.16,57.0,130.29,53.08,108.4,154.58,36.85,89.75,37.01,8.86,51.78,72.67,19.4
1932,0.14,-999,-999,155.44,132.14,71.97,35.68,27.01,56.32,89.11,239.08,155.61,63.5,6.64,81.96,80.49,91.84,100.73,179.05,51.91,65.95,15.32,34.29,32.65,99.97,160.85,12.11,98.15,22.59,58.02,17.12,67.97,29.44,11.19,40.06,62.22,129.1,3.34,45.16,36.0,137.82,42.1,105.66,152.81,28.91,78.53,24.78,5.45,37.16,55.63,13.19
1933,0.13,-999,-999,164.07,141.81,77.05,37.33,28.29,62.79,101.94,237.03,153.65,77.45,8.6,92.57,89.08,104.03,110.91,197.23,54.91,81.27,17.33,40.14,41.85,114.42,172.98,14.63,110.02,27.13,68.45,22.68,82.62,34.74,16.05,46.48,75.85,136.99,5.47,55.76,49.0,142.34,51.84,119.78,169.38,36.3,92.59,29.94,6.67,52.46,72.35,16.21
1934,0.01,-999,-999,151.81,134.99,85.82,47.63,30.64,59.11,104.15,231.45,154.13,79.0,9.43,89.02,89.18,98.29,103.95,181.25,53.6,82.12,15.62,36.81,33.44,105.29,159.17,11.78,113.18,24.43,71.46,18.91,80.28,43.58,14.06,41.41,81.9,124.75,5.92,56.25,52.0,136.96,51.11,111.55,160.41,35.57,99.17,24.47,7.89,45.68,73.0,17.71
1935,0.38,-999,-999,159.98,126.89,70.95,48.86,24.48,47.39,88.01,236.81,159.51,67.91,6.14,76.18,75.95,90.09,85.19,195.15,48.51,71.78,22.71,41.85,42.35,93.38,167.62,10.1,97.28,26.96,59.08,20.82,64.48,42.6,11.27,41.79,67.99,119.37,7.25,53.44,37.0,143.36,43.8,101.89,158.99,30.18,82.15,28.07,6.15,47.02,61.41,12.86
1936,0.45,-999,-999,161.99,137.68,79.32,56.54,30.33,55.77,105.0,247.99,154.48,82.35,12.32,96.51,91.06,105.8,109.81,174.09,43.78,77.53,13.25,35.07,42.13,113.58,163.38,27.47,111.2,40.6,78.26,18.06,80.57,43.74,20.14,41.49,76.19,129.52,6.01,54.56,40.0,145.13,64.41,122.24,150.76,40.05,90.25,25.68,7.79,48.48,64.78,23.9
1937,0.34,-999,-999,151.11,136.56,77.51,51.36,29.87,55.02,93.65,235.76,150.74,75.24,8.19,85.65,78.67,102.1,93.44,177.8,55.42,73.11,30.42,45.53,45.98,105.94,150.97,15.82,105.31,30.67,72.28,24.75,78.74,37.69,13.76,46.49,68.32,128.77,7.7,56.29,50.0,136.16,53.63,111.56,154.66,36.01,85.84,43.22,8.42,54.46,61.61,16.15
1938,0.12,-999,-999,156.66,141.75,79.15,50.92,22.67,53.9,93.5,231.71,156.53,73.92,8.32,93.02,88.48,108.57,103.53,195.78,56.31,68.04,32.7,38.64,35.58,114.14,163.14,9.94,109.81,21.67,73.32,28.44,71.75,34.44,8.03,43.61,65.86,135.28,8.26,51.63,49.0,143.7,49.45,112.83,164.18,30.2,82.63,40.83,11.37,46.15,58.96,8.54
1939,0.12,-999,-999,156.44,140.55,75.55,52.94,23.79,56.75,101.42,241.37,159.23,75.37,7.49,95.52,92.97,102.24,108.31,177.57,55.47,75.46,26.2,41.61,39.09,112.5,152.35,11.28,115.21,22.75,65.82,26.51,80.94,33.92,14.25,45.46,74.92,129.6,8.58,57.13,47.0,150.37,51.33,120.99,158.21,30.81,97.11,38.18,9.67,47.12,60.3,11.19
