Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,-999.0,-999,-999,-999.0,-999,0.0,-999,-999,-999,-999,0.0,0.01,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.0,1.02,0.0,-999,0.18,-999,1.28,0.0,-999.0,-999,-999.0,-999.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.09,-999,-999,0.0,-999,-999.0,0.0,0.0,0.0,-999.0
1901,-999.0,-999,-999,-999.0,-999,0.31,-999,-999,-999,-999,0.03,0.01,0.0,-999.0,-999.0,-999,-999,-999,-999,0.0,0.01,2.05,0.0,-999,0.01,-999,2.09,0.16,-999.0,-999,-999.0,-999.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.16,-999,-999,0.1,-999,-999.0,0.0,0.01,0.0,-999.0
1902,-999.0,-999,-999,-999.0,-999,0.56,-999,-999,-999,-999,0.02,0.18,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.01,1.25,0.31,-999,0.21,-999,1.21,0.03,-999.0,-999,-999.0,-999.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.06,-999,-999,0.03,-999,-999.0,0.0,0.16,0.0,-999.0
1903,-999.0,-999,-999,-999.0,-999,0.29,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.0,2.85,0.0,-999,0.38,-999,4.19,0.0,-999.0,-999,-999.0,-999.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.31,-999,-999,1.45,-999,-999.0,0.0,0.0,0.0,-999.0
1904,-999.0,-999,-999,-999.0,-999,0.0,-999,-999,-999,-999,0.09,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.31,0.02,6.39,0.0,-999,0.38,-999,5.33,0.0,-999.0,-999,-999.0,-999.0,1.25,0.0,-999,0.0,0.5,-999,-999,0.56,-999,-999,0.02,-999,-999.0,0.0,1.72,0.0,-999.0
1905,-999.0,-999,-999,-999.0,-999,0.0,-999,-999,-999,-999,0.7,0.0,0.0,0.0,0.33,-999,-999,-999,-999,0.52,0.0,3.9,0.4,-999,1.5,-999,6.87,0.96,-999.0,-999,0.0,-999.0,0.0,0.0,-999,0.0,0.0,-999,-999,3.32,-999,-999,0.19,-999,-999.0,0.0,0.41,0.0,-999.0
1906,-999.0,-999,-999,-999.0,-999,0.68,-999,-999,-999,-999,0.01,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.0,2.21,0.0,-999,0.17,-999,2.27,0.0,-999.0,-999,0.0,-999.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.49,-999,-999,0.08,-999,-999.0,0.0,0.07,0.0,-999.0
1907,-999.0,-999,-999,-999.0,-999,0.0,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.31,0.0,4.36,0.0,-999,1.29,-999,6.47,0.0,-999.0,-999,0.0,-999.0,0.32,0.0,-999,0.0,0.0,-999,-999,0.16,-999,-999,0.03,-999,-999.0,0.0,0.89,0.0,-999.0
1908,-999.0,-999,-999,-999.0,-999,0.41,-999,-999,-999,-999,0.01,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.41,0.04,0.68,0.0,-999,0.0,-999,0.5,0.0,-999.0,-999,0.0,-999.0,0.34,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.05,-999,-999.0,0.0,0.2,0.0,-999.0
1909,-999.0,-999,-999,-999.0,-999,1.01,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.0,2.15,0.0,-999,2.02,-999,3.21,0.0,-999.0,-999,0.0,-999.0,0.16,0.0,-999,0.0,0.0,-999,-999,0.37,-999,-999,0.06,-999,-999.0,0.0,0.56,0.0,-999.0
1910,-999.0,-999,-999,-999.0,-999,0.58,-999,-999,-999,-999,0.05,0.11,0.16,0.0,0.0,-999,-999,-999,-999,0.0,0.0,1.92,0.0,-999,1.32,-999,1.57,0.0,-999.0,-999,0.0,-999.0,0.16,0.0,-999,0.0,0.0,-999,-999,0.42,-999,-999,0.14,-999,-999.0,0.0,0.26,0.0,-999.0
