Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1980,55.19,56.45,56.05,63.05,74.67,69.22,66.49,52.33,67.66
1981,55.8,58.03,57.37,62.94,74.39,68.82,67.48,53.62,69.06
1982,55.9,52.75,54.4,62.75,74.36,69.18,64.17,51.1,64.83
1983,56.75,54.58,55.53,63.05,72.52,68.79,64.34,52.43,65.56
1984,56.33,54.71,54.2,63.11,74.38,69.67,64.24,52.94,66.69
1985,56.06,53.22,54.08,62.39,73.92,70.11,64.94,51.23,66.76
1986,56.1,56.06,57.39,64.25,75.45,70.68,66.34,52.95,68.64
1987,56.79,58.48,58.78,65.33,74.69,69.71,65.37,56.52,67.89
1988,56.39,58.2,58.03,64.47,74.18,69.03,66.18,54.26,68.76
1989,55.15,54.97,56.37,62.16,73.38,68.71,67.45,51.74,68.28
1990,58.34,57.26,57.27,65.38,76.52,72.56,66.11,54.79,67.99
1991,58.51,56.54,57.01,65.26,74.71,71.05,65.13,53.78,67.64
1992,54.85,56.44,59.09,62.76,73.36,68.52,65.5,51.75,68.69
1993,55.89,52.26,54.59,61.87,73.38,69.65,65.07,50.76,66.46
1994,56.16,56.12,58.05,63.7,74.19,69.99,67.32,52.76,67.99
1995,56.47,54.74,57.1,63.24,74.44,69.32,67.0,52.03,68.2
1996,55.27,52.73,56.54,61.79,73.74,68.46,67.71,50.01,69.15
1997,55.64,55.15,56.84,62.16,73.51,69.17,65.64,51.96,68.34
1998,59.08,56.82,57.36,65.85,76.28,71.75,66.17,56.57,65.55
1999,58.77,57.86,57.16,65.89,76.38,71.17,67.74,55.46,68.36
2000,56.05,56.62,56.97,63.79,75.33,69.69,68.17,53.71,68.74
2001,58.31,57.29,57.67,64.93,74.94,71.03,67.69,54.95,69.1
2002,57.9,56.01,57.38,64.71,74.53,71.02,67.66,53.76,69.14
2003,55.5,56.84,58.77,62.98,74.06,68.86,68.39,53.36,69.35
2004,56.16,56.3,57.91,63.73,74.38,69.79,66.16,53.11,68.4
2005,57.37,57.25,57.45,64.88,75.22,70.14,67.3,54.78,67.94
2006,58.48,58.37,57.96,65.31,76.46,71.24,67.66,55.67,68.56
2007,57.06,57.32,58.0,65.43,75.73,72.05,67.54,54.43,69.46
2008,57.06,54.88,56.49,62.91,74.54,70.44,66.63,51.91,68.86
2009,56.05,54.17,56.8,62.64,73.94,69.24,66.94,52.01,68.63
2010,58.31,55.16,56.38,64.2,74.51,70.22,66.59,55.03,67.04
2011,57.97,54.91,55.65,64.44,76.21,71.61,66.85,53.64,67.25
2012,59.68,59.83,58.07,67.71,77.05,71.8,69.47,57.44,70.06
2013,56.7,54.94,57.49,62.54,73.59,68.8,66.22,51.4,69.22
2014,55.73,54.92,58.8,61.61,73.41,69.02,67.8,50.01,71.14
2015,57.4,58.35,60.29,64.36,75.44,70.83,67.64,54.57,70.48
2016,59.07,58.41,58.4,66.06,76.8,71.55,68.34,55.5,69.6
2017,57.92,57.13,57.32,65.94,76.32,71.76,69.2,54.15,69.8
2018,56.83,54.8,58.16,63.88,75.01,70.38,68.47,52.46,69.83
2019,56.78,52.7,56.3,64.14,75.67,71.83,66.25,51.01,67.26
2020,58.89,57.41,58.49,64.7,75.49,70.95,69.29,54.32,70.79
2021,58.68,58.47,59.0,64.98,75.1,70.99,68.52,55.98,70.27
2022,58.46,56.18,57.76,64.38,75.93,70.84,67.65,52.44,70.09
2023,59.14,56.68,57.6,66.52,76.98,71.72,67.1,55.54,67.15
2024,59.75,58.64,58.72,67.23,77.04,71.99,69.0,56.98,70.12
