Year,CONUS
1950,0.46
1951,0.41
1952,0.34
1953,0.4
1954,0.36
1955,0.46
1956,0.32
1957,0.55
1958,0.4
1959,0.45
1960,0.4
1961,0.52
1962,0.35
1963,0.31
1964,0.6
1965,0.4
1966,0.41
1967,0.41
1968,0.34
1969,0.54
1970,0.39
1971,0.38
1972,0.44
1973,0.66
1974,0.48
1975,0.48
1976,0.31
1977,0.44
1978,0.4
1979,0.65
1980,0.47
1981,0.43
1982,0.55
1983,0.55
1984,0.41
1985,0.49
1986,0.47
1987,0.37
1988,0.32
1989,0.46
1990,0.55
1991,0.59
1992,0.39
1993,0.46
1994,0.49
1995,0.61
1996,0.56
1997,0.51
1998,0.66
1999,0.46
2000,0.37
2001,0.5
2002,0.54
2003,0.5
2004,0.63
2005,0.51
2006,0.48
2007,0.51
2008,0.67
2009,0.56
2010,0.57
2011,0.51
2012,0.45
2013,0.55
2014,0.52
2015,0.7
2016,0.59
2017,0.65
2018,0.66
2019,0.52
2020,0.58
2021,0.54
2022,0.39
2023,0.45
2024,0.63
