Year,CONUS
1950,7.41
1951,7.3
1952,6.09
1953,6.58
1954,5.93
1955,6.18
1956,5.53
1957,8.04
1958,6.91
1959,7.26
1960,6.75
1961,7.48
1962,6.7
1963,5.6
1964,7.28
1965,6.8
1966,6.59
1967,6.9
1968,7.01
1969,7.48
1970,6.83
1971,6.99
1972,7.48
1973,8.81
1974,7.27
1975,7.78
1976,6.19
1977,7.23
1978,6.96
1979,8.37
1980,6.43
1981,6.86
1982,8.01
1983,8.42
1984,7.43
1985,7.3
1986,7.38
1987,6.92
1988,5.96
1989,7.23
1990,8.14
1991,8.21
1992,7.53
1993,7.65
1994,7.74
1995,7.93
1996,8.42
1997,7.58
1998,8.32
1999,6.99
2000,6.77
2001,7.16
2002,7.49
2003,7.49
2004,8.31
2005,7.12
2006,7.48
2007,7.27
2008,7.8
2009,8.13
2010,7.64
2011,7.48
2012,6.41
2013,8.18
2014,7.71
2015,8.91
2016,7.63
2017,8.09
2018,9.07
2019,8.75
2020,7.77
2021,7.66
2022,7.25
2023,7.14
2024,8.1
