Year,CONUS
1930,2.09
1931,0.02
1932,1.73
1933,2.05
1934,0.73
1935,1.45
1936,5.95
1937,2.97
1938,0.97
1939,0.99
1940,0.91
1941,0.37
1942,1.31
1943,2.02
1944,0.15
1945,0.74
1946,0.55
1947,0.29
1948,1.03
1949,2.15
1950,2.86
1951,2.73
1952,0.8
1953,0.17
1954,1.42
1955,0.95
1956,0.89
1957,1.17
1958,0.45
1959,1.11
1960,0.4
1961,0.56
1962,2.27
1963,3.03
1964,0.8
1965,1.44
1966,2.15
1967,0.69
1968,1.88
1969,1.88
1970,2.1
1971,1.7
1972,3.29
1973,1.09
1974,1.19
1975,0.62
1976,1.06
1977,2.2
1978,1.94
1979,2.77
1980,1.03
1981,0.53
1982,2.75
1983,3.45
1984,1.15
1985,2.59
1986,0.36
1987,0.11
1988,1.26
1989,3.53
1990,2.1
1991,0.47
1992,0.7
1993,0.87
1994,2.76
1995,0.64
1996,4.24
1997,1.74
1998,0.99
1999,0.65
2000,0.89
2001,0.15
2002,0.1
2003,0.56
2004,1.48
2005,0.88
2006,0.27
2007,0.77
2008,1.73
2009,1.4
2010,0.71
2011,0.89
2012,0.25
2013,1.4
2014,1.83
2015,0.56
2016,0.84
2017,1.37
2018,0.88
2019,2.16
2020,0.38
2021,2.4
2022,2.44
2023,0.61
2024,1.44
