Year,CONUS
1950,12.21
1951,18.31
1952,21.02
1953,20.91
1954,22.39
1955,19.19
1956,15.67
1957,17.87
1958,18.54
1959,18.73
1960,15.98
1961,13.14
1962,15.59
1963,16.64
1964,19.0
1965,14.45
1966,16.3
1967,12.49
1968,16.43
1969,18.27
1970,19.08
1971,14.77
1972,13.64
1973,16.17
1974,13.5
1975,15.25
1976,10.35
1977,20.95
1978,19.23
1979,15.27
1980,23.12
1981,18.88
1982,17.24
1983,19.52
1984,14.89
1985,16.65
1986,20.17
1987,18.94
1988,20.98
1989,18.2
1990,20.16
1991,22.11
1992,14.41
1993,20.99
1994,17.97
1995,21.53
1996,18.88
1997,18.14
1998,26.32
1999,21.94
2000,21.19
2001,21.37
2002,23.16
2003,20.66
2004,17.42
2005,22.94
2006,22.81
2007,21.85
2008,19.35
2009,19.35
2010,29.07
2011,27.93
2012,24.07
2013,21.95
2014,19.4
2015,23.56
2016,27.59
2017,21.8
2018,27.7
2019,23.63
2020,23.63
2021,23.71
2022,27.94
2023,23.51
2024,27.06
