Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,-999.0,97.44,104.42,-999.0,-999.0,4.98,-999.0,-999.0,168.68,107.66,31.42,1.24,49.39,58.98,56.27,78.03,138.36,-999.0,-999.0,5.84,17.22,14.49,56.5,132.75,0.74,71.61,3.18,31.14,-999.0,49.25,-999.0,-999.0,21.12,37.7,-999.0,0.21,24.57,-999.0,113.03,14.33,88.47,97.98,3.95,35.54,-999.0,2.83,16.84,24.05,-999.0
1901,-999.0,73.65,82.57,-999.0,-999.0,9.84,-999.0,-999.0,147.71,81.86,32.84,1.51,40.33,45.68,55.26,58.15,105.6,-999.0,-999.0,7.79,15.8,12.81,55.86,91.17,1.99,60.4,4.07,28.04,-999.0,48.21,22.0,-999.0,21.41,40.04,-999.0,0.72,23.47,-999.0,92.34,16.69,58.71,96.77,7.82,23.78,-999.0,0.23,16.64,24.72,-999.0
1902,-999.0,91.36,86.12,-999.0,-999.0,3.36,-999.0,-999.0,174.99,95.13,14.72,0.52,34.74,31.55,38.13,46.88,131.91,-999.0,-999.0,1.38,5.61,2.29,47.19,107.09,0.17,53.61,0.3,11.85,-999.0,26.12,10.28,-999.0,7.74,19.52,-999.0,0.27,10.05,-999.0,85.38,3.59,61.84,126.29,2.97,16.47,-999.0,0.21,6.77,12.03,-999.0
1903,-999.0,73.08,66.71,-999.0,-999.0,5.3,-999.0,-999.0,139.1,81.39,14.46,0.0,28.16,26.88,35.71,38.25,101.64,-999.0,-999.0,2.32,5.37,2.36,36.26,89.27,0.22,51.12,0.92,13.08,-999.0,23.78,21.89,-999.0,7.3,19.85,51.0,0.0,9.21,-999.0,86.98,6.44,54.54,96.95,4.23,16.37,-999.0,1.05,6.66,5.8,-999.0
1904,-999.0,69.75,87.51,-999.0,-999.0,4.03,-999.0,-999.0,152.05,83.99,9.41,0.53,22.31,22.56,32.06,36.47,115.05,-999.0,-999.0,2.31,4.36,1.81,32.54,99.75,0.12,45.67,0.45,6.66,-999.0,32.24,17.9,-999.0,8.2,13.35,61.0,0.78,9.95,-999.0,75.45,2.8,48.65,106.29,6.57,12.82,-999.0,1.14,3.67,0.0,-999.0
1905,-999.0,86.5,94.83,-999.0,-999.0,4.15,-999.0,-999.0,178.43,107.61,17.06,1.13,31.25,35.2,41.34,53.03,146.96,-999.0,-999.0,6.43,6.2,3.82,42.87,117.08,0.59,64.57,0.53,10.83,-999.0,34.86,14.26,-999.0,15.9,23.49,65.0,0.79,16.16,-999.0,107.16,4.62,76.42,122.73,8.0,24.66,-999.0,2.98,5.58,15.16,-999.0
1906,-999.0,94.98,76.31,-999.0,-999.0,2.19,-999.0,-999.0,172.16,116.58,21.24,1.18,31.58,38.37,29.33,55.57,127.99,-999.0,-999.0,3.04,10.82,5.86,39.18,100.89,0.84,69.34,0.82,10.55,-999.0,47.43,14.68,-999.0,18.5,29.4,-999.0,1.65,15.68,-999.0,109.6,5.04,65.93,103.83,9.83,28.73,-999.0,5.56,10.92,17.94,-999.0
1907,-999.0,73.47,86.42,-999.0,-999.0,5.05,-999.0,-999.0,154.51,95.53,20.79,0.53,32.74,28.47,38.43,39.91,127.71,-999.0,-999.0,2.82,6.61,3.43,48.59,96.26,0.19,45.54,1.25,16.03,-999.0,26.12,7.15,-999.0,7.21,14.76,-999.0,0.0,8.02,-999.0,89.73,4.43,55.91,117.05,5.52,14.34,-999.0,0.84,5.95,6.97,-999.0
1908,-999.0,68.37,87.58,-999.0,-999.0,5.46,-999.0,-999.0,161.54,92.07,18.45,1.17,33.41,30.26,30.08,44.23,141.76,-999.0,-999.0,3.75,8.29,6.51,40.67,107.05,1.68,44.63,1.55,15.06,-999.0,35.97,12.4,-999.0,12.7,18.88,64.0,1.13,11.97,-999.0,90.2,7.23,57.66,121.9,8.61,16.23,-999.0,2.64,9.49,6.45,-999.0
1909,-999.0,87.93,88.7,-999.0,-999.0,7.05,-999.0,-999.0,160.2,95.36,28.48,0.41,34.2,32.86,45.46,46.68,125.0,-999.0,-999.0,2.78,8.16,9.19,54.24,108.29,1.28,48.14,3.45,28.09,-999.0,25.79,30.83,-999.0,7.82,17.65,78.0,0.07,8.23,-999.0,90.43,17.18,67.08,113.37,10.93,12.48,-999.0,0.2,10.17,9.4,-999.0
