Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1950,1.72,0.29,0.14,3.78,33.13,14.27,4.29,0.25,15.31
1951,1.93,0.76,0.18,6.94,51.95,19.11,8.18,0.38,13.95
1952,5.05,1.79,0.3,17.78,55.55,26.64,8.19,1.89,15.09
1953,3.48,2.97,0.15,15.91,56.02,20.76,8.3,2.87,13.5
1954,1.45,2.74,0.18,17.97,60.3,16.74,9.81,0.93,14.74
1955,7.27,4.54,0.29,15.7,43.23,23.58,6.23,5.2,14.16
1956,1.71,0.98,0.38,9.4,36.73,14.52,7.12,0.58,14.98
1957,2.75,2.0,0.09,10.5,48.0,15.66,8.87,1.38,14.44
1958,2.1,0.87,0.5,6.81,51.81,21.67,10.47,0.6,17.41
1959,6.68,1.93,0.38,13.06,48.36,23.24,9.02,3.65,16.79
1960,1.35,1.66,0.5,5.53,43.87,15.83,8.77,1.47,18.41
1961,3.51,1.01,0.85,6.63,30.53,16.42,7.7,1.15,18.43
1962,0.99,0.35,0.23,5.87,45.14,10.52,7.44,0.17,13.18
1963,1.75,2.3,0.15,6.28,42.21,9.98,8.67,1.15,13.22
1964,2.59,2.48,0.19,9.72,47.57,16.36,8.5,2.98,14.8
1965,2.28,0.62,0.28,4.77,38.43,13.1,6.14,0.85,11.51
1966,2.5,2.37,0.12,8.8,40.07,15.17,9.62,1.84,15.43
1967,1.49,0.25,0.28,2.9,31.27,9.43,7.9,0.44,18.18
1968,4.5,1.51,0.54,14.73,41.34,20.56,5.79,3.5,13.25
1969,3.74,1.49,0.25,10.55,49.02,20.38,9.18,1.67,16.3
1970,2.82,2.02,0.39,11.09,51.97,17.71,8.7,2.18,16.06
1971,2.8,1.0,0.54,6.34,38.54,12.25,8.43,1.32,16.34
1972,3.27,0.84,0.24,8.1,34.44,12.18,7.04,1.88,15.33
1973,4.78,1.41,0.3,8.74,46.6,17.27,6.88,3.14,14.76
1974,2.16,1.92,0.37,6.14,33.48,10.98,8.24,1.82,15.88
1975,3.28,2.35,0.78,8.4,41.7,15.85,5.93,2.54,13.96
1976,1.95,1.69,0.28,4.64,25.92,9.27,6.8,1.67,13.03
1977,4.55,2.0,0.6,15.6,54.94,22.08,10.0,2.96,16.04
1978,3.8,1.59,0.25,11.72,50.21,16.71,9.48,1.0,15.82
1979,4.45,0.64,0.34,7.26,44.45,15.07,7.03,0.52,13.94
1980,4.34,1.99,0.08,19.5,60.99,23.04,10.25,1.19,14.52
1981,2.79,1.23,0.24,11.13,51.73,21.53,10.33,1.12,16.86
1982,2.64,1.08,0.33,8.06,51.02,14.55,7.98,1.05,13.71
1983,3.66,3.54,0.28,17.76,49.57,20.11,9.22,3.38,15.49
1984,3.36,1.08,0.28,7.21,35.51,14.33,8.52,1.16,19.58
1985,2.52,0.94,0.45,7.36,47.39,14.48,8.43,0.96,14.64
1986,3.12,1.69,0.34,11.5,54.9,26.91,8.18,2.34,14.15
1987,4.58,2.63,0.17,12.95,51.15,27.35,7.61,3.88,14.2
1988,7.85,4.68,0.22,18.74,52.09,23.97,9.39,6.02,17.87
1989,3.81,2.06,0.16,9.96,50.25,20.63,9.24,1.72,15.8
1990,2.57,2.18,0.59,11.19,54.59,20.18,9.77,1.32,16.48
1991,4.79,2.74,0.31,15.95,62.65,30.3,8.26,3.44,14.76
1992,1.77,0.23,0.8,6.23,41.99,16.98,7.87,0.28,15.23
1993,5.06,0.6,0.08,17.19,59.65,25.44,7.93,0.76,11.27
1994,5.79,0.64,0.79,9.92,45.54,21.6,11.25,1.05,16.12
1995,6.55,2.87,0.26,17.98,58.84,24.92,8.46,4.2,14.06
1996,1.86,1.25,0.57,9.26,48.16,18.26,10.23,1.55,20.57
1997,2.36,1.28,0.2,10.1,48.18,16.75,9.34,1.28,19.0
1998,3.83,1.46,0.86,15.5,77.19,27.48,9.63,0.98,17.51
1999,6.92,2.51,0.27,17.55,56.6,26.49,9.34,3.08,13.71
2000,3.09,2.08,0.34,12.24,54.03,20.08,11.95,0.79,16.81
2001,4.11,3.53,0.4,15.77,53.55,18.23,11.52,4.8,19.73
2002,6.32,4.34,0.75,17.82,58.9,27.15,12.19,4.2,17.99
2003,4.36,2.05,0.75,8.84,56.58,25.05,13.61,1.19,17.82
2004,3.11,0.67,0.87,7.6,50.15,25.99,9.19,0.48,14.49
2005,8.28,2.49,0.34,16.0,61.93,34.71,11.25,3.45,17.36
2006,6.71,2.65,1.03,17.57,56.98,27.06,12.27,3.99,21.42
2007,3.72,3.1,0.63,15.49,60.79,24.4,12.41,1.92,18.99
2008,2.83,0.75,0.38,9.62,54.49,19.71,10.35,0.54,18.11
2009,2.81,0.32,0.54,7.75,54.5,19.12,11.07,0.41,17.39
2010,8.27,1.78,0.26,23.89,81.42,41.51,11.87,2.99,16.84
2011,6.65,3.98,0.17,24.07,68.8,30.51,11.84,4.83,15.42
2012,6.26,3.67,0.46,19.21,58.47,29.25,13.91,4.32,20.94
2013,7.72,1.7,0.67,12.02,55.95,25.01,12.98,4.17,20.73
2014,3.13,0.45,0.82,10.89,53.14,21.16,9.97,0.66,19.12
2015,4.8,0.97,1.69,13.38,67.09,30.68,12.33,0.92,20.77
2016,7.94,2.24,0.28,22.37,75.79,41.44,12.11,1.98,17.81
2017,4.34,1.39,0.54,10.5,62.86,32.13,11.35,0.75,21.12
2018,9.4,1.83,0.62,20.03,76.29,41.17,13.62,2.58,22.97
2019,6.2,1.56,0.23,15.16,69.16,31.15,10.76,1.34,17.45
2020,7.68,2.37,0.72,13.59,66.89,36.38,13.38,1.81,21.69
2021,8.07,2.13,2.44,14.41,64.49,28.39,10.86,2.6,24.27
2022,6.85,2.64,1.74,17.56,71.63,33.24,14.93,1.9,25.73
2023,4.41,1.5,0.76,10.75,62.04,26.4,13.63,1.13,18.65
2024,8.16,1.41,1.12,14.93,70.77,36.93,16.51,1.77,25.79
