Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1930,67.24,-999,-999,0.0,1.99,3.89,1.74,27.42,2.0,0.04,-999,0.01,18.49,22.2,10.11,7.47,9.99,2.82,0.25,3.36,7.0,30.23,14.55,40.25,7.12,0.28,28.83,0.43,41.89,16.02,22.26,1.67,14.19,12.92,12.34,5.92,5.31,7.54,6.93,2.0,0.0,25.62,1.62,1.72,21.2,1.46,18.17,9.67,28.95,4.04,-999
1931,55.42,-999,-999,0.0,0.04,7.54,0.48,20.92,1.5,0.04,-999,0.01,2.11,16.8,0.47,0.12,0.45,0.19,0.0,3.68,0.8,20.79,3.97,13.46,0.15,0.0,12.89,0.01,18.76,3.38,21.02,0.3,5.75,7.03,10.15,0.0,0.0,0.92,1.43,1.0,0.0,8.91,0.1,0.0,16.35,0.19,24.63,1.57,6.9,1.01,-999
1932,65.77,-999,-999,0.0,0.05,11.34,5.87,27.44,1.0,0.01,-999,0.01,19.66,26.94,4.78,2.34,6.16,0.35,0.0,1.03,1.73,20.05,7.39,48.55,2.7,0.0,37.12,0.01,60.03,22.11,14.49,0.88,8.83,17.78,7.31,1.52,0.65,5.08,1.89,2.0,0.0,38.71,0.18,0.12,19.46,0.4,10.53,7.24,30.62,1.86,-999
1933,66.9,-999,-999,0.0,0.53,10.99,3.14,22.26,3.5,0.42,-999,0.01,14.36,14.38,6.36,3.87,5.12,1.34,0.0,4.63,2.0,26.43,14.08,42.46,4.17,0.0,27.64,0.18,55.51,9.29,20.99,3.0,10.96,16.8,11.85,3.96,2.27,2.24,4.23,5.0,0.0,25.0,0.96,1.04,15.82,0.19,22.42,3.61,28.4,2.56,-999
1934,54.74,-999,-999,0.0,0.02,0.18,0.08,11.26,9.49,3.57,-999,0.05,11.59,1.37,6.46,6.58,1.42,2.18,0.0,13.04,6.88,51.1,21.99,38.61,2.21,0.0,12.36,0.45,36.4,5.55,41.49,7.61,3.96,0.64,28.26,9.5,0.0,0.03,15.41,14.0,0.0,20.05,0.42,0.0,0.98,2.61,47.16,0.22,26.31,6.81,-999
1935,65.48,-999,-999,0.0,0.1,2.46,1.02,16.68,9.0,2.52,-999,0.02,15.87,10.57,7.42,5.05,2.55,2.59,0.0,10.04,5.69,45.11,13.15,39.17,3.01,0.0,29.75,0.46,48.17,7.7,39.44,5.05,5.03,3.91,22.53,5.28,0.85,1.35,10.42,11.0,0.03,22.2,0.5,0.13,5.89,2.76,36.98,2.49,26.43,6.86,-999
1936,56.07,-999,-999,0.29,0.54,1.04,0.31,19.89,4.0,0.42,-999,0.03,38.05,15.69,22.15,16.81,12.79,9.36,0.0,7.5,6.67,38.64,25.51,60.35,15.5,0.33,50.33,0.91,77.47,33.16,37.04,4.46,6.11,2.36,21.99,14.85,2.0,2.16,16.02,6.0,0.14,53.19,2.57,0.16,4.2,3.22,35.86,7.15,44.48,11.74,-999
1937,54.86,-999,-999,0.0,0.03,12.66,6.52,27.99,0.0,0.01,-999,0.04,28.11,21.94,2.27,0.59,5.29,0.0,0.0,0.07,0.45,18.19,8.8,61.53,1.56,0.01,44.7,0.16,73.03,26.58,12.97,0.19,10.86,16.65,7.01,0.43,0.37,7.23,1.16,0.0,0.0,50.53,0.58,0.08,21.58,0.18,7.82,11.16,33.6,1.55,-999
1938,58.49,-999,-999,0.0,0.01,1.47,0.73,18.9,1.5,0.01,-999,0.01,12.73,5.94,2.28,1.05,1.53,0.34,0.0,2.76,1.28,35.18,11.27,36.77,0.45,0.01,23.76,0.01,50.99,10.27,27.61,1.08,5.58,2.29,13.06,0.75,0.0,0.29,2.82,3.0,0.0,26.71,0.22,0.04,2.53,0.18,20.69,0.34,22.13,0.6,-999
1939,61.36,-999,-999,0.0,0.01,5.25,0.29,21.34,2.5,0.01,-999,0.01,11.18,9.81,1.37,0.83,3.97,0.25,0.0,2.35,0.87,34.65,11.54,37.76,1.14,0.0,19.98,0.01,47.4,11.02,30.79,1.27,9.19,4.83,14.2,1.25,0.37,0.36,3.78,3.0,0.0,23.32,0.01,0.19,7.86,0.04,23.24,1.16,23.18,0.52,-999
1940,44.52,-999,-999,0.96,1.43,0.83,0.26,21.36,4.0,0.42,-999,0.58,27.09,7.62,13.09,11.37,12.25,7.1,0.43,3.11,5.92,33.92,13.34,48.32,11.97,1.48,30.68,1.49,51.96,21.62,30.61,0.9,8.12,3.05,20.6,8.91,2.86,0.62,7.9,5.0,0.51,36.12,5.51,0.1,6.33,4.42,33.45,0.5,34.15,5.85,-999
1941,51.15,-999,-999,0.0,0.01,0.85,0.01,15.42,1.5,0.01,-999,0.01,6.89,7.16,1.77,0.44,0.55,0.0,0.0,1.86,0.59,23.84,8.08,34.52,0.02,0.0,16.32,0.01,42.11,5.32,22.09,0.48,4.64,1.19,13.2,0.14,0.0,0.11,3.08,0.0,0.0,19.49,0.01,0.0,4.34,0.04,23.09,0.47,20.29,1.62,-999
1942,56.01,-999,-999,0.0,1.31,3.47,1.79,26.53,11.0,1.7,-999,0.04,18.41,19.31,9.39,7.77,6.94,4.07,0.0,10.3,4.79,28.84,13.89,33.69,5.02,0.0,26.66,0.5,38.95,14.52,26.45,5.03,8.36,5.36,18.05,7.51,0.76,2.45,9.86,11.0,0.0,22.36,2.31,0.16,9.25,2.79,26.0,3.07,24.97,7.99,-999
1943,49.32,-999,-999,0.0,0.24,0.97,0.41,18.89,4.5,0.01,-999,0.01,22.82,9.13,11.2,8.77,6.9,0.53,0.0,7.93,1.45,40.81,20.88,54.46,7.48,0.0,35.02,0.38,57.09,15.72,32.29,2.79,6.7,2.12,22.43,7.95,1.92,1.97,8.83,4.0,0.0,38.12,0.26,0.19,3.24,0.92,32.85,4.13,40.93,5.25,-999
1944,41.56,-999,-999,0.0,0.27,1.93,0.05,18.84,5.0,0.01,-999,0.01,14.24,14.6,5.34,2.61,1.96,0.18,0.0,2.93,1.1,33.49,9.37,30.83,1.53,0.0,25.77,0.18,42.94,11.8,30.96,1.07,5.56,7.67,17.87,3.21,0.34,0.77,5.26,3.0,0.0,23.7,0.01,0.01,10.63,0.09,33.35,0.89,23.2,1.66,-999
1945,53.51,-999,-999,0.0,0.16,6.33,0.02,18.11,7.5,0.42,-999,0.01,18.57,10.41,9.27,7.58,2.85,1.34,0.0,6.9,2.44,31.39,16.71,42.91,2.83,0.01,26.35,0.14,50.66,11.1,24.75,2.58,7.58,5.05,20.6,8.13,0.47,0.57,11.4,13.0,0.0,29.21,0.51,0.0,5.16,0.06,27.34,0.71,34.42,1.57,-999
1946,71.77,-999,-999,0.0,0.0,3.94,0.29,15.2,2.5,0.01,-999,0.01,10.45,11.03,2.9,2.05,1.8,0.09,0.0,4.63,0.57,36.36,10.61,43.07,0.57,0.0,18.77,0.06,51.48,5.62,27.88,0.36,3.97,4.06,14.98,2.16,0.0,0.95,3.5,1.0,0.0,21.14,0.08,0.08,4.67,0.21,28.17,1.16,22.13,0.52,-999
1947,51.27,-999,-999,0.0,0.05,3.84,0.47,17.56,1.0,0.01,-999,0.01,14.7,11.14,4.23,2.16,4.16,0.52,0.0,1.2,0.59,25.93,11.16,45.5,1.95,0.0,27.88,0.01,48.87,10.45,20.82,0.43,5.98,4.73,10.03,2.01,1.77,1.42,2.06,0.0,0.0,25.23,0.4,0.78,9.47,0.27,24.98,2.89,23.53,2.28,-999
1948,68.21,-999,-999,0.0,0.23,4.28,1.9,27.36,14.5,0.01,-999,0.01,21.4,15.49,9.1,8.65,8.54,5.26,0.0,12.66,4.19,44.67,25.64,53.81,6.02,0.29,34.01,0.2,61.92,16.97,40.29,6.59,8.12,7.3,25.26,13.24,1.6,3.8,14.51,9.0,0.0,36.41,1.55,0.06,13.2,2.16,35.11,4.46,40.49,7.28,-999
1949,56.07,-999,-999,0.0,0.03,10.94,6.9,26.67,1.0,0.01,-999,0.01,18.64,26.87,3.5,1.11,5.0,0.0,0.0,1.38,0.27,21.14,6.17,48.27,2.21,0.01,51.79,0.01,69.66,24.02,12.07,0.48,7.36,27.65,6.68,0.57,1.05,8.04,1.36,2.0,0.0,47.01,0.01,0.56,26.43,0.04,13.4,13.01,25.23,0.12,-999
