Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,0.0,77.35,78.0,38.41,27.91,2.59,8.68,30.0,161.23,85.47,9.62,0.3,21.97,20.97,27.1,29.8,130.0,10.27,36.04,0.21,4.68,3.02,26.85,90.72,0.3,47.46,0.73,9.97,1.4,29.79,16.23,9.77,7.85,12.18,74.61,0.1,7.93,12.8,88.36,2.87,54.45,104.47,9.5,18.73,5.43,0.56,3.5,13.62,0.14
1951,0.0,87.57,86.56,47.96,25.47,5.09,15.33,51.0,155.65,96.6,12.56,0.93,27.09,26.62,35.47,38.84,123.22,13.68,41.44,0.21,3.77,3.39,36.48,101.79,1.2,52.2,1.73,13.85,0.41,37.53,28.33,10.74,5.53,14.62,87.77,0.1,10.88,16.6,83.53,6.07,63.43,116.4,9.4,23.82,3.14,0.93,5.74,16.98,0.99
1952,0.0,84.2,79.83,56.34,28.27,6.17,23.39,61.0,167.17,95.05,30.33,0.35,43.27,41.8,53.83,58.88,108.18,21.49,51.95,3.75,16.47,8.77,58.76,94.51,1.35,58.7,2.85,24.59,4.41,43.24,25.03,8.49,14.12,29.59,89.84,0.21,21.68,26.65,87.23,11.29,67.24,98.39,11.24,33.83,7.59,1.74,13.08,24.67,0.99
1953,0.0,80.82,87.28,48.25,24.5,7.67,19.57,52.0,167.33,95.98,32.54,0.67,43.71,37.52,50.67,51.18,125.27,17.36,44.7,3.82,14.21,13.07,61.61,102.71,1.28,53.4,3.72,28.88,4.55,33.45,22.47,10.66,11.71,26.33,91.39,0.0,13.77,20.96,86.3,14.83,58.08,108.38,15.62,23.7,10.94,1.0,15.05,17.54,1.07
1954,0.0,81.5,104.36,55.79,24.46,10.64,9.88,56.0,167.9,102.82,37.21,1.29,52.32,43.05,68.06,59.54,133.62,7.58,46.6,0.21,8.74,8.43,77.05,117.48,1.03,54.25,4.26,34.02,1.0,25.5,30.18,9.97,5.3,24.35,105.77,0.0,10.52,9.43,86.24,13.65,70.25,121.16,16.56,20.15,3.5,0.43,13.11,16.28,3.33
1955,0.0,79.85,87.27,46.85,24.36,7.55,32.52,74.0,152.24,92.21,41.62,0.98,45.7,41.62,55.82,55.25,126.89,28.87,60.04,8.37,20.81,20.03,56.2,106.15,2.61,62.7,6.37,35.17,10.72,51.96,16.71,9.97,18.24,35.34,86.24,0.11,24.76,34.54,93.28,21.52,60.64,116.27,8.91,32.87,15.12,1.25,25.71,22.78,1.98
1956,0.0,68.91,87.55,51.89,24.64,3.05,10.42,52.0,156.55,85.43,28.16,0.37,40.05,31.72,53.94,45.47,120.96,9.39,43.1,1.22,8.94,5.69,60.41,97.29,0.91,51.99,1.66,23.44,1.38,30.93,16.85,9.14,4.8,23.9,92.69,0.39,6.08,11.33,86.73,8.06,58.09,111.08,12.27,19.25,3.18,2.09,9.23,10.32,0.8
1957,0.18,75.96,83.66,49.29,25.45,3.8,20.36,49.0,171.89,94.32,33.53,0.13,43.96,31.59,46.82,45.48,126.18,16.27,47.4,1.01,10.58,12.64,50.06,101.27,1.75,57.86,5.86,26.79,3.47,41.34,21.75,8.74,9.37,25.48,68.39,0.0,10.27,20.81,96.02,15.39,57.34,99.96,16.42,18.69,5.12,0.43,12.44,15.06,1.47
1958,0.17,81.58,89.25,73.39,33.34,6.12,15.02,52.0,160.62,88.38,20.07,0.26,34.0,26.84,41.35,44.13,133.35,10.49,44.23,0.79,6.95,5.25,49.64,104.67,0.85,52.8,2.82,15.9,2.54,36.65,28.64,11.17,8.01,18.74,89.78,0.28,13.36,19.95,87.69,7.26,56.76,115.23,18.53,22.4,4.78,4.77,5.9,16.13,0.9
1959,0.0,93.83,97.22,53.48,30.75,6.04,32.22,82.0,188.42,101.24,35.31,1.07,53.46,48.75,47.19,63.92,141.12,28.1,71.77,5.86,25.02,15.38,55.64,107.69,1.44,67.23,4.75,26.08,10.02,58.56,18.31,10.16,17.73,32.29,90.78,0.12,24.12,35.41,100.21,16.53,63.42,116.27,18.53,30.18,19.91,1.31,21.37,24.28,0.91
