Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1966,0.73,26.39,17.18,29.74,31.67,41.32,43.98,30.67,17.16,35.43
1967,1.6,26.3,20.66,33.11,31.87,42.17,45.06,33.04,16.11,38.98
1968,3.67,23.3,18.57,30.47,29.77,40.87,43.58,31.42,17.19,38.15
1969,-1.53,24.98,14.23,26.59,30.67,42.05,42.99,33.11,16.32,36.35
1970,6.97,22.59,20.08,32.36,27.85,40.99,41.74,35.22,14.71,40.62
1971,3.9,23.58,16.93,29.81,31.61,43.82,46.0,33.44,14.68,37.72
1972,-0.83,26.95,15.89,27.81,34.23,45.13,49.73,33.37,14.78,36.07
1973,1.63,27.32,18.18,27.63,32.59,40.21,46.12,29.14,17.77,35.37
1974,-1.27,27.82,19.71,30.47,33.88,43.64,49.54,31.43,16.4,37.9
1975,-2.03,28.88,19.34,29.18,34.02,43.38,48.57,31.01,19.41,36.97
1976,-1.8,26.28,23.13,31.0,34.26,45.25,46.34,34.56,19.78,39.82
1977,12.8,21.06,19.71,29.57,24.69,39.28,40.22,32.73,11.69,38.55
1978,7.63,22.05,12.67,32.44,23.7,36.07,40.2,34.83,11.54,41.0
1979,4.3,23.48,8.92,23.78,25.9,36.84,43.34,28.02,9.26,34.45
1980,2.77,26.6,21.01,30.88,31.04,42.1,44.5,34.96,18.75,41.22
1981,7.2,24.3,25.15,33.49,31.31,43.11,43.33,37.86,19.4,41.78
1982,2.73,23.5,15.58,29.07,28.25,40.77,44.44,33.85,13.11,38.93
1983,5.37,29.62,25.55,32.46,35.94,43.55,46.46,34.04,23.86,39.13
1984,2.03,26.79,17.38,27.13,29.44,38.58,44.57,30.83,15.97,38.65
1985,8.47,27.25,15.49,24.32,30.69,41.31,46.29,31.1,16.16,35.42
1986,11.27,25.08,20.01,29.12,30.65,43.49,45.36,36.09,14.65,41.5
1987,10.8,26.11,26.19,30.19,33.53,43.24,45.37,33.13,24.22,37.85
1988,6.9,26.62,19.82,29.81,31.53,41.39,44.74,31.56,17.14,37.48
1989,12.17,27.35,18.45,26.43,33.6,43.46,48.04,31.37,18.04,35.05
1990,7.03,26.39,21.99,31.02,33.62,43.56,47.64,32.82,19.22,37.87
1991,3.57,30.18,20.08,28.94,34.5,43.31,49.23,32.04,18.23,37.95
1992,3.37,28.37,27.55,33.9,36.56,46.29,48.49,33.54,23.58,39.72
1993,5.67,26.25,14.67,25.3,32.77,42.19,46.87,31.84,17.68,34.88
1994,7.8,22.52,17.63,31.42,30.2,42.45,44.91,33.7,13.23,38.38
1995,5.4,29.21,23.28,32.62,34.02,45.32,47.06,36.94,20.66,41.13
1996,2.4,24.81,18.65,30.34,30.86,43.07,44.54,36.29,15.52,41.25
1997,5.23,30.27,17.25,30.06,34.1,43.99,48.39,33.63,17.03,39.62
1998,4.9,31.84,25.31,31.81,37.46,44.71,47.94,33.57,26.36,38.25
1999,-1.07,30.6,24.23,30.46,36.46,47.13,50.17,36.45,22.36,38.75
2000,4.77,28.69,26.15,31.99,35.46,46.81,47.34,36.75,22.62,40.68
2001,14.97,25.71,17.05,29.37,29.72,40.19,44.72,33.54,14.83,38.03
2002,6.27,33.42,24.31,29.69,37.3,44.73,48.93,32.95,26.52,38.33
2003,13.43,23.44,22.39,33.64,29.99,42.07,44.07,35.8,18.35,41.33
2004,4.77,25.01,21.41,30.51,32.22,42.86,44.18,33.31,19.4,37.95
2005,7.83,27.22,23.94,32.36,35.27,45.63,47.61,36.33,20.62,39.52
2006,7.2,29.79,24.57,30.43,34.81,44.92,46.98,35.45,22.52,40.27
2007,6.57,29.11,20.95,30.12,33.09,42.68,47.9,32.54,20.35,37.9
2008,3.37,28.75,18.55,28.77,33.07,43.83,48.69,31.72,16.13,36.58
2009,3.63,26.48,18.9,29.33,31.57,44.73,47.04,35.5,14.76,38.97
2010,7.5,27.68,16.33,31.26,29.03,38.66,42.35,31.28,17.13,38.08
2011,3.53,25.39,17.37,29.99,29.6,41.6,43.24,33.74,16.23,39.28
2012,11.43,32.63,25.01,30.82,37.5,46.09,50.08,34.14,25.43,39.38
2013,5.1,30.05,21.55,29.66,35.61,45.41,49.45,31.41,20.69,36.83
2014,10.7,25.09,16.72,30.07,28.1,40.02,45.76,34.81,10.45,41.45
2015,11.57,23.55,23.05,35.42,29.88,42.27,44.9,37.33,16.98,44.12
2016,14.27,33.26,25.47,32.43,37.1,46.87,49.77,34.68,24.36,39.75
2017,5.77,31.94,20.22,26.43,38.1,48.21,51.96,35.97,23.55,38.43
2018,12.8,28.12,18.53,31.46,33.17,43.39,48.47,36.89,17.3,41.67
2019,10.7,28.38,17.61,29.2,34.95,44.54,49.72,32.88,17.6,37.93
2020,0.6,31.48,22.84,32.03,37.28,46.19,50.68,34.59,22.1,40.62
2021,7.4,29.38,21.94,31.17,32.17,41.76,46.58,33.68,19.62,40.02
2022,5.87,29.01,21.13,30.22,35.03,45.94,49.9,35.02,17.52,39.72
2023,8.0,33.09,19.01,28.49,38.12,46.9,51.39,32.47,21.58,36.75
2024,6.7,33.24,26.15,33.01,38.0,46.02,48.69,36.09,28.42,41.33
