Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1965,116.04,2.19,1.98,3.53,2.17,25.67,36.23,10.0,0.0,0.45,54.31,26.19,31.19,27.44,17.04,11.87,0.0,32.48,13.05,58.77,54.28,91.06,18.1,0.88,52.67,2.77,100.15,36.19,65.69,19.72,3.69,10.95,47.34,30.08,6.84,5.04,29.07,25.65,0.22,62.84,5.68,0.96,17.57,12.46,61.73,10.97,68.14,18.68,47.24
1966,125.75,2.57,4.62,6.47,1.23,30.64,36.02,16.0,0.0,0.79,54.26,23.57,40.82,39.12,27.68,22.77,0.32,32.33,17.41,53.02,64.14,90.12,28.29,2.8,55.28,3.65,96.11,43.0,57.08,22.27,4.22,8.55,52.23,42.56,20.61,1.82,47.56,18.0,1.24,65.09,11.39,3.17,23.98,14.95,60.41,6.65,71.47,33.24,51.48
1967,107.13,1.06,2.47,6.84,2.52,26.06,35.56,6.0,0.0,0.22,42.69,22.74,28.93,29.37,13.37,11.15,0.63,32.02,10.34,67.31,61.46,83.61,15.47,1.35,46.51,1.72,88.42,27.55,68.76,19.12,4.58,10.14,51.57,33.28,3.0,2.45,31.65,17.38,0.07,51.74,4.52,0.81,23.21,8.95,66.16,7.52,70.95,18.77,50.84
1968,112.55,2.72,5.19,7.95,2.13,26.47,46.03,15.0,0.0,1.52,49.76,25.34,37.86,40.14,20.75,18.95,0.47,42.62,20.3,65.54,58.5,79.79,25.41,2.5,45.09,4.8,86.63,37.19,69.99,26.02,1.49,7.18,60.34,44.66,9.39,6.11,44.92,28.98,1.89,58.12,8.28,2.72,20.71,20.54,73.35,10.84,65.01,34.6,50.56
1969,99.26,0.84,1.84,3.9,1.94,26.02,46.68,6.0,0.0,0.28,67.48,31.08,39.27,35.08,20.06,13.53,0.0,36.47,11.88,63.04,58.68,99.15,18.45,0.71,64.37,1.87,107.53,48.97,70.37,17.69,3.11,8.64,66.39,39.97,6.23,10.04,41.76,26.04,0.58,76.13,4.52,0.92,11.41,11.22,75.05,26.2,76.84,30.41,50.47
1970,102.57,4.29,6.78,2.34,1.5,22.01,52.31,10.0,0.0,2.53,52.3,24.49,36.17,35.56,15.12,17.57,0.47,49.64,17.37,71.17,67.39,94.47,21.85,4.6,51.08,7.17,104.43,33.01,76.74,27.34,3.66,10.48,64.21,43.62,8.0,5.73,45.05,41.22,3.57,63.69,11.42,1.96,11.14,16.99,75.97,14.79,75.4,32.95,43.04
1971,126.29,2.69,4.63,8.73,3.04,29.87,35.71,13.0,0.0,0.44,57.78,34.83,28.41,27.83,21.08,16.99,0.7,32.99,16.69,62.43,56.49,96.1,20.37,3.01,57.52,3.49,102.88,39.37,66.47,20.02,4.9,18.39,49.3,33.27,9.0,6.06,29.77,20.08,0.23,70.94,9.84,1.86,25.16,16.42,68.2,12.51,78.11,24.34,57.93
1972,127.94,0.76,4.84,4.53,4.64,32.35,41.86,6.0,0.0,0.2,59.76,36.69,34.21,27.9,25.18,11.62,0.0,33.1,7.72,71.09,62.76,102.66,24.93,1.8,56.88,1.29,105.12,41.19,77.73,16.63,4.8,19.38,57.54,32.24,18.23,14.32,33.5,22.02,0.5,65.48,5.39,3.53,19.91,7.07,70.07,22.6,81.01,17.95,53.2
1973,110.32,1.84,6.05,5.12,1.57,32.54,28.94,11.0,0.0,0.9,46.31,26.02,29.73,27.03,18.17,13.44,1.26,24.16,11.91,41.31,49.08,70.1,20.24,4.07,43.45,3.31,80.59,34.97,54.88,15.54,3.83,10.36,41.88,29.29,13.0,5.59,25.52,18.68,0.99,46.36,10.44,4.83,27.08,12.42,47.19,10.31,57.87,18.19,52.17
1974,113.68,0.23,4.78,4.95,2.73,33.3,33.68,2.0,0.0,0.04,47.49,26.93,27.76,24.68,17.03,8.3,0.16,27.86,7.05,59.8,49.61,77.93,18.38,1.1,32.15,0.33,87.92,28.27,66.98,12.67,2.98,14.59,51.48,29.55,9.84,7.24,30.08,18.93,0.01,43.64,4.51,2.48,23.45,3.68,59.53,9.99,58.4,11.85,42.15
1975,115.74,0.77,1.7,6.3,1.93,31.08,30.39,3.0,0.0,0.04,67.51,36.96,28.97,21.8,17.5,8.0,0.0,25.35,5.49,67.26,54.36,104.3,16.3,1.47,64.9,0.46,101.74,46.31,62.41,12.7,2.14,13.09,50.86,26.06,7.23,6.08,27.01,17.6,0.04,73.67,3.61,0.71,22.17,7.45,58.27,15.67,81.16,11.73,58.4
