Year,CONUS
1930,26.53
1931,28.86
1932,20.46
1933,26.99
1934,33.47
1935,20.48
1936,36.69
1937,25.33
1938,22.16
1939,26.21
1940,20.62
1941,19.16
1942,17.01
1943,24.08
1944,20.63
1945,17.38
1946,17.5
1947,22.6
1948,20.38
1949,16.24
1950,12.35
1951,20.88
1952,27.46
1953,27.24
1954,32.06
1955,22.21
1956,24.7
1957,17.93
1958,17.9
1959,17.84
1960,20.74
1961,14.98
1962,18.3
1963,20.71
1964,19.76
1965,13.61
1966,17.11
1967,13.21
1968,13.69
1969,19.03
1970,19.87
1971,15.85
1972,14.24
1973,14.13
1974,16.46
1975,12.65
1976,13.83
1977,21.48
1978,21.42
1979,13.7
1980,28.93
1981,17.49
1982,13.89
1983,22.88
1984,16.93
1985,17.52
1986,16.02
1987,17.2
1988,24.82
1989,14.39
1990,20.18
1991,15.27
1992,9.67
1993,14.85
1994,14.61
1995,17.63
1996,15.43
1997,14.35
1998,23.84
1999,17.75
2000,23.7
2001,18.68
2002,20.01
2003,18.42
2004,11.12
2005,18.75
2006,22.31
2007,17.91
2008,15.58
2009,15.61
2010,20.22
2011,27.69
2012,26.34
2013,16.27
2014,13.56
2015,17.56
2016,18.32
2017,15.47
2018,18.95
2019,16.93
2020,18.59
2021,18.69
2022,26.14
2023,22.45
2024,23.52
