Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,-999,-999,-999.0,0.18,5.11,-999.0,-999.0,4.62,-999.0,-999.0,2.22,3.57,0.2,3.26,0.68,0.09,12.73,1.55,2.0,-999.0,-999.0,0.0,0.09,0.11,3.63,1.07,2.18,10.84,-999,4.79,-999.0,0.38,-999.0,-999.0,0.01,0.57,-999.0,1.97,0.01,-999.0,5.94,4.39,0.18,7.99,12.36,1.93,-999.0,0.91,0.72,0.06,-999.0
1901,-999,-999,-999.0,3.51,27.86,-999.0,-999.0,7.65,-999.0,-999.0,0.0,1.1,14.55,9.01,11.39,7.44,30.92,10.49,11.32,-999.0,-999.0,0.77,0.61,3.03,26.03,9.81,3.92,0.58,-999,20.57,-999.0,1.41,36.0,-999.0,0.23,1.48,-999.0,1.9,0.01,-999.0,0.74,8.94,6.38,29.86,14.99,0.06,-999.0,0.84,5.76,0.32,-999.0
1902,-999,-999,-999.0,10.81,6.4,-999.0,-999.0,5.38,-999.0,-999.0,2.56,13.74,0.04,6.29,0.43,0.27,9.33,1.88,9.66,-999.0,-999.0,0.0,0.0,0.0,0.73,13.3,0.19,5.71,-999,1.94,-999.0,0.04,36.34,-999.0,0.01,0.0,-999.0,3.08,0.01,-999.0,7.2,1.24,1.6,15.41,10.12,0.59,-999.0,0.31,0.01,0.0,-999.0
1903,-999,-999,-999.0,0.92,0.5,-999.0,-999.0,1.75,-999.0,-999.0,0.0,0.32,0.06,0.28,0.14,0.23,4.38,0.13,0.93,-999.0,-999.0,0.0,0.0,0.0,0.17,0.96,0.47,0.43,-999,0.45,-999.0,0.04,40.15,-999.0,0.01,0.1,8.0,0.39,0.01,-999.0,1.84,0.81,0.05,7.32,8.73,0.11,-999.0,0.23,0.0,0.0,-999.0
1904,-999,-999,-999.0,2.72,1.34,-999.0,-999.0,0.27,-999.0,-999.0,1.12,2.14,0.06,2.74,0.01,0.01,1.08,0.0,0.49,-999.0,-999.0,0.0,0.0,0.0,0.01,0.68,0.22,0.77,-999,0.52,-999.0,0.04,15.28,-999.0,0.01,0.0,1.0,2.24,0.01,-999.0,1.55,1.43,0.06,6.9,9.12,0.03,-999.0,1.13,0.01,-999.0,-999.0
1905,-999,-999,-999.0,0.25,1.4,-999.0,-999.0,1.91,-999.0,-999.0,0.37,3.42,0.12,5.05,0.22,0.02,6.3,0.32,4.67,-999.0,-999.0,0.0,0.0,0.0,0.13,0.57,0.98,0.45,-999,0.59,-999.0,0.29,15.53,-999.0,0.01,0.0,4.0,3.45,0.01,-999.0,1.04,0.73,0.0,8.76,14.29,0.03,-999.0,1.68,0.0,0.11,-999.0
1906,-999,-999,-999.0,0.7,0.35,-999.0,-999.0,0.69,-999.0,-999.0,0.01,1.53,0.08,2.6,0.1,0.01,0.91,0.0,7.81,-999.0,-999.0,0.0,0.0,0.04,0.09,1.34,1.56,0.17,-999,0.74,-999.0,0.02,13.18,-999.0,0.17,0.07,-999.0,3.53,0.01,-999.0,0.18,1.06,0.04,6.11,12.84,0.49,-999.0,4.77,0.0,0.0,-999.0
1907,-999,-999,-999.0,1.59,12.05,-999.0,-999.0,1.94,-999.0,-999.0,0.24,5.3,0.07,0.75,0.11,0.09,6.19,0.42,12.41,-999.0,-999.0,0.0,0.0,0.0,1.81,4.04,0.53,0.23,-999,3.56,-999.0,0.04,10.69,-999.0,0.01,0.0,-999.0,0.97,0.01,-999.0,2.58,0.74,1.72,15.78,6.93,0.02,-999.0,1.01,0.0,0.0,-999.0
1908,-999,-999,-999.0,3.59,2.14,-999.0,-999.0,1.7,-999.0,-999.0,0.37,1.77,0.05,4.76,0.42,0.29,3.35,0.79,0.91,-999.0,-999.0,0.0,0.02,0.08,0.31,0.93,2.09,0.15,-999,1.7,-999.0,0.16,9.51,-999.0,0.04,0.13,4.0,3.38,0.01,-999.0,0.66,1.55,0.35,7.18,8.64,0.13,-999.0,3.67,0.0,0.0,-999.0
1909,-999,-999,-999.0,1.51,15.62,-999.0,-999.0,1.98,-999.0,-999.0,0.79,0.49,0.22,2.67,0.76,0.11,7.58,0.59,8.47,-999.0,-999.0,0.0,0.0,0.0,3.76,4.49,1.5,0.0,-999,2.64,-999.0,0.04,6.2,-999.0,0.04,0.0,49.0,0.51,0.01,-999.0,0.46,1.54,1.08,23.13,7.7,0.12,-999.0,0.72,0.04,0.04,-999.0
