Year,CONUS
1900,0.54
1901,0.47
1902,0.59
1903,0.48
1904,0.38
1905,0.52
1906,0.52
1907,0.43
1908,0.49
1909,0.49
1910,0.32
1911,0.47
1912,0.42
1913,0.47
1914,0.41
1915,0.63
1916,0.44
1917,0.23
1918,0.37
1919,0.49
1920,0.5
1921,0.39
1922,0.42
1923,0.39
1924,0.32
1925,0.32
1926,0.46
1927,0.43
1928,0.5
1929,0.54
1930,0.29
1931,0.32
1932,0.51
1933,0.46
1934,0.38
1935,0.44
1936,0.47
1937,0.44
1938,0.45
1939,0.29
1940,0.44
1941,0.52
1942,0.51
1943,0.45
1944,0.49
1945,0.56
1946,0.53
1947,0.44
1948,0.45
1949,0.46
1950,0.47
1951,0.43
1952,0.33
1953,0.45
1954,0.39
1955,0.5
1956,0.35
1957,0.59
1958,0.41
1959,0.49
1960,0.4
1961,0.63
1962,0.32
1963,0.34
1964,0.63
1965,0.42
1966,0.4
1967,0.42
1968,0.38
1969,0.54
1970,0.4
1971,0.4
1972,0.48
1973,0.75
1974,0.56
1975,0.5
1976,0.32
1977,0.48
1978,0.43
1979,0.68
1980,0.48
1981,0.43
1982,0.63
1983,0.57
1984,0.4
1985,0.5
1986,0.48
1987,0.4
1988,0.34
1989,0.52
1990,0.62
1991,0.64
1992,0.44
1993,0.5
1994,0.49
1995,0.65
1996,0.62
1997,0.54
1998,0.7
1999,0.49
2000,0.42
2001,0.55
2002,0.56
2003,0.57
2004,0.66
2005,0.48
2006,0.48
2007,0.49
2008,0.74
2009,0.61
2010,0.57
2011,0.52
2012,0.42
2013,0.63
2014,0.51
2015,0.73
2016,0.69
2017,0.72
2018,0.72
2019,0.59
2020,0.67
2021,0.63
2022,0.4
2023,0.39
2024,0.71
