Year,CONUS
1950,16.42
1951,16.64
1952,11.04
1953,6.12
1954,8.07
1955,15.9
1956,11.59
1957,11.38
1958,11.13
1959,12.14
1960,14.22
1961,10.76
1962,15.73
1963,18.75
1964,11.89
1965,12.96
1966,14.39
1967,11.44
1968,13.02
1969,11.89
1970,14.21
1971,13.28
1972,17.08
1973,10.17
1974,11.03
1975,11.9
1976,13.11
1977,15.75
1978,19.37
1979,19.3
1980,12.17
1981,8.35
1982,16.59
1983,11.35
1984,11.95
1985,19.06
1986,8.47
1987,5.93
1988,13.6
1989,17.79
1990,9.48
1991,9.65
1992,7.12
1993,13.03
1994,12.18
1995,9.42
1996,16.43
1997,10.14
1998,6.86
1999,5.88
2000,10.32
2001,7.98
2002,7.31
2003,10.65
2004,10.33
2005,9.45
2006,4.95
2007,11.33
2008,13.38
2009,12.54
2010,9.53
2011,11.5
2012,5.53
2013,12.16
2014,16.24
2015,11.53
2016,7.29
2017,8.45
2018,10.28
2019,13.17
2020,6.07
2021,8.27
2022,14.35
2023,6.31
2024,6.02
