Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1950,105.83,33.97,65.4,22.54,24.46,5.46,2.31,10.73,82.06,6.98
1951,116.53,30.96,69.0,19.91,23.38,7.95,2.88,15.94,78.91,8.62
1952,104.71,24.02,63.39,21.35,12.68,4.34,0.88,18.81,61.78,9.56
1953,105.84,20.08,38.75,4.25,10.54,1.98,0.83,9.35,54.9,2.73
1954,114.09,30.92,40.43,11.69,13.33,3.1,1.76,7.44,53.68,3.04
1955,123.65,43.66,77.35,26.2,22.61,4.12,2.16,18.04,80.52,12.66
1956,128.32,31.3,56.3,23.67,15.28,5.45,0.98,12.7,66.98,6.46
1957,92.83,28.83,50.29,23.42,14.31,4.77,1.77,10.21,59.65,5.42
1958,102.85,46.09,54.38,8.65,33.99,8.69,5.23,8.38,67.16,2.34
1959,116.62,35.67,54.38,12.68,19.25,5.29,2.5,7.61,69.42,3.15
1960,102.96,40.21,69.28,24.63,34.69,10.49,4.32,18.96,82.37,6.57
1961,121.0,38.03,47.56,12.64,22.06,6.75,3.61,11.08,55.15,3.55
1962,107.76,42.75,54.72,18.3,27.3,8.42,4.91,15.57,70.28,8.3
1963,104.35,48.93,51.24,17.9,40.47,13.0,4.93,14.43,75.62,3.81
1964,116.94,32.51,56.2,15.74,17.47,4.0,1.8,16.85,60.04,7.16
1965,116.04,36.34,59.82,14.07,20.43,4.62,3.01,12.62,66.95,6.56
1966,125.75,37.48,62.19,10.68,31.17,9.87,3.87,16.33,70.0,4.89
1967,107.13,36.9,53.01,10.9,20.21,3.61,2.0,15.17,64.68,6.33
1968,112.55,44.83,55.52,14.1,29.99,6.84,5.24,14.16,63.26,4.65
1969,99.26,41.94,69.49,22.44,25.89,4.96,2.47,11.11,75.54,5.29
1970,102.57,48.27,59.05,15.0,28.45,6.15,5.76,9.79,72.39,5.99
1971,126.29,37.7,65.73,17.8,23.01,6.72,3.88,17.16,72.12,10.71
1972,127.94,39.75,64.37,24.54,22.03,8.93,1.64,15.4,76.55,12.01
1973,110.32,29.18,51.51,13.97,21.19,7.9,3.24,17.14,55.84,5.97
1974,113.68,33.64,46.83,14.72,17.86,5.9,0.71,16.17,58.36,8.66
1975,115.74,32.76,69.0,19.57,16.64,4.77,1.46,15.42,76.83,7.51
1976,105.04,44.83,47.1,14.39,23.79,4.76,2.65,11.23,67.53,3.26
1977,103.72,49.28,54.21,24.35,40.29,7.43,7.52,9.2,73.7,4.07
1978,101.64,53.92,82.73,20.38,45.52,18.32,5.35,17.53,90.32,6.32
1979,102.62,39.62,66.67,26.66,35.86,14.22,4.05,20.26,75.59,7.19
1980,107.0,45.55,51.89,17.81,30.33,8.83,4.16,10.11,70.91,2.43
1981,90.83,37.05,38.79,11.65,24.53,3.11,3.88,5.77,56.25,0.68
1982,125.35,40.49,62.53,22.22,25.16,9.39,4.46,15.81,72.16,8.11
1983,108.91,29.19,58.17,17.21,25.29,12.16,4.07,13.5,67.22,3.92
1984,103.83,34.45,50.68,22.65,21.93,5.76,2.12,16.51,60.45,8.3
1985,115.76,45.87,71.27,46.87,38.43,13.61,4.74,19.97,80.59,11.32
1986,106.9,33.61,44.32,13.86,19.61,4.27,2.19,7.98,62.66,1.0
1987,89.41,31.55,40.61,15.87,14.01,4.37,1.99,14.77,39.88,9.43
1988,111.05,36.9,53.15,19.48,27.95,7.85,4.44,16.64,63.39,8.4
1989,109.57,49.33,61.65,22.36,32.03,11.68,7.16,17.18,75.37,9.46
1990,112.83,18.98,41.49,17.22,8.53,4.76,0.59,14.55,42.31,10.35
1991,99.13,26.32,49.12,13.16,18.71,5.24,1.12,14.64,67.09,4.93
