Year,CONUS
1930,114.95
1931,120.73
1932,114.56
1933,120.83
1934,127.55
1935,108.84
1936,124.53
1937,114.17
1938,121.58
1939,127.64
1940,114.69
1941,113.41
1942,110.6
1943,115.43
1944,113.27
1945,108.59
1946,110.24
1947,113.68
1948,115.01
1949,116.3
1950,108.4
1951,105.08
1952,119.35
1953,119.86
1954,116.6
1955,121.56
1956,119.84
1957,105.65
1958,109.85
1959,117.99
1960,114.47
1961,111.89
1962,114.41
1963,122.87
1964,108.95
1965,106.73
1966,111.73
1967,110.07
1968,104.06
1969,109.7
1970,115.88
1971,111.98
1972,108.17
1973,109.04
1974,108.01
1975,108.25
1976,107.67
1977,116.48
1978,113.28
1979,108.32
1980,113.22
1981,108.53
1982,103.24
1983,107.45
1984,109.53
1985,108.17
1986,110.25
1987,116.35
1988,118.56
1989,111.19
1990,110.17
1991,116.65
1992,97.86
1993,94.41
1994,111.17
1995,106.19
1996,106.92
1997,102.39
1998,113.98
1999,107.87
2000,109.91
2001,114.99
2002,114.59
2003,111.43
2004,103.51
2005,112.39
2006,113.68
2007,121.16
2008,106.43
2009,98.43
2010,114.04
2011,114.36
2012,125.08
2013,106.49
2014,105.61
2015,114.43
2016,118.8
2017,116.27
2018,117.19
2019,106.46
2020,114.66
2021,118.43
2022,119.05
2023,117.06
2024,121.2
