Year,CONUS
1930,66.28
1931,76.08
1932,64.14
1933,75.32
1934,79.34
1935,64.22
1936,80.92
1937,72.33
1938,69.52
1939,77.74
1940,65.54
1941,67.86
1942,60.72
1943,69.15
1944,65.86
1945,60.74
1946,58.34
1947,65.73
1948,66.19
1949,64.88
1950,52.79
1951,59.23
1952,72.86
1953,73.39
1954,72.09
1955,73.98
1956,70.26
1957,58.62
1958,60.77
1959,70.94
1960,65.33
1961,62.48
1962,63.78
1963,68.76
1964,63.59
1965,55.38
1966,61.67
1967,54.37
1968,57.29
1969,61.26
1970,68.01
1971,61.25
1972,59.47
1973,61.02
1974,57.65
1975,59.62
1976,55.64
1977,65.67
1978,64.59
1979,56.23
1980,69.4
1981,59.41
1982,54.22
1983,66.22
1984,61.54
1985,58.37
1986,61.2
1987,65.74
1988,73.01
1989,57.71
1990,61.88
1991,64.22
1992,45.79
1993,52.39
1994,58.44
1995,60.56
1996,57.47
1997,55.18
1998,67.36
1999,60.41
2000,62.76
2001,63.71
2002,70.77
2003,59.79
2004,49.75
2005,66.5
2006,66.77
2007,68.17
2008,55.36
2009,51.41
2010,67.43
2011,69.01
2012,73.73
2013,58.51
2014,53.65
2015,61.42
2016,66.72
2017,61.2
2018,68.65
2019,60.72
2020,66.01
2021,66.92
2022,71.29
2023,63.98
2024,68.71
