Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1980,32.86,32.12,38.18,38.69,55.81,49.91,47.46,25.85,52.17
1981,32.03,36.67,40.95,40.46,56.91,50.44,52.42,26.66,54.09
1982,29.79,26.68,36.37,35.87,55.62,48.34,47.22,20.65,50.08
1983,36.57,35.34,39.14,43.36,56.56,51.14,45.85,29.67,49.16
1984,32.92,27.32,34.35,36.95,54.01,50.56,44.09,23.0,49.77
1985,33.53,26.53,32.66,38.27,56.13,52.06,43.24,23.6,47.03
1986,31.37,30.38,36.7,38.68,58.06,51.06,49.72,21.9,52.45
1987,32.65,36.65,37.96,40.86,55.63,49.65,45.49,31.18,49.71
1988,33.5,31.21,37.95,39.34,55.74,49.95,44.58,24.27,49.18
1989,34.24,29.34,34.24,41.73,58.64,53.61,45.11,25.6,47.22
1990,33.44,32.95,38.95,42.29,58.64,53.73,46.7,27.06,50.59
1991,36.84,31.46,37.68,41.96,58.38,54.81,45.74,26.43,51.22
1992,34.83,38.68,41.49,44.49,59.44,54.92,45.42,29.33,50.95
1993,32.52,24.89,32.91,39.63,56.3,50.9,43.22,24.92,45.15
1994,29.2,28.3,38.79,37.43,56.22,49.69,47.65,20.09,50.32
1995,35.27,33.81,40.06,41.64,58.24,52.08,49.46,27.51,51.21
1996,30.8,29.62,37.83,39.12,57.01,49.6,50.2,22.54,52.25
1997,36.1,27.33,37.49,41.11,58.62,53.79,46.23,23.6,50.12
1998,37.62,34.65,38.81,43.66,57.44,53.01,45.43,31.74,48.04
1999,37.91,34.74,37.45,44.45,61.39,56.38,50.77,29.39,50.54
2000,35.42,37.14,38.97,44.18,60.75,53.86,50.6,30.23,52.02
2001,32.28,27.77,37.16,36.96,54.64,50.68,46.44,22.54,49.79
2002,40.08,35.12,37.18,46.03,59.66,56.57,47.16,33.23,50.06
2003,29.41,33.5,40.88,37.4,55.22,48.67,48.61,25.47,52.64
2004,31.42,31.61,37.36,40.04,56.26,49.82,46.4,26.33,48.54
2005,34.05,35.18,40.69,42.78,59.02,53.34,47.89,27.17,49.65
2006,35.83,34.56,38.12,42.84,59.05,53.37,50.45,28.43,52.08
2007,35.05,31.79,38.31,40.69,57.73,54.26,45.57,26.99,50.49
2008,34.58,29.93,36.34,40.04,59.15,54.92,44.62,23.65,47.68
2009,33.02,30.1,37.63,40.04,59.21,52.93,49.25,22.63,50.72
2010,32.66,26.23,38.52,35.33,51.66,47.24,43.56,24.5,48.83
2011,31.62,27.55,37.47,36.56,55.3,48.81,47.5,22.85,50.41
2012,38.8,36.02,39.57,45.65,60.71,56.6,47.34,32.29,52.69
2013,35.54,32.02,37.11,43.16,59.9,54.25,45.01,27.08,48.91
2014,31.16,28.15,38.26,36.14,55.39,51.59,48.75,18.01,54.68
2015,29.79,34.05,43.04,37.34,55.55,49.53,49.88,23.43,55.64
2016,39.35,35.14,39.57,45.05,60.69,54.72,48.24,30.01,51.19
2017,37.85,29.72,34.11,45.8,63.03,57.21,48.26,29.45,48.48
2018,34.28,29.36,39.13,41.35,58.32,53.54,51.49,24.46,54.56
2019,34.27,27.6,36.44,41.64,58.92,53.99,45.42,24.06,48.15
2020,37.19,32.98,39.38,44.38,60.31,55.86,47.43,28.49,52.05
2021,34.41,32.3,38.57,38.66,56.25,50.92,47.33,26.67,52.16
2022,35.88,33.14,38.63,44.02,61.73,56.02,49.35,24.89,52.43
2023,39.04,28.98,36.24,45.76,61.88,56.63,45.13,27.51,47.4
2024,39.1,36.22,39.8,46.32,59.99,55.71,48.71,34.39,51.78
