Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,-999.0,9.67,10.76,-999.0,-999.0,55.9,-999.0,-999.0,1.0,9.08,80.77,33.55,51.92,41.11,46.67,27.37,3.15,-999.0,-999.0,101.62,81.5,113.83,42.78,6.18,60.08,19.7,124.39,72.6,-999.0,43.78,-999.0,-999.0,79.18,50.5,-999.0,13.01,51.05,-999.0,7.37,93.31,18.04,7.82,60.07,35.71,-999.0,16.22,89.75,39.01,-999.0
1901,-999.0,13.76,10.96,-999.0,-999.0,80.99,-999.0,-999.0,0.34,11.15,85.75,36.15,56.28,52.36,49.91,35.66,5.03,-999.0,-999.0,101.52,82.57,118.45,43.48,9.13,69.75,24.76,131.16,78.37,-999.0,49.37,30.0,-999.0,85.44,54.47,-999.0,14.46,66.43,-999.0,11.89,102.6,20.02,9.98,68.98,47.25,-999.0,28.17,91.64,48.18,-999.0
1902,-999.0,10.13,13.69,-999.0,-999.0,76.52,-999.0,-999.0,0.35,7.74,75.84,44.79,54.84,51.03,52.84,36.74,0.56,-999.0,-999.0,82.07,71.25,102.14,46.33,5.95,79.25,21.39,120.49,78.37,-999.0,47.23,20.75,-999.0,77.2,51.97,-999.0,18.97,63.35,-999.0,9.73,93.84,21.63,4.97,65.96,39.86,-999.0,22.02,79.62,45.59,-999.0
1903,-999.0,12.0,13.93,-999.0,-999.0,93.27,-999.0,-999.0,0.12,6.59,81.36,58.12,60.14,57.59,55.23,36.23,3.12,-999.0,-999.0,93.98,84.08,120.69,46.28,7.0,89.99,23.8,135.94,81.92,-999.0,42.4,40.99,-999.0,70.88,59.51,29.0,17.4,58.31,-999.0,7.3,108.36,21.66,5.21,91.66,45.13,-999.0,21.77,87.15,59.33,-999.0
1904,-999.0,5.96,11.85,-999.0,-999.0,85.64,-999.0,-999.0,0.0,5.39,87.33,42.7,63.94,63.28,64.29,37.69,2.35,-999.0,-999.0,118.64,102.58,114.53,48.62,5.55,87.38,22.1,133.45,87.68,-999.0,60.61,34.5,-999.0,103.43,66.29,39.0,12.44,80.02,-999.0,5.05,104.38,15.19,8.15,75.59,49.88,-999.0,17.16,101.38,62.0,-999.0
1905,-999.0,17.3,23.01,-999.0,-999.0,69.85,-999.0,-999.0,0.96,9.98,74.97,53.6,57.99,50.08,60.88,37.58,5.2,-999.0,-999.0,108.07,84.74,99.76,50.52,12.42,78.63,22.07,128.15,78.22,-999.0,52.93,37.53,-999.0,85.25,56.44,42.0,19.53,71.21,-999.0,9.73,89.7,21.8,12.97,58.65,41.51,-999.0,21.7,96.89,45.31,-999.0
1906,-999.0,4.99,9.83,-999.0,-999.0,74.06,-999.0,-999.0,0.5,4.16,80.0,48.22,48.29,45.13,48.2,25.94,1.41,-999.0,-999.0,105.38,69.51,110.06,42.86,3.37,88.65,11.83,128.09,78.54,-999.0,36.05,43.42,-999.0,77.34,46.11,-999.0,18.25,57.48,-999.0,4.93,100.95,15.06,5.16,53.05,32.77,-999.0,22.79,89.82,44.82,-999.0
1907,-999.0,3.6,6.05,-999.0,-999.0,69.48,-999.0,-999.0,0.0,0.5,71.41,41.97,36.01,34.92,40.35,22.51,1.11,-999.0,-999.0,107.93,76.99,123.74,26.43,2.8,88.19,12.26,155.34,74.35,-999.0,41.87,45.51,-999.0,75.94,46.4,-999.0,18.16,57.72,-999.0,1.55,103.46,9.11,2.27,43.85,30.95,-999.0,26.84,92.26,41.08,-999.0
1908,-999.0,6.89,6.68,-999.0,-999.0,88.9,-999.0,-999.0,0.0,2.06,70.74,52.4,46.44,41.98,38.65,20.7,1.85,-999.0,-999.0,107.0,80.13,112.37,31.62,2.17,92.74,10.57,130.94,72.91,-999.0,36.09,56.68,-999.0,81.21,49.27,15.0,15.61,59.82,-999.0,2.31,100.49,7.6,3.41,71.79,41.16,-999.0,19.97,94.03,52.35,-999.0
1909,-999.0,7.73,17.59,-999.0,-999.0,86.74,-999.0,-999.0,0.92,6.41,73.05,52.04,49.35,42.62,58.04,27.93,3.44,-999.0,-999.0,94.27,75.13,115.04,42.83,7.52,93.82,11.84,139.18,82.78,-999.0,29.8,59.44,-999.0,75.5,46.39,36.0,22.17,51.1,-999.0,5.39,103.94,17.35,10.89,65.31,34.83,-999.0,31.06,86.34,45.9,-999.0
