Year,CONUS
1900,49.84
1901,54.26
1902,48.91
1903,54.57
1904,56.47
1905,51.1
1906,46.85
1907,46.1
1908,47.99
1909,49.98
1910,49.41
1911,49.55
1912,58.09
1913,49.93
1914,53.2
1915,46.05
1916,57.05
1917,59.96
1918,49.09
1919,49.39
1920,50.0
1921,37.44
1922,50.4
1923,48.45
1924,57.09
1925,48.46
1926,49.72
1927,45.24
1928,45.88
1929,57.47
1930,50.47
1931,35.71
1932,50.63
1933,44.22
1934,42.8
1935,47.21
1936,56.41
1937,54.48
1938,44.04
1939,44.92
1940,50.99
1941,41.34
1942,45.77
1943,53.39
1944,49.62
1945,48.37
1946,40.67
1947,53.2
1948,54.67
1949,49.1
1950,55.18
1951,56.37
1952,46.54
1953,37.79
1954,41.8
1955,59.37
1956,50.23
1957,45.27
1958,50.98
1959,51.71
1960,60.24
1961,47.47
1962,50.81
1963,56.1
1964,55.57
1965,50.79
1966,54.23
1967,50.63
1968,53.2
1969,53.75
1970,55.68
1971,51.11
1972,52.27
1973,41.88
1974,43.94
1975,50.5
1976,57.36
1977,55.61
1978,61.67
1979,57.64
1980,51.14
1981,45.17
1982,53.39
1983,42.66
1984,46.23
1985,59.4
1986,42.06
1987,38.49
1988,53.5
1989,58.88
1990,41.2
1991,45.33
1992,38.21
1993,49.32
1994,47.52
1995,47.79
1996,55.43
1997,46.29
1998,31.57
1999,37.31
2000,50.42
2001,44.21
2002,47.35
2003,48.17
2004,43.44
2005,42.88
2006,37.33
2007,49.52
2008,54.79
2009,51.48
2010,48.98
2011,48.03
2012,36.76
2013,57.32
2014,57.14
2015,44.25
2016,38.7
2017,40.47
2018,52.67
2019,51.14
2020,40.65
2021,39.18
2022,58.22
2023,38.37
2024,34.79
