Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,0.0,-999,-999,9.98,5.68,59.8,53.61,4.44,0.25,0.41,16.57,15.31,0.23,6.27,0.91,0.19,10.61,0.32,13.49,0.14,1.06,0.02,0.06,0.78,1.32,10.04,3.3,6.57,1.14,5.11,0.0,0.84,18.69,29.48,0.1,0.12,11.89,8.49,0.26,0.09,13.87,4.76,1.41,41.62,21.35,2.62,0.01,7.27,0.18,0.25,2.56
1951,0.0,-999,-999,46.28,37.24,68.81,50.5,8.19,0.25,0.07,23.98,33.99,0.61,9.29,2.32,2.66,17.69,7.45,52.78,0.14,2.27,0.02,0.08,0.16,5.39,50.39,6.5,14.67,3.71,6.17,0.0,0.79,36.34,25.16,0.14,1.85,45.13,7.41,0.5,0.09,32.48,5.35,13.92,74.9,24.45,7.4,0.01,8.55,0.02,1.98,5.0
1952,0.0,-999,-999,46.91,62.57,67.04,52.89,15.06,2.58,6.76,24.03,41.39,4.47,5.45,15.58,13.09,56.93,30.58,44.36,3.69,9.89,3.01,1.99,0.61,32.3,54.1,6.28,21.45,6.67,27.93,3.13,6.35,35.23,20.42,2.1,10.33,71.34,9.13,5.55,2.05,38.27,17.31,37.2,67.58,21.02,15.96,0.8,9.47,0.4,8.75,5.79
1953,0.0,-999,-999,39.02,66.43,59.11,44.87,12.43,5.78,12.67,14.21,26.65,11.17,7.78,27.07,19.66,51.01,29.73,46.54,6.22,14.25,1.15,5.13,0.97,45.97,48.2,6.08,19.94,1.96,24.82,4.38,10.97,37.24,28.83,4.71,12.3,62.14,5.98,8.99,2.39,33.07,9.35,31.6,76.95,27.4,18.89,1.87,5.31,3.11,13.99,8.57
1954,0.0,-999,-999,75.06,86.52,56.41,47.26,19.37,0.68,8.05,28.03,57.46,10.42,8.09,27.82,18.47,68.59,32.75,66.38,0.49,12.23,0.01,0.85,1.11,52.21,69.8,7.55,28.36,2.76,29.92,0.4,4.49,29.84,28.22,0.88,6.33,86.92,2.92,3.5,0.09,61.17,15.91,47.0,79.72,26.96,18.31,0.01,1.53,0.41,4.52,13.5
1955,0.0,-999,-999,19.57,30.18,52.09,49.01,12.79,4.66,10.94,13.13,16.75,22.01,10.98,16.63,13.25,46.9,13.46,14.26,3.59,11.75,2.03,6.69,6.71,23.51,18.12,8.75,8.65,7.13,36.78,4.13,11.58,18.22,33.08,4.83,5.99,48.04,9.36,7.09,1.12,16.43,25.47,14.83,50.32,20.57,8.68,2.01,7.01,6.66,5.77,9.45
1956,0.0,-999,-999,29.12,48.27,66.66,44.62,11.58,1.02,2.33,13.87,22.88,9.14,6.94,6.68,4.04,64.01,6.37,35.52,1.41,3.98,0.13,0.97,1.86,25.36,33.2,5.25,12.12,2.54,24.51,1.34,2.15,33.51,20.56,0.35,1.2,83.92,8.24,1.0,0.09,34.68,13.44,15.67,83.75,23.76,6.67,0.08,8.55,1.1,0.66,4.9
1957,0.0,-999,-999,23.27,19.87,55.0,45.48,8.37,2.77,9.04,8.87,20.54,7.43,4.38,3.84,1.05,34.71,6.14,24.55,1.3,8.75,0.07,0.2,1.64,17.02,15.48,7.03,14.47,4.88,17.77,1.1,6.49,24.38,26.85,0.86,2.46,47.82,2.58,3.07,2.05,25.64,9.41,8.8,57.45,18.76,10.9,0.01,1.92,0.34,6.3,7.22
1958,0.0,-999,-999,11.32,17.6,68.78,54.04,10.86,0.25,0.07,13.66,13.69,1.44,10.64,0.64,0.07,22.2,1.23,18.01,0.11,0.23,0.01,0.02,1.91,3.33,10.15,6.27,5.62,8.07,10.03,0.0,0.52,34.48,28.85,0.1,0.03,40.08,12.42,0.13,0.09,18.24,14.48,5.43,61.17,27.88,1.79,0.01,16.36,0.32,0.27,4.74
1959,0.0,-999,-999,15.85,12.56,57.75,52.71,12.95,0.54,2.48,7.23,16.45,2.03,11.5,5.2,3.3,30.88,3.66,11.04,0.95,4.54,0.26,0.15,3.38,10.04,9.72,7.61,8.6,12.79,20.79,1.26,3.52,26.36,39.93,1.17,2.73,23.26,10.65,1.42,0.09,14.84,27.15,4.04,43.61,28.39,8.15,1.3,6.98,0.26,4.94,8.88
1960,0.0,-999,-999,16.82,29.64,67.67,59.19,16.42,0.25,0.57,8.6,16.95,2.4,13.42,7.19,2.99,28.89,4.31,32.35,0.21,0.44,0.21,0.41,1.37,15.77,38.55,13.05,3.48,9.3,17.53,0.0,0.36,26.69,37.42,0.1,0.72,31.43,12.6,0.13,0.09,17.37,20.75,10.29,53.23,34.36,2.84,0.01,11.06,0.2,0.77,11.81
1961,0.0,-999,-999,3.33,8.08,60.53,53.77,9.33,0.54,0.32,13.77,12.61,1.36,17.32,1.02,0.71,22.56,0.29,2.21,0.31,2.25,0.01,0.15,2.28,2.91,2.98,15.03,3.04,13.53,15.4,0.0,1.89,22.86,36.49,0.17,0.17,21.83,17.92,0.19,0.09,9.37,19.62,1.77,27.62,27.37,2.16,0.01,15.24,0.54,0.56,9.88
1962,0.0,-999,-999,37.22,33.73,62.79,47.98,9.73,0.25,1.4,18.86,27.61,0.56,5.64,2.69,2.93,23.95,4.52,43.29,0.39,3.57,0.34,0.11,0.09,15.07,43.53,2.51,4.34,0.93,6.63,0.57,1.63,24.59,22.62,0.33,1.25,40.34,7.2,1.05,0.09,19.58,5.04,13.29,61.66,22.52,2.85,0.01,5.56,0.04,1.16,3.24
1963,0.0,-999,-999,16.01,41.46,58.59,40.58,15.32,1.66,5.83,17.78,17.12,5.32,5.91,6.68,3.01,48.01,1.96,37.48,3.62,5.62,2.0,1.11,1.05,18.6,29.29,7.46,5.23,4.26,19.81,5.67,5.14,24.69,20.02,1.17,1.01,61.56,4.91,1.96,0.44,18.13,13.61,6.94,70.56,19.82,5.25,2.23,4.34,1.72,0.56,7.08
1964,0.0,-999,-999,12.26,38.91,53.08,45.74,14.27,2.96,4.4,13.1,13.21,5.63,5.88,8.93,6.47,43.8,8.88,26.18,1.7,5.62,0.17,2.55,5.05,17.36,20.38,7.28,5.51,5.23,20.35,2.03,3.53,30.58,27.33,1.3,4.41,47.44,5.11,1.5,1.36,11.73,17.9,8.5,64.92,18.97,4.77,0.43,3.29,5.36,3.19,8.65
1965,0.0,-999,-999,3.45,23.5,52.14,39.1,4.82,0.97,1.4,6.02,7.09,3.83,4.93,3.88,2.0,21.59,4.67,21.89,0.66,3.64,0.16,1.11,1.0,5.97,11.4,2.62,1.81,2.61,8.22,1.64,1.54,18.27,13.78,0.71,1.71,44.2,6.39,0.83,0.09,5.13,8.46,4.74,55.31,12.94,2.46,0.01,7.28,0.83,2.71,3.01
1966,0.34,-999,-999,12.21,25.27,54.49,48.47,10.27,3.0,7.25,7.33,11.41,5.63,10.61,11.93,7.93,29.15,9.54,21.99,1.74,10.11,0.08,2.49,2.31,14.21,18.19,9.61,7.31,3.46,15.12,2.55,7.58,22.28,32.56,1.55,3.56,39.11,6.23,4.81,1.36,12.42,18.6,11.28,42.24,24.23,8.4,0.73,3.61,2.34,5.64,10.49
1967,0.0,-999,-999,2.74,9.15,47.73,52.65,4.63,0.68,0.07,7.27,5.92,1.49,15.25,0.45,0.77,14.94,0.13,11.18,0.28,0.42,0.08,0.04,0.5,2.49,6.71,7.21,0.66,5.64,8.02,0.11,0.45,14.67,30.35,0.13,0.6,24.83,19.07,0.29,0.09,1.76,9.93,0.68,43.22,20.34,0.43,0.01,13.75,0.01,0.73,2.66
