Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1950,-999,-999,-999,-999,-999,-999,0.67,0.28,-999,-999,-999,-999,0.05,0.19,0.0,0.0,0.0,-999,-999,-999,-999,0.08,0.22,2.48,0.0,-999,3.98,0.0,5.21,0.08,0.27,-999,0.0,0.0,0.0,0.0,-999,1.76,0.0,-999,-999,0.34,-999,-999,0.35,-999,0.01,1.42,1.17,0.0,0.34
1951,-999,-999,-999,-999,-999,-999,0.17,0.88,-999,-999,-999,-999,0.2,0.23,0.0,0.07,0.0,-999,-999,-999,-999,0.44,1.01,4.35,0.0,-999,1.57,0.0,2.06,0.0,0.27,-999,0.94,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.41,-999,-999,0.04,-999,0.01,0.0,2.19,0.0,1.45
1952,-999,-999,-999,-999,-999,-999,0.33,1.02,-999,-999,-999,-999,0.0,0.09,0.0,0.0,0.0,-999,-999,-999,-999,0.08,0.07,0.92,0.0,-999,0.43,0.0,0.48,0.0,0.1,-999,0.0,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.55,-999,0.01,0.0,0.28,0.0,0.57
1953,-999,-999,-999,-999,-999,-999,0.0,0.1,-999,-999,-999,-999,0.0,0.05,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.01,0.84,0.0,-999,0.09,0.0,0.02,0.0,0.1,-999,0.0,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.01,-999,0.01,0.0,0.02,0.0,0.12
1954,-999,-999,-999,-999,-999,-999,0.0,0.16,-999,-999,-999,-999,0.0,0.05,0.0,0.0,0.0,-999,-999,-999,-999,0.15,0.02,2.13,0.0,-999,2.17,0.0,3.2,0.0,0.23,-999,0.0,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.31,-999,-999,0.01,-999,0.01,0.0,0.46,0.0,0.13
1955,-999,-999,-999,-999,-999,-999,0.0,0.44,-999,-999,-999,-999,0.0,0.13,0.0,0.0,0.0,-999,-999,-999,-999,0.5,0.01,1.28,0.0,-999,0.27,0.0,0.61,0.0,0.23,-999,0.2,0.0,0.04,0.0,-999,0.0,0.0,-999,-999,0.03,-999,-999,0.01,-999,0.01,0.0,0.28,0.0,0.42
1956,-999,-999,-999,-999,-999,-999,0.0,0.52,-999,-999,-999,-999,0.0,0.25,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.01,0.22,0.0,-999,0.84,0.0,0.34,0.0,0.14,-999,0.0,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.09,-999,-999,0.06,-999,0.01,0.0,0.07,0.0,0.54
1957,-999,-999,-999,-999,-999,-999,0.0,0.2,-999,-999,-999,-999,0.03,0.17,0.0,0.0,0.0,-999,-999,-999,-999,1.49,0.01,0.76,0.0,-999,2.32,0.0,0.49,0.0,1.79,-999,0.2,0.0,1.25,0.0,-999,0.0,0.0,-999,-999,0.02,-999,-999,0.02,-999,1.5,0.66,0.11,0.0,0.56
1958,-999,-999,-999,-999,-999,-999,0.0,0.13,-999,-999,-999,-999,0.06,0.02,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.14,0.45,0.0,-999,0.11,0.0,0.35,0.0,0.17,-999,0.0,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.1,-999,-999,0.01,-999,0.01,0.0,0.17,0.0,0.09
1959,-999,-999,-999,-999,-999,-999,0.0,0.1,-999,-999,-999,-999,0.0,0.04,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.23,1.89,0.0,-999,0.83,0.0,0.97,0.0,0.35,-999,0.0,0.0,0.19,0.0,-999,0.0,0.0,-999,-999,0.06,-999,-999,0.01,-999,0.17,0.0,0.48,0.0,0.43
