Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1965,0.0,26.42,59.62,80.22,52.78,17.26,5.91,34.0,75.68,39.8,10.32,13.9,12.87,9.72,46.16,18.08,65.91,4.3,18.72,2.51,3.7,3.28,22.27,51.93,8.25,14.42,19.25,4.3,12.69,62.54,26.77,2.88,7.02,77.61,16.57,4.13,2.26,34.06,14.89,23.11,94.44,20.79,14.56,3.02,15.83,4.54,6.93,7.43
1966,0.17,35.84,47.55,84.58,63.71,27.68,9.67,32.0,61.5,39.1,15.32,23.71,26.53,22.83,49.09,26.46,55.68,7.23,31.02,1.49,10.6,7.74,27.75,48.62,20.2,26.93,33.48,9.83,21.66,60.35,55.86,4.99,11.79,62.85,16.9,11.53,3.48,36.5,31.97,28.21,77.04,52.38,24.22,2.81,13.18,9.19,14.99,22.06
1967,0.08,15.59,35.32,76.22,71.34,19.07,2.93,9.0,66.35,27.82,7.47,33.55,7.69,5.73,37.1,6.17,42.55,2.55,6.46,0.75,0.7,2.71,14.12,27.12,18.51,8.92,23.44,0.9,4.61,42.21,54.18,0.94,4.19,54.62,37.98,2.74,1.18,24.71,21.57,9.71,78.97,43.19,6.26,0.52,28.14,0.89,3.29,9.69
1968,0.0,46.09,50.58,77.6,57.51,24.14,6.9,31.0,71.79,57.78,16.48,18.68,22.98,16.47,51.41,33.12,49.31,7.06,27.02,2.5,7.51,5.64,23.69,51.53,9.43,32.79,35.31,3.93,15.65,57.21,44.1,2.2,7.6,53.92,20.38,6.9,3.06,48.99,21.8,40.43,67.04,37.92,18.92,3.08,16.06,5.79,6.11,10.1
1969,0.73,46.14,62.39,88.69,65.76,29.49,4.72,13.0,65.03,48.44,7.46,22.6,13.93,9.92,48.1,32.7,81.06,6.63,14.57,2.26,4.4,6.6,33.12,64.21,16.57,22.58,29.3,2.08,8.59,66.02,55.51,1.18,3.79,70.77,16.39,3.19,3.95,41.42,25.02,40.31,90.07,51.72,11.95,2.6,14.51,2.64,6.06,20.71
1970,0.0,52.76,62.02,83.1,70.56,33.07,6.63,23.0,78.77,57.95,18.18,31.94,17.8,14.17,71.47,29.75,66.66,6.64,16.03,7.76,3.41,11.12,35.75,62.43,22.28,31.98,49.85,7.83,10.8,58.33,52.95,0.91,4.7,82.39,27.81,1.13,1.41,52.56,42.08,36.31,85.91,50.47,15.6,4.52,22.42,7.66,2.54,21.95
1971,0.0,28.99,55.72,81.33,63.55,29.33,4.62,10.0,74.76,34.96,17.63,28.99,23.17,9.67,55.3,17.17,51.53,3.94,6.5,1.0,5.88,5.42,34.16,44.88,21.92,14.9,32.19,3.06,9.1,61.78,51.11,1.33,3.73,75.22,23.31,2.93,3.53,25.92,30.1,21.47,80.49,51.71,4.25,1.61,23.7,4.21,2.26,18.1
1972,0.09,51.05,70.96,87.32,64.19,25.56,4.11,14.0,75.38,49.73,15.64,20.74,16.62,11.8,52.31,21.29,77.48,1.49,9.63,0.67,3.12,5.29,40.41,60.6,9.1,14.55,30.27,1.37,8.98,47.0,48.03,0.83,4.83,80.53,25.67,4.09,0.57,32.28,21.13,23.13,87.83,42.14,6.69,1.12,19.07,3.98,3.96,9.71
1973,0.0,38.12,53.01,88.57,66.66,27.27,9.41,22.0,77.95,41.57,11.54,25.94,14.75,12.53,54.09,25.6,54.67,9.72,16.22,2.17,7.59,6.33,32.58,50.17,16.66,18.47,36.57,6.99,16.0,51.34,52.89,3.76,7.47,66.3,24.66,5.86,10.16,31.46,32.09,25.72,71.56,44.17,15.16,4.45,19.83,6.3,8.24,14.05
1974,0.0,31.46,43.52,90.18,71.23,31.65,7.2,14.0,73.46,32.75,19.56,21.05,15.6,9.19,50.98,8.31,49.56,4.29,9.18,0.18,5.06,9.94,31.32,36.84,15.75,12.07,40.6,3.37,9.17,60.47,57.89,1.87,5.75,67.61,25.54,1.87,3.67,21.07,35.12,13.82,74.57,56.25,4.77,2.49,19.61,5.55,0.6,18.69
