Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1944,104.27,-999,-999,3.35,10.46,29.54,9.66,101.76,63.97,23.71,0.0,2.59,69.65,87.25,47.04,45.4,43.0,23.39,0.39,61.93,29.21,99.89,81.78,103.9,32.9,2.9,101.65,14.37,128.14,76.71,99.93,42.44,72.38,81.31,80.48,51.56,15.79,24.81,62.94,53.0,3.78,101.46,13.99,6.83,75.02,29.05,93.8,24.1,87.1,46.78,-999
1945,123.33,-999,-999,5.96,9.8,38.03,7.88,97.08,63.8,33.95,0.0,3.13,75.41,69.61,47.44,45.01,48.84,26.56,1.63,63.55,32.64,101.74,79.92,105.65,35.2,5.02,96.36,15.52,121.95,74.29,89.27,46.58,63.68,63.42,77.47,52.5,19.68,17.14,60.57,61.0,5.38,96.35,16.6,5.47,70.01,29.36,86.94,14.59,90.61,39.37,-999
1946,137.49,-999,-999,1.9,6.83,31.65,10.49,88.43,57.46,22.9,0.0,0.93,61.23,66.09,33.88,33.73,32.47,19.69,0.07,53.44,21.23,94.85,71.42,100.57,21.66,1.72,84.51,9.16,115.24,60.91,84.77,34.28,49.93,62.44,66.66,40.27,12.84,15.84,49.11,59.0,2.12,87.25,12.85,5.81,58.92,20.27,74.23,18.77,78.8,34.01,-999
1947,112.59,-999,-999,6.85,15.75,41.18,9.62,99.48,61.71,20.61,0.24,3.67,79.22,66.91,50.65,51.37,49.75,38.53,1.7,56.76,31.23,109.99,90.23,121.21,36.54,4.98,90.13,16.06,126.75,76.32,103.79,39.43,73.65,67.29,81.15,55.08,24.35,18.1,63.07,77.0,6.85,102.92,26.1,9.65,66.89,30.93,101.21,20.14,100.93,54.9,-999
1948,139.62,-999,-999,6.55,17.62,36.44,14.36,106.52,61.59,34.4,0.16,2.87,77.27,83.51,52.14,47.79,56.88,32.39,3.86,58.09,36.37,100.69,75.93,115.7,44.5,8.92,105.04,17.14,129.86,87.16,91.91,47.62,71.08,91.9,72.41,49.67,31.55,28.39,54.76,56.0,7.08,108.17,20.28,12.67,84.24,29.69,83.06,30.18,92.94,43.14,-999
1949,120.39,-999,-999,1.68,9.14,34.43,15.56,98.36,48.57,6.89,0.0,0.53,80.64,76.94,41.87,31.69,54.8,17.99,2.0,39.96,15.69,90.74,69.98,107.87,31.96,2.95,103.36,5.34,115.74,85.62,75.8,24.67,54.83,81.93,65.19,33.69,25.13,38.9,41.28,37.0,0.62,99.55,11.19,10.44,79.19,16.54,76.33,40.31,94.76,28.18,-999
1950,126.06,-999,-999,5.86,12.37,27.43,9.36,90.47,45.54,20.37,0.18,3.51,99.95,61.97,66.63,55.27,64.0,30.71,1.18,46.34,26.84,99.47,95.36,132.04,51.93,4.25,102.75,14.37,140.46,93.38,89.39,34.62,50.21,49.31,77.48,58.48,30.68,23.94,55.17,46.0,5.28,119.27,20.77,11.47,60.82,28.05,88.1,32.59,113.88,46.71,-999
1951,131.54,-999,-999,9.85,18.36,33.21,11.43,104.02,48.11,23.16,0.0,5.23,90.38,80.38,55.06,49.45,63.9,29.67,5.1,46.01,28.66,87.78,78.44,121.05,46.59,8.76,120.75,19.24,136.18,96.3,82.8,31.42,62.64,63.38,67.19,52.19,29.98,23.58,52.63,44.0,9.59,117.38,23.05,15.24,77.0,32.81,77.19,29.47,104.75,48.24,-999
1952,124.25,-999,-999,2.73,5.77,32.53,14.03,103.62,38.94,6.01,0.0,1.46,67.53,88.24,32.83,27.9,50.76,11.07,0.29,36.72,17.38,87.78,65.79,111.51,25.68,1.1,105.62,9.77,129.68,80.37,80.01,22.41,62.55,70.04,58.38,32.2,16.8,29.56,38.09,38.0,3.37,111.04,13.33,4.82,79.18,14.65,69.29,27.57,93.34,31.31,-999
1953,122.5,-999,-999,3.6,7.86,33.93,8.12,90.08,33.17,5.43,0.0,2.56,65.57,44.89,33.3,30.21,31.81,13.16,0.36,27.93,12.15,71.16,53.83,103.29,20.9,2.26,74.11,11.51,108.73,59.26,65.99,21.13,56.68,62.87,49.88,30.98,11.43,11.08,30.38,33.0,3.32,89.64,11.75,6.32,62.39,15.77,57.5,5.29,81.25,34.75,-999
1954,135.41,-999,-999,3.32,7.85,28.42,10.67,84.41,41.58,19.23,0.0,1.37,64.76,64.05,32.54,31.96,42.55,15.46,0.55,41.18,26.25,90.82,70.36,98.04,27.83,1.36,87.62,17.12,98.17,63.9,84.68,37.51,50.25,66.46,69.74,36.27,19.23,24.15,48.61,39.0,4.14,85.26,15.34,5.78,61.25,26.76,89.13,19.79,83.7,40.04,-999
1955,139.91,-999,-999,10.47,15.11,36.34,15.3,109.85,62.79,27.28,0.0,5.02,94.37,91.11,59.8,57.14,66.09,34.13,1.54,54.82,37.54,102.8,83.06,127.52,46.7,7.69,119.88,23.78,135.71,100.44,95.2,43.29,60.67,88.48,80.38,53.04,31.12,26.69,59.32,60.0,9.24,119.27,26.66,10.09,92.27,39.39,94.99,32.86,108.1,58.01,-999
1956,142.97,-999,-999,4.39,6.66,37.42,14.0,104.37,47.28,17.06,0.0,1.48,83.69,76.73,43.08,39.15,55.02,16.1,0.51,46.25,23.43,104.51,83.52,120.22,37.59,2.7,99.11,10.33,127.49,81.18,91.84,30.32,62.17,80.86,76.2,42.1,23.45,27.77,50.44,38.0,3.3,103.62,13.5,7.34,78.63,22.97,90.61,28.16,104.31,38.74,-999
1957,112.38,-999,-999,5.55,7.22,17.48,11.7,89.99,43.33,15.91,0.22,5.05,72.32,68.53,38.88,40.42,43.03,17.83,1.44,43.27,22.64,90.87,79.63,111.46,30.99,4.04,92.1,11.42,119.21,76.9,84.82,28.96,40.05,67.95,66.63,42.46,17.48,28.15,47.7,45.0,6.01,97.04,12.43,5.22,56.51,21.58,85.19,25.52,96.1,34.16,-999
1958,123.7,-999,-999,16.99,17.65,26.47,6.18,93.52,62.51,40.76,0.15,9.88,72.42,54.44,54.89,58.1,54.88,46.8,2.42,57.77,46.05,82.44,78.75,101.99,46.69,11.18,90.44,31.82,116.29,82.89,83.46,49.8,54.99,62.8,78.62,57.9,28.6,14.35,64.77,56.0,18.13,98.84,38.68,7.84,59.1,44.24,85.26,9.36,90.21,58.11,-999
1959,131.62,-999,-999,9.99,17.19,29.08,12.03,98.66,57.46,22.72,0.09,6.87,79.92,72.73,48.92,46.11,53.45,28.64,2.12,55.76,30.81,104.94,84.68,113.3,41.47,8.28,94.11,17.67,121.65,80.93,90.96,39.48,62.38,76.26,80.52,50.19,28.64,25.91,58.93,56.0,9.8,100.24,25.67,11.15,64.57,32.72,91.27,20.11,102.73,47.94,-999
1960,121.11,-999,-999,14.07,16.48,35.5,10.55,103.6,64.52,32.05,0.01,9.96,96.23,78.87,67.38,68.01,62.04,43.89,1.95,54.43,46.2,97.24,87.37,119.73,55.69,8.51,100.53,31.3,129.13,92.68,95.53,46.14,65.02,69.72,86.6,70.26,31.35,27.79,72.44,65.0,17.73,111.48,34.33,9.19,69.88,51.55,92.21,27.26,107.43,62.65,-999
1961,132.3,-999,-999,9.81,14.86,29.86,10.46,97.72,57.63,26.66,0.0,4.62,69.64,64.88,42.15,40.34,48.73,26.35,1.38,57.74,34.5,99.26,66.99,101.67,37.01,8.56,91.37,19.82,121.77,79.67,84.74,40.25,59.94,69.9,72.42,46.0,24.93,19.41,53.64,50.0,8.18,97.49,23.54,7.81,71.87,32.47,78.41,18.71,82.91,42.43,-999
1962,122.21,-999,-999,10.9,13.92,28.54,11.26,90.68,69.36,33.07,0.98,7.08,82.0,67.78,57.19,53.64,52.55,30.95,6.82,68.48,39.5,105.49,84.59,101.25,47.3,9.06,79.01,19.0,109.8,77.72,93.86,46.28,52.99,70.93,87.78,58.47,30.53,24.26,70.24,58.0,9.14,92.22,21.11,12.59,68.71,34.42,90.92,20.37,93.23,48.19,-999
1963,118.61,-999,-999,20.19,31.07,32.47,10.54,91.37,64.14,39.74,0.18,11.38,79.49,69.12,64.28,63.52,60.68,48.67,10.7,66.42,49.64,107.83,87.86,101.83,54.12,21.84,85.07,33.9,113.01,78.15,91.29,52.58,63.54,67.33,80.78,64.3,43.1,23.96,66.76,60.0,17.0,91.07,46.93,17.56,73.73,47.68,94.99,22.31,95.72,59.96,-999
1964,135.28,-999,-999,9.66,18.37,43.55,12.55,112.26,51.39,23.34,0.0,6.24,80.86,88.95,50.05,54.42,56.83,34.71,3.82,53.49,31.84,105.95,81.09,114.84,42.31,9.72,105.98,17.76,128.19,95.03,92.41,39.46,75.62,81.83,78.54,55.21,29.36,27.05,62.22,52.0,7.54,111.42,28.86,10.05,87.82,31.3,91.03,20.84,98.94,51.9,-999
