Year,CONUS
1900,0.2
1901,0.16
1902,0.2
1903,0.14
1904,0.12
1905,0.19
1906,0.18
1907,0.16
1908,0.18
1909,0.17
1910,0.12
1911,0.16
1912,0.11
1913,0.18
1914,0.17
1915,0.21
1916,0.17
1917,0.07
1918,0.13
1919,0.13
1920,0.15
1921,0.12
1922,0.09
1923,0.11
1924,0.11
1925,0.11
1926,0.16
1927,0.14
1928,0.19
1929,0.22
1930,0.1
1931,0.11
1932,0.19
1933,0.16
1934,0.13
1935,0.16
1936,0.15
1937,0.14
1938,0.13
1939,0.1
1940,0.18
1941,0.16
1942,0.19
1943,0.17
1944,0.18
1945,0.19
1946,0.21
1947,0.15
1948,0.16
1949,0.18
1950,0.15
1951,0.15
1952,0.1
1953,0.16
1954,0.12
1955,0.16
1956,0.12
1957,0.22
1958,0.12
1959,0.17
1960,0.17
1961,0.24
1962,0.11
1963,0.11
1964,0.22
1965,0.16
1966,0.14
1967,0.14
1968,0.12
1969,0.18
1970,0.14
1971,0.14
1972,0.15
1973,0.31
1974,0.19
1975,0.18
1976,0.11
1977,0.18
1978,0.15
1979,0.29
1980,0.16
1981,0.16
1982,0.25
1983,0.21
1984,0.09
1985,0.19
1986,0.19
1987,0.14
1988,0.09
1989,0.18
1990,0.27
1991,0.21
1992,0.14
1993,0.2
1994,0.22
1995,0.21
1996,0.21
1997,0.19
1998,0.32
1999,0.17
2000,0.12
2001,0.2
2002,0.22
2003,0.2
2004,0.27
2005,0.21
2006,0.17
2007,0.2
2008,0.29
2009,0.21
2010,0.21
2011,0.22
2012,0.19
2013,0.21
2014,0.19
2015,0.29
2016,0.31
2017,0.33
2018,0.25
2019,0.22
2020,0.2
2021,0.23
2022,0.1
2023,0.14
2024,0.28
