Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1967,12.44,13.58,7.13,2.46,11.48,11.74,18.67,6.35,11.8,2.14
1968,6.79,9.47,8.75,5.23,10.58,11.06,14.4,5.38,13.01,2.02
1969,8.64,13.15,7.7,2.99,13.59,9.76,17.13,5.56,11.75,1.88
1970,10.61,10.72,5.67,2.76,12.13,9.88,15.52,4.73,8.9,2.21
1971,10.04,12.0,5.65,3.67,11.74,12.09,17.17,4.37,9.49,1.36
1972,8.17,15.0,7.14,3.41,11.86,10.26,15.16,4.86,13.15,1.23
1973,10.18,12.65,5.44,2.2,12.65,11.0,15.78,4.03,10.48,0.88
1974,8.53,10.79,5.22,2.64,12.86,12.52,16.61,3.78,10.91,0.87
1975,9.36,14.3,7.59,4.63,12.03,13.74,16.75,3.94,12.27,1.34
1976,7.12,13.09,5.8,4.73,11.21,9.18,13.6,3.63,7.16,1.85
1977,7.0,11.55,7.35,3.95,14.2,11.55,12.81,5.03,12.78,2.1
1978,8.75,11.77,6.99,4.1,13.09,10.12,14.9,3.15,13.08,0.55
1979,9.95,11.57,6.99,3.03,15.23,12.71,14.26,4.39,12.64,1.62
1980,11.81,10.06,6.74,3.62,12.77,6.21,10.24,2.91,13.56,1.08
1981,12.69,11.24,7.77,3.81,14.67,12.2,14.87,5.14,13.21,0.46
1982,9.38,13.43,7.3,4.12,13.18,11.62,16.67,5.05,11.4,1.98
1983,9.74,9.48,7.22,6.16,8.34,8.93,11.32,4.92,10.52,2.42
1984,10.39,12.07,6.83,4.65,9.44,9.5,15.14,6.89,10.92,2.9
1985,9.57,12.72,6.06,2.72,13.1,11.17,17.92,4.01,10.68,0.88
1986,9.87,13.85,7.34,2.27,11.47,11.12,14.13,5.76,12.93,0.8
1987,9.25,10.12,7.32,3.31,11.77,11.8,12.62,4.84,12.22,0.99
1988,9.97,11.35,4.56,2.31,8.54,9.54,13.0,5.34,8.6,1.27
1989,9.56,15.5,6.05,3.09,14.37,16.32,19.38,4.42,9.8,1.19
1990,9.26,13.53,7.05,4.09,12.66,8.28,11.82,5.0,14.08,1.29
1991,9.22,11.61,6.65,3.57,8.52,10.92,17.33,5.28,10.38,1.11
1992,9.96,13.59,8.94,3.92,14.05,15.51,18.21,5.39,11.16,1.5
1993,8.22,8.96,12.82,6.0,13.42,11.56,10.29,4.61,17.82,1.61
1994,9.71,13.1,6.9,2.24,12.19,11.95,19.68,3.37,13.22,0.43
1995,9.16,8.23,7.36,4.9,11.78,10.86,18.08,4.2,11.49,1.62
1996,9.96,13.83,5.62,1.93,12.57,14.13,15.28,4.77,11.4,0.7
1997,9.83,11.03,8.03,4.8,12.36,11.8,14.3,5.61,11.19,1.99
1998,13.08,13.4,8.98,3.16,15.53,9.08,12.35,5.22,11.98,2.01
1999,10.6,8.21,7.89,3.16,9.42,9.94,14.11,6.61,13.51,1.42
2000,11.21,13.73,6.08,2.07,13.51,8.62,13.38,4.1,12.68,0.98
2001,9.89,11.74,7.1,3.3,13.12,11.88,16.48,4.17,10.22,0.88
2002,10.5,9.73,6.36,2.2,9.79,10.76,13.89,2.84,13.38,0.39
2003,11.55,14.67,5.32,1.27,14.5,13.07,20.95,3.46,8.94,1.29
2004,6.75,14.23,6.48,4.22,13.63,15.1,18.53,4.26,10.68,1.02
2005,10.12,10.85,8.24,2.97,12.21,12.18,18.88,4.2,10.47,1.28
2006,12.21,17.08,5.2,2.46,12.5,9.15,14.17,5.72,9.79,0.7
2007,8.45,10.62,6.53,2.59,10.66,13.7,12.34,4.45,12.03,0.86
2008,10.23,13.62,7.16,2.98,12.44,12.52,16.03,4.95,12.16,0.52
2009,9.52,17.25,8.23,3.76,13.79,11.17,14.0,4.06,11.59,1.68
2010,11.25,11.13,9.16,4.16,13.38,11.41,13.6,4.97,17.35,0.62
2011,12.34,16.69,8.06,2.64,11.22,7.62,12.98,3.77,11.47,1.26
2012,11.61,11.84,4.13,3.75,8.84,11.28,17.38,3.75,8.68,1.41
2013,9.42,17.33,6.35,3.05,14.23,11.06,22.88,4.91,9.92,1.23
2014,13.25,12.76,9.65,3.43,13.9,13.07,13.35,5.32,14.61,1.56
2015,10.87,13.94,7.64,2.23,17.07,10.92,15.24,5.44,12.65,1.62
2016,12.06,10.39,6.33,2.27,14.98,14.29,13.64,4.21,14.62,0.68
2017,11.53,13.03,5.54,1.92,13.15,16.28,17.83,4.75,11.84,1.2
2018,12.31,14.33,8.23,1.84,14.45,11.54,16.94,4.15,13.79,0.69
2019,8.07,13.0,8.84,2.24,14.79,14.06,16.06,3.03,11.16,0.54
2020,10.96,11.33,6.41,3.05,12.89,12.79,17.41,2.5,11.84,0.55
2021,11.48,15.3,5.44,1.96,14.76,14.49,20.18,5.51,11.6,0.89
2022,11.89,9.76,5.66,3.56,13.15,11.52,15.5,5.92,10.28,1.55
2023,11.22,16.81,8.3,2.85,13.14,10.08,16.72,3.95,8.65,2.06
2024,11.89,13.39,6.63,2.52,10.42,10.64,16.14,4.6,13.89,0.66
