Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1930,41.58,51.68,31.61,26.88,3.09,3.21,23.12,72.63,9.1
1931,27.62,36.91,22.02,6.99,0.24,0.84,19.28,37.56,6.4
1932,32.13,67.26,30.89,21.94,3.65,2.19,27.68,73.57,13.58
1933,32.53,44.8,20.35,14.88,1.71,1.69,16.73,65.42,11.89
1934,48.39,35.58,7.53,22.96,1.74,5.53,6.03,74.27,0.73
1935,47.61,50.51,21.54,25.26,3.48,8.65,8.24,77.87,4.15
1936,47.15,70.51,27.02,31.56,5.0,7.15,13.76,88.02,3.61
1937,33.65,72.6,30.88,30.28,2.86,2.15,21.9,85.12,13.26
1938,39.02,48.38,14.25,14.88,1.05,2.39,11.36,72.51,4.09
1939,40.48,43.22,13.45,15.18,0.44,0.87,17.3,66.11,4.82
1940,54.62,66.26,15.56,35.14,6.85,6.94,16.31,89.05,3.02
1941,45.56,48.6,11.49,21.63,0.41,1.87,11.21,72.04,2.84
1942,41.86,51.27,23.26,27.99,4.22,4.75,15.38,69.03,6.16
1943,47.59,47.59,21.32,25.31,2.42,4.39,9.78,75.17,2.08
1944,41.65,58.25,24.89,22.57,1.25,1.76,13.28,67.39,7.08
1945,49.8,53.81,18.81,33.08,1.36,3.82,13.51,78.34,5.35
1946,33.88,36.9,14.04,11.3,0.87,0.7,9.5,63.2,3.72
1947,42.79,58.76,17.13,27.61,2.25,3.48,17.84,83.19,5.21
1948,47.53,63.39,24.05,29.71,5.53,4.46,21.3,80.51,7.3
1949,29.53,65.99,31.23,15.75,2.34,0.55,27.22,70.82,16.44
1950,39.63,65.15,24.87,30.62,2.7,2.71,11.66,93.06,5.89
1951,36.56,68.2,24.75,28.74,3.97,3.79,18.1,85.94,6.97
1952,29.94,61.92,27.72,16.66,0.79,1.23,21.72,68.69,8.42
1953,24.13,35.32,7.01,13.08,0.74,1.34,11.65,64.1,2.48
1954,36.47,39.63,15.12,15.84,1.21,2.56,8.69,62.9,2.82
1955,50.42,75.24,30.94,27.37,1.21,2.8,20.82,90.95,10.07
1956,37.82,54.5,26.15,19.84,1.26,1.39,15.51,75.8,5.51
1957,33.61,49.13,23.7,17.64,1.58,2.56,12.56,69.44,5.08
1958,51.71,52.93,11.15,38.52,4.69,6.84,10.93,70.6,2.13
1959,41.31,52.54,14.95,24.07,2.13,3.45,9.64,75.74,2.62
1960,49.32,67.33,27.33,41.37,3.8,6.22,22.92,86.39,5.73
1961,42.62,44.7,14.67,25.58,3.17,5.45,14.17,59.24,2.83
1962,47.36,53.09,20.68,32.53,4.68,6.57,18.1,74.68,7.2
1963,54.65,49.71,20.88,46.15,7.75,5.73,17.15,81.11,3.26
1964,38.04,53.66,23.81,21.2,1.84,2.16,20.73,69.11,6.12
1965,40.16,58.72,15.64,24.48,2.22,3.83,15.42,74.31,5.46
1966,43.9,61.17,14.65,35.67,4.31,5.33,19.52,76.76,4.05
1967,42.83,51.46,14.09,24.11,1.67,2.55,18.01,73.78,5.64
1968,50.88,55.13,17.13,34.49,3.62,7.66,17.48,70.31,4.2
1969,49.32,69.71,24.7,30.61,1.72,3.57,14.05,81.46,4.8
1970,53.6,57.38,16.78,31.85,5.0,8.11,12.25,81.31,4.79
1971,41.72,63.74,21.67,25.86,3.75,5.1,21.39,80.55,8.81
1972,45.09,62.96,27.27,27.62,2.99,2.06,18.56,86.58,10.75
1973,33.03,48.4,17.59,24.8,4.68,4.25,21.55,60.59,5.33
1974,39.08,43.01,16.94,22.32,2.45,0.92,20.12,64.81,7.47
1975,38.51,66.29,22.87,20.78,1.52,1.68,19.7,84.35,6.12
1976,49.12,44.9,17.1,28.48,2.92,3.2,13.73,77.64,2.89
1977,54.12,52.84,25.63,44.9,6.63,8.9,12.21,79.94,3.77
1978,61.14,83.65,22.37,51.06,10.32,5.96,20.65,95.13,5.49
1979,44.21,64.73,29.68,42.78,7.01,5.39,24.72,81.52,6.29
1980,52.97,50.25,18.26,36.75,4.78,6.35,12.42,78.1,2.1
1981,42.16,37.57,12.11,28.15,2.72,5.02,7.17,63.43,0.69
1982,44.08,62.31,24.3,31.08,5.37,6.31,18.69,79.52,7.07
1983,34.17,56.25,19.34,29.67,7.19,5.34,17.93,72.06,3.51
