Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,20.96,17.06,1.52,49.96,120.69,76.39,5.81,16.45,1.05
1901,21.4,16.77,0.79,44.11,92.1,60.66,12.48,15.07,4.9
1902,7.82,5.59,0.33,33.52,108.83,53.93,6.02,4.55,6.35
1903,8.01,6.68,0.34,27.63,85.31,56.87,7.77,4.46,6.86
1904,9.17,3.41,0.9,23.84,94.12,48.28,7.37,3.04,10.27
1905,15.99,5.52,1.72,34.5,113.22,69.73,8.92,4.86,4.68
1906,17.73,5.45,2.97,34.94,106.57,74.61,9.5,8.59,2.92
1907,9.44,6.86,0.41,30.06,96.09,52.77,7.72,4.9,0.64
1908,14.54,7.75,1.59,30.23,100.57,52.04,9.51,7.94,6.96
1909,9.97,14.78,0.23,33.36,103.39,54.59,12.8,9.15,3.79
1910,10.78,8.55,1.06,32.3,95.97,57.39,12.05,7.39,4.04
1911,18.03,10.73,1.43,42.84,118.6,70.53,9.27,11.74,4.25
1912,13.18,7.55,1.06,35.13,106.41,66.88,5.85,9.13,6.96
1913,11.91,13.87,2.08,45.17,97.93,59.05,7.48,13.12,10.28
1914,13.37,11.74,0.62,43.98,108.68,62.15,7.1,11.73,4.36
1915,11.06,2.18,0.86,25.09,99.55,60.59,5.1,2.22,5.21
1916,16.93,16.76,0.57,41.72,102.29,61.24,6.71,19.7,4.9
1917,11.44,7.27,1.72,21.35,83.58,52.49,8.02,7.14,11.98
1918,14.17,9.47,1.76,38.9,97.33,48.02,10.59,9.36,6.09
1919,13.11,15.67,0.84,43.07,112.56,60.63,13.32,14.79,7.37
1920,11.57,7.48,0.72,27.71,98.1,56.24,7.22,6.47,4.11
1921,20.99,13.8,0.55,62.61,120.67,68.4,10.3,24.25,9.93
1922,13.35,10.96,1.38,36.74,107.99,64.54,12.72,10.53,6.02
1923,10.28,12.7,1.28,37.49,100.82,59.55,7.88,12.73,5.73
1924,8.79,5.16,1.24,26.31,94.22,54.33,9.18,3.86,3.4
1925,13.62,11.3,1.72,43.57,114.13,67.12,10.29,9.22,8.43
1926,12.6,10.28,2.14,42.78,105.6,65.4,9.25,6.3,7.14
1927,7.97,7.82,0.76,27.88,111.44,49.69,9.13,7.13,3.11
1928,15.72,7.37,1.8,33.13,99.62,62.51,9.57,8.17,5.45
1929,13.39,13.4,0.94,32.17,104.91,53.05,11.9,9.39,8.08
1930,13.2,13.69,2.27,37.87,98.82,58.0,10.44,13.17,6.21
1931,20.26,20.83,1.76,52.45,102.74,61.54,15.04,23.11,13.65
1932,10.77,12.27,0.85,36.05,105.0,59.51,10.95,11.13,6.33
1933,15.67,16.57,1.08,46.4,117.31,67.33,13.28,16.75,8.6
1934,15.21,20.59,1.36,54.18,111.02,75.23,15.98,13.99,6.38
1935,17.01,18.61,1.21,45.24,105.27,61.44,13.0,19.5,6.87
1936,13.84,29.14,0.83,53.79,116.82,67.96,16.64,17.32,9.64
1937,19.66,21.08,1.08,43.84,112.64,64.61,15.3,20.93,6.62
1938,18.12,15.75,1.56,43.89,109.63,64.12,12.07,12.5,6.72
1939,17.93,14.3,2.06,47.11,117.7,73.92,12.65,13.29,8.39
1940,14.58,15.81,0.84,38.83,90.32,57.46,13.8,14.16,3.78
1941,15.16,16.42,2.3,48.91,120.95,75.02,7.53,18.8,4.84
1942,16.68,10.22,0.78,46.18,104.67,70.4,9.96,9.76,5.61
1943,18.29,15.88,0.61,51.26,107.89,69.92,12.84,13.85,3.51
1944,17.21,9.97,0.55,43.92,110.59,60.67,9.44,10.1,2.24
1945,16.02,9.39,0.58,29.73,104.07,67.3,11.58,7.57,8.7
1946,9.79,10.37,1.34,29.87,94.62,55.39,13.17,8.64,5.64
1947,21.92,15.03,0.59,45.58,103.85,65.21,12.41,19.73,3.17
1948,13.99,9.43,0.18,33.61,104.09,54.51,9.4,12.5,3.08
1949,26.47,12.82,0.44,47.18,109.7,71.17,10.92,19.55,4.87
1950,9.79,4.28,0.31,21.1,96.07,53.58,8.02,3.51,7.19
1951,10.62,6.75,0.62,26.75,102.14,57.12,11.72,4.24,5.02
1952,18.69,11.82,0.77,41.97,98.98,63.35,11.81,11.97,7.11
1953,14.98,14.49,0.5,40.95,102.65,57.09,14.34,13.88,7.64
1954,9.24,15.75,0.51,46.17,112.36,58.03,16.38,9.9,6.29
1955,24.48,19.05,0.73,42.97,100.92,67.25,9.95,21.97,6.16
1956,8.76,10.42,0.88,36.94,95.88,57.81,9.97,7.62,4.47
1957,13.02,14.33,0.17,36.87,100.88,62.88,12.98,11.82,5.04
1958,12.27,7.88,1.64,32.47,102.21,59.33,16.64,5.8,9.3
1959,24.89,14.12,0.76,46.4,111.3,71.74,14.44,19.21,9.43
1960,8.62,11.21,1.24,29.44,94.83,59.42,13.39,9.25,10.67
1961,17.33,10.05,2.59,33.62,85.64,56.27,12.71,10.99,12.43
1962,7.29,6.94,0.49,30.78,103.78,52.51,9.9,5.4,3.21
1963,8.68,15.45,0.57,28.3,98.26,40.37,13.2,8.7,4.24
1964,11.97,13.76,0.55,36.27,97.95,57.03,13.66,14.16,5.67
1965,12.92,7.02,1.12,29.95,103.61,58.97,8.53,5.73,4.49
1966,10.31,13.86,0.51,28.37,89.42,48.22,15.04,11.57,6.19
1967,10.45,4.22,0.86,21.3,81.75,38.29,10.99,4.43,13.63
1968,13.9,9.35,1.11,38.34,92.82,54.3,9.29,12.2,7.13
1969,16.6,10.14,0.62,34.43,92.73,57.63,16.08,9.91,6.99
1970,13.32,13.19,1.38,40.35,104.98,56.61,16.25,14.13,6.83
1971,13.5,8.37,1.4,33.52,101.09,57.54,13.96,8.53,10.12
1972,14.07,8.48,0.7,33.73,95.34,42.93,10.56,8.95,7.87
1973,21.98,10.9,0.54,40.57,102.96,56.62,10.95,15.39,7.49
1974,10.01,10.68,0.36,26.88,87.32,45.12,11.79,8.78,7.48
1975,16.82,14.07,1.47,40.33,101.22,52.99,9.91,13.12,5.42
1976,12.05,11.13,0.28,20.71,72.52,36.34,9.62,8.06,5.93
1977,17.21,10.64,1.17,43.59,110.03,56.11,15.82,9.97,8.52
1978,14.33,12.15,0.33,38.32,103.07,50.33,13.17,10.11,8.09
1979,15.66,8.26,0.56,33.9,91.8,51.02,10.1,6.06,6.22
1980,17.01,13.63,0.3,46.68,104.15,58.4,14.84,8.21,6.73
1981,12.52,10.3,0.56,34.43,96.28,59.56,16.12,6.37,9.95
1982,9.03,9.94,0.83,27.78,104.11,50.83,13.82,6.7,7.02
1983,16.34,21.94,0.47,44.62,95.79,50.2,14.08,19.49,8.35
1984,15.35,11.18,0.75,31.0,91.99,49.53,12.43,8.45,15.76
1985,11.75,6.86,1.01,26.72,105.76,49.24,12.2,6.22,8.95
1986,13.9,10.11,0.63,40.29,115.14,68.74,12.52,8.6,4.78
1987,17.87,13.45,0.84,44.69,102.09,69.07,10.75,17.44,6.75
1988,22.22,19.27,0.95,40.0,91.06,55.0,14.63,18.72,11.15
1989,15.55,12.58,0.51,35.75,98.24,63.83,12.93,9.42,4.43
1990,13.96,13.03,1.77,34.99,105.38,59.71,14.47,9.85,8.97
1991,18.01,14.61,1.11,52.1,122.3,76.29,10.75,16.95,7.23
1992,7.94,2.45,2.04,22.15,88.54,55.04,7.95,2.52,9.18
1993,16.37,7.4,0.22,43.77,102.2,65.15,12.14,8.81,5.92
1994,18.84,7.25,2.27,29.11,101.31,56.6,17.45,7.98,7.76
1995,21.2,15.46,0.69,46.45,106.1,67.94,12.37,21.59,8.32
1996,11.55,8.09,1.43,28.81,104.23,58.18,16.59,7.91,10.72
1997,10.51,11.75,0.86,30.56,94.92,45.96,12.82,8.83,8.29
1998,17.4,13.62,3.24,45.87,124.92,66.43,15.11,11.11,10.54
1999,20.4,12.97,0.91,38.41,102.11,54.71,16.57,15.08,5.8
2000,13.34,14.2,1.19,38.14,102.23,53.89,21.49,7.64,8.04
2001,15.42,18.34,1.01,39.3,102.42,50.36,16.85,16.51,9.75
2002,21.18,22.0,2.09,51.73,119.56,63.03,20.29,19.26,8.5
2003,19.28,11.87,2.27,27.23,104.68,56.63,23.08,8.22,14.01
2004,15.89,6.99,2.53,31.82,105.26,60.06,14.06,5.38,7.68
2005,27.4,17.37,1.26,48.04,107.6,66.02,14.86,18.33,9.7
2006,21.56,14.44,3.07,41.2,101.44,54.51,15.85,14.56,14.79
2007,16.6,20.46,2.56,44.98,111.48,59.12,20.4,13.67,10.57
2008,15.1,8.31,1.72,31.25,99.84,52.09,18.5,6.38,9.72
2009,12.31,5.21,2.35,24.64,101.77,53.11,16.87,4.46,9.1
2010,24.92,13.96,1.14,54.53,115.86,78.56,21.52,18.88,7.26
2011,20.83,16.34,0.56,47.88,107.2,69.5,21.54,16.38,8.68
2012,21.35,17.03,2.13,43.45,103.81,64.23,24.16,17.24,12.66
2013,25.3,12.91,2.66,37.55,102.86,62.32,19.22,15.93,13.97
2014,13.95,6.7,3.35,36.11,101.32,57.55,16.23,6.72,16.65
2015,18.59,9.29,4.28,39.69,118.52,72.19,18.37,10.91,17.27
2016,25.27,13.25,0.9,56.05,117.06,77.14,18.61,14.07,10.4
2017,16.36,9.56,2.02,34.77,105.92,66.47,20.28,6.74,23.1
2018,32.85,12.76,1.73,62.01,132.71,96.88,23.89,16.71,18.87
2019,18.8,13.09,1.7,48.38,120.93,76.22,19.89,10.46,13.32
2020,22.77,15.63,1.97,42.61,112.31,75.25,21.48,14.77,20.73
2021,27.2,14.41,7.82,50.92,111.54,68.39,20.89,16.76,20.97
2022,22.87,15.35,4.08,42.75,110.94,72.24,25.84,11.41,18.25
2023,19.64,10.89,3.72,31.26,108.66,55.92,16.98,8.31,15.56
2024,25.87,11.73,3.59,43.82,116.51,72.25,22.08,11.54,20.79
