Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1930,5.0,17.6,9.81,25.31,45.87,25.81,23.59,5.69,26.0
1931,4.87,26.53,13.31,23.43,36.3,24.0,29.19,13.8,38.34
1932,1.76,12.07,6.91,12.35,36.13,21.94,23.64,3.29,34.42
1933,5.32,22.94,12.2,22.58,30.62,24.6,30.4,8.27,37.92
1934,3.65,27.6,9.72,33.06,40.36,17.99,40.62,9.75,41.33
1935,1.31,18.67,9.12,11.03,27.91,12.69,26.5,2.46,38.27
1936,5.37,37.59,9.6,41.12,50.14,22.35,35.46,13.14,48.78
1937,2.05,23.82,7.86,10.49,28.63,11.8,31.1,5.59,44.58
1938,1.06,13.66,10.52,12.11,32.04,10.06,28.29,1.18,39.49
1939,1.59,19.58,15.09,14.15,31.21,10.55,31.38,3.53,48.48
1940,2.02,19.67,12.22,13.48,17.69,14.62,33.59,3.47,44.35
1941,3.87,14.18,8.89,17.79,28.57,21.45,18.9,4.87,30.06
1942,1.49,6.8,13.94,6.02,22.42,16.59,28.68,0.87,42.21
1943,3.5,13.06,7.02,12.31,42.3,21.32,33.66,0.77,39.75
1944,6.74,5.41,8.34,17.44,36.56,18.47,26.2,3.02,36.06
1945,1.62,9.5,9.94,7.35,19.31,12.32,24.36,0.9,43.04
1946,0.78,10.78,8.5,6.74,14.86,5.4,30.24,0.59,39.54
1947,2.08,17.02,5.38,15.5,29.01,10.91,27.46,6.9,39.62
1948,3.41,12.28,4.1,6.79,29.07,15.96,32.46,3.94,34.35
1949,5.73,13.16,7.52,4.99,13.64,10.07,25.45,2.89,38.65
1950,0.36,3.56,7.84,0.47,10.38,7.28,25.51,0.31,46.82
1951,0.41,5.89,8.5,3.32,37.82,18.0,33.31,0.07,42.08
1952,4.57,13.38,8.67,18.68,47.76,23.68,35.53,0.96,41.34
1953,6.97,10.34,6.65,26.57,42.34,23.48,34.57,2.88,37.02
1954,2.8,13.98,4.74,25.67,65.04,34.36,36.05,0.78,38.4
1955,6.3,18.09,9.44,14.93,21.24,10.21,27.84,7.24,42.6
1956,1.17,10.77,8.01,8.98,34.85,15.75,35.79,1.42,35.58
1957,2.45,9.7,3.25,6.54,19.9,15.92,27.18,0.84,38.71
1958,0.17,9.18,14.42,0.78,15.76,7.14,36.46,0.89,47.0
1959,1.8,15.79,9.92,5.21,12.7,9.71,33.19,1.34,46.88
1960,0.19,15.33,12.3,6.91,23.31,6.96,37.43,0.69,50.55
1961,0.43,15.5,17.19,1.16,8.37,3.72,30.58,1.01,47.02
1962,0.99,3.81,6.38,5.32,33.31,7.27,30.23,0.12,38.27
1963,2.74,10.8,5.61,7.34,28.95,8.03,31.17,1.53,30.59
1964,1.81,12.26,5.57,9.49,22.94,6.64,31.52,4.75,37.12
1965,1.16,4.93,6.71,3.77,15.0,2.62,22.87,0.92,29.96
1966,3.28,11.98,7.48,9.35,17.34,9.44,29.42,2.3,40.62
1967,0.28,7.21,16.72,1.04,7.76,0.64,22.48,0.13,46.01
1968,1.57,7.83,9.2,2.99,14.55,13.87,24.54,0.93,35.1
1969,0.87,11.15,7.07,4.05,24.98,8.19,32.72,0.39,43.52
1970,0.55,16.42,13.68,6.43,19.82,8.86,30.32,1.0,43.22
1971,0.37,12.52,14.24,5.16,11.79,2.04,28.48,1.54,40.75
1972,0.28,6.07,10.01,4.78,19.88,3.64,25.62,0.6,38.99
1973,1.58,12.3,10.81,3.39,9.52,3.48,28.94,1.1,43.12
1974,0.42,14.01,10.68,5.73,9.29,1.98,32.51,1.93,43.56
1975,1.97,10.05,6.79,4.06,9.14,6.39,23.82,1.62,37.24
1976,0.44,14.65,3.83,4.69,10.63,5.04,24.84,3.75,34.14
1977,2.22,8.26,12.32,8.26,31.0,22.37,30.74,2.17,41.66
1978,0.91,11.31,8.56,7.25,30.14,8.2,35.04,1.37,41.54
1979,0.26,7.24,8.04,1.8,9.77,5.15,31.55,0.24,39.4
1980,2.36,15.3,4.45,19.1,52.85,25.51,35.73,1.73,35.99
1981,0.66,8.25,12.61,2.28,26.68,13.52,30.99,0.22,46.24
1982,0.58,6.87,6.32,2.0,13.56,2.0,24.81,0.64,28.52
1983,3.64,19.53,5.65,19.38,27.18,24.76,29.59,2.97,32.55
1984,0.95,11.8,6.3,5.04,13.73,3.85,27.03,1.04,42.75
1985,0.43,10.67,11.17,2.52,20.05,6.71,32.93,0.62,39.95
1986,0.9,5.49,10.57,4.88,25.28,20.86,26.36,0.62,35.97
1987,2.29,9.62,9.11,8.67,24.73,17.89,25.08,3.09,38.55
1988,6.97,23.62,13.07,22.27,23.67,17.27,29.84,13.56,47.01
1989,0.43,11.76,4.9,2.66,10.81,5.07,31.27,1.37,38.51
1990,0.81,11.36,13.98,6.7,34.36,13.46,28.9,0.79,39.15
1991,3.79,11.9,9.0,9.33,14.36,9.29,21.71,0.99,40.0
1992,0.25,2.21,13.06,0.75,5.39,6.9,22.24,0.03,39.63
1993,3.19,1.25,2.4,3.76,28.42,23.14,24.21,0.1,30.82
1994,1.37,6.39,13.2,2.95,6.24,3.21,38.64,0.76,41.79
1995,2.98,9.87,4.89,6.64,26.18,10.31,32.16,2.78,32.86
1996,0.42,5.27,12.86,1.44,11.18,6.29,34.57,0.37,47.55
1997,1.53,4.74,5.03,3.39,17.43,8.81,28.69,0.19,36.76
1998,0.56,9.57,15.62,4.33,42.13,15.62,31.71,0.5,36.61
1999,4.88,7.47,7.33,9.43,26.74,18.07,23.84,1.44,31.44
2000,0.11,13.89,8.37,4.95,35.62,8.29,41.97,0.28,39.63
2001,2.19,12.88,10.74,3.2,14.2,4.23,35.98,2.71,48.01
2002,5.0,16.44,9.99,7.78,16.67,19.73,41.63,1.16,44.42
2003,0.37,16.28,17.72,4.13,9.75,2.17,41.73,0.91,46.37
2004,0.08,5.09,11.27,0.29,8.21,4.35,27.4,0.09,37.59
2005,1.66,11.89,10.36,8.29,22.91,8.52,30.76,1.13,38.68
2006,2.1,16.92,14.91,6.8,30.9,10.98,30.9,3.22,43.79
2007,2.02,15.29,12.49,8.71,25.48,18.77,34.95,1.03,44.01
