Year,CONUS
1900,0.88
1901,1.17
1902,0.97
1903,0.99
1904,1.94
1905,2.28
1906,0.39
1907,1.8
1908,0.21
1909,2.29
1910,0.89
1911,1.37
1912,3.59
1913,1.02
1914,1.4
1915,0.51
1916,3.77
1917,3.57
1918,2.07
1919,2.28
1920,1.02
1921,0.29
1922,1.45
1923,0.83
1924,3.02
1925,0.47
1926,0.52
1927,1.75
1928,0.46
1929,2.48
1930,1.72
1931,0.01
1932,1.39
1933,1.85
1934,0.57
1935,1.15
1936,5.41
1937,2.36
1938,0.76
1939,0.76
1940,0.76
1941,0.31
1942,1.23
1943,1.62
1944,0.1
1945,0.63
1946,0.5
1947,0.28
1948,0.97
1949,1.58
1950,2.1
1951,2.28
1952,0.57
1953,0.15
1954,1.08
1955,0.74
1956,0.69
1957,0.86
1958,0.38
1959,0.89
1960,0.32
1961,0.46
1962,1.86
1963,2.82
1964,0.58
1965,1.21
1966,1.79
1967,0.6
1968,1.55
1969,1.37
1970,1.92
1971,1.41
1972,2.62
1973,0.89
1974,1.0
1975,0.49
1976,0.92
1977,2.01
1978,1.5
1979,2.29
1980,0.74
1981,0.47
1982,2.27
1983,3.19
1984,0.91
1985,2.14
1986,0.35
1987,0.13
1988,1.12
1989,3.15
1990,1.77
1991,0.36
1992,0.52
1993,0.65
1994,2.66
1995,0.55
1996,3.64
1997,1.39
1998,0.72
1999,0.6
2000,0.76
2001,0.15
2002,0.07
2003,0.44
2004,1.29
2005,0.73
2006,0.21
2007,0.73
2008,1.51
2009,1.11
2010,0.63
2011,0.74
2012,0.2
2013,1.27
2014,1.71
2015,0.57
2016,0.8
2017,1.17
2018,0.9
2019,1.91
2020,0.32
2021,2.15
2022,2.1
2023,0.49
2024,1.29
