Year,CONUS
1900,66.57
1901,65.28
1902,58.05
1903,50.28
1904,54.55
1905,56.68
1906,58.87
1907,53.13
1908,64.03
1909,59.41
1910,63.72
1911,74.12
1912,55.81
1913,66.08
1914,68.26
1915,50.35
1916,64.26
1917,56.05
1918,64.41
1919,67.06
1920,54.15
1921,73.61
1922,65.6
1923,54.73
1924,53.95
1925,74.17
1926,63.32
1927,58.59
1928,56.78
1929,61.9
1930,69.2
1931,77.52
1932,64.89
1933,75.71
1934,78.77
1935,64.61
1936,81.51
1937,71.92
1938,70.05
1939,78.29
1940,64.13
1941,72.99
1942,63.43
1943,71.31
1944,71.82
1945,62.72
1946,57.33
1947,65.43
1948,65.58
1949,65.19
1950,45.9
1951,54.6
1952,67.02
1953,68.5
1954,65.83
1955,68.05
1956,61.88
1957,55.31
1958,53.79
1959,66.47
1960,57.04
1961,55.09
1962,57.4
1963,59.98
1964,58.16
1965,51.94
1966,55.93
1967,45.27
1968,52.75
1969,54.47
1970,61.65
1971,54.45
1972,52.58
1973,56.54
1974,50.05
1975,54.53
1976,48.9
1977,60.76
1978,58.19
1979,48.95
1980,63.55
1981,52.77
1982,48.28
1983,62.18
1984,54.08
1985,52.07
1986,56.46
1987,61.94
1988,66.85
1989,50.29
1990,56.03
1991,60.52
1992,38.67
1993,51.52
1994,51.88
1995,56.39
1996,49.12
1997,49.21
1998,60.87
1999,57.58
2000,53.35
2001,56.01
2002,66.57
2003,51.08
2004,44.06
2005,61.79
2006,58.77
2007,63.89
2008,50.74
2009,45.0
2010,66.37
2011,62.59
2012,65.88
2013,52.4
2014,47.82
2015,55.63
2016,63.3
2017,54.91
2018,65.29
2019,60.16
2020,60.95
2021,59.22
2022,64.11
2023,56.94
2024,63.45
