Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1914,-999.0,2.55,2.91,-999.0,-999.0,0.45,-999.0,1.0,2.36,3.06,1.89,0.0,0.81,0.8,1.16,1.8,4.76,-999.0,-999.0,1.64,0.91,1.2,1.68,3.18,0.04,1.83,0.71,1.0,-999.0,1.06,0.67,-999.0,1.01,0.54,0.97,0.3,0.21,-999.0,1.36,0.6,1.9,4.47,0.0,0.97,-999.0,0.9,1.33,0.47,-999.0
1915,-999.0,4.04,4.6,-999.0,-999.0,0.42,-999.0,1.0,4.41,4.4,1.94,0.0,1.75,1.54,2.07,2.92,6.81,-999.0,-999.0,1.29,0.45,1.07,3.13,5.19,0.25,2.53,0.57,1.8,-999.0,1.72,0.44,-999.0,1.07,1.05,2.53,0.5,0.92,-999.0,2.68,0.8,3.57,3.46,0.0,2.18,-999.0,0.89,1.0,1.13,-999.0
1916,-999.0,4.52,2.28,-999.0,-999.0,0.24,-999.0,-999.0,3.98,3.01,0.96,0.0,1.66,0.9,1.36,0.84,5.26,-999.0,-999.0,2.08,0.38,0.68,2.35,4.22,0.28,2.77,0.3,0.44,-999.0,0.57,0.88,-999.0,0.93,0.5,2.35,0.38,1.12,-999.0,2.97,0.3,2.75,2.67,0.0,0.71,-999.0,1.27,0.77,0.24,-999.0
1917,-999.0,4.11,1.89,-999.0,-999.0,0.39,-999.0,-999.0,2.7,3.29,0.88,0.0,1.3,1.46,0.72,1.58,2.16,-999.0,-999.0,1.51,0.36,0.26,1.34,2.66,0.0,2.12,0.2,0.96,-999.0,1.13,0.12,-999.0,0.62,0.7,0.72,0.8,0.92,-999.0,1.86,0.19,2.2,1.0,0.0,0.68,-999.0,0.93,0.71,1.67,-999.0
1918,-999.0,4.74,3.66,-999.0,-999.0,0.38,-999.0,-999.0,3.25,2.87,1.6,0.0,1.54,1.71,1.4,1.3,4.02,-999.0,-999.0,1.51,0.51,0.61,2.42,3.77,0.0,3.15,0.07,0.99,-999.0,0.9,0.0,-999.0,0.64,0.73,2.2,0.31,0.22,-999.0,2.76,0.34,2.11,2.39,0.0,1.26,-999.0,0.7,0.71,1.71,-999.0
1919,-999.0,6.08,5.86,-999.0,-999.0,0.3,-999.0,-999.0,3.38,3.63,1.72,0.0,1.62,1.14,1.05,4.33,5.45,-999.0,-999.0,0.22,0.26,0.48,2.48,6.81,0.0,1.92,0.25,1.17,-999.0,2.13,0.84,-999.0,0.87,1.41,1.54,1.02,1.21,-999.0,3.15,0.81,4.0,4.01,0.17,0.98,-999.0,1.04,0.83,1.47,-999.0
1920,-999.0,5.31,4.45,-999.0,-999.0,0.35,-999.0,1.0,4.06,5.23,1.03,0.0,0.87,0.83,1.21,3.78,7.05,-999.0,-999.0,2.87,0.4,0.77,2.1,5.31,0.0,2.32,0.23,0.99,-999.0,2.65,0.08,-999.0,1.39,1.32,2.76,0.54,0.77,-999.0,2.5,0.6,3.27,2.95,0.0,1.81,-999.0,0.95,0.65,1.19,-999.0
1921,-999.0,2.48,4.43,-999.0,-999.0,0.7,-999.0,0.0,4.19,1.64,1.73,0.0,1.4,2.0,0.82,1.91,3.97,-999.0,-999.0,0.79,0.74,0.6,2.32,4.65,0.16,1.99,0.44,0.95,-999.0,0.64,0.62,-999.0,0.35,1.37,1.36,1.41,0.48,-999.0,1.5,0.84,2.71,2.68,0.0,1.23,-999.0,2.18,0.93,2.02,-999.0
1922,-999.0,4.4,2.84,-999.0,-999.0,0.34,-999.0,1.0,4.48,4.55,1.51,0.0,1.17,1.67,1.16,2.76,5.99,-999.0,-999.0,2.14,0.66,0.28,2.13,4.78,0.13,2.56,0.7,0.76,-999.0,1.07,0.0,-999.0,0.86,1.37,1.63,0.41,0.95,-999.0,3.37,0.69,2.49,2.48,0.0,1.1,-999.0,0.65,0.92,0.96,-999.0
1923,-999.0,3.46,3.83,-999.0,-999.0,0.59,-999.0,-999.0,2.91,2.75,0.73,0.0,1.13,1.83,1.45,1.67,6.71,-999.0,-999.0,1.01,0.51,0.56,1.78,5.32,0.3,1.16,0.62,0.98,-999.0,1.23,0.18,-999.0,0.71,0.58,4.32,0.89,0.42,-999.0,2.19,0.94,2.45,3.13,0.0,1.07,-999.0,0.83,0.6,0.6,-999.0
