Year,CONUS
1895,-999.0
1896,31.46
1897,30.98
1898,31.5
1899,27.22
1900,30.8
1901,30.14
1902,29.06
1903,29.39
1904,27.16
1905,26.43
1906,31.84
1907,31.48
1908,31.69
1909,32.75
1910,27.59
1911,31.21
1912,28.02
1913,31.41
1914,31.07
1915,29.89
1916,30.56
1917,28.42
1918,26.4
1919,32.61
1920,28.39
1921,33.7
1922,30.49
1923,30.8
1924,31.75
1925,30.9
1926,31.78
1927,32.29
1928,30.87
1929,28.64
1930,31.81
1931,32.6
1932,35.21
1933,31.97
1934,32.32
1935,31.36
1936,26.18
1937,31.39
1938,32.28
1939,32.14
1940,29.69
1941,32.14
1942,31.13
1943,31.15
1944,31.88
1945,30.19
1946,30.38
1947,32.11
1948,29.09
1949,31.62
1950,33.31
1951,31.55
1952,32.66
1953,34.48
1954,34.37
1955,30.67
1956,30.52
1957,33.01
1958,31.61
1959,29.41
1960,31.69
1961,30.41
1962,29.99
1963,28.32
1964,29.01
1965,30.83
1966,30.44
1967,31.52
1968,29.72
1969,29.61
1970,29.55
1971,30.45
1972,31.94
1973,30.81
1974,32.49
1975,32.65
1976,33.0
1977,27.57
1978,26.97
1979,26.14
1980,31.76
1981,32.16
1982,29.13
1983,34.43
1984,29.84
1985,30.22
1986,31.19
1987,32.92
1988,31.01
1989,31.76
1990,32.49
1991,33.19
1992,35.08
1993,30.62
1994,29.79
1995,34.18
1996,31.01
1997,33.0
1998,35.55
1999,35.43
2000,34.88
2001,30.07
2002,35.75
2003,31.18
2004,31.42
2005,33.94
2006,34.36
2007,32.87
2008,32.22
2009,31.76
2010,29.98
2011,30.23
2012,36.11
2013,33.91
2014,29.69
2015,31.63
2016,36.37
2017,35.72
2018,32.91
2019,32.83
2020,35.56
2021,32.81
2022,33.86
2023,35.22
2024,36.88
