Year,CONUS
1950,0.54
1951,0.46
1952,0.19
1953,0.04
1954,0.31
1955,0.13
1956,0.12
1957,0.37
1958,0.06
1959,0.15
1960,0.06
1961,0.07
1962,0.44
1963,0.43
1964,0.11
1965,0.14
1966,0.34
1967,0.25
1968,0.34
1969,0.13
1970,0.3
1971,0.31
1972,0.47
1973,0.13
1974,0.23
1975,0.07
1976,0.17
1977,0.27
1978,0.15
1979,0.54
1980,0.09
1981,0.11
1982,0.46
1983,0.42
1984,0.17
1985,0.33
1986,0.04
1987,0.06
1988,0.19
1989,0.6
1990,0.39
1991,0.04
1992,0.03
1993,0.14
1994,0.68
1995,0.03
1996,0.86
1997,0.11
1998,0.06
1999,0.03
2000,0.02
2001,0.02
2002,0.02
2003,0.06
2004,0.16
2005,0.18
2006,0.03
2007,0.04
2008,0.08
2009,0.19
2010,0.06
2011,0.11
2012,0.01
2013,0.05
2014,0.09
2015,0.06
2016,0.06
2017,0.08
2018,0.08
2019,0.3
2020,0.02
2021,0.25
2022,0.22
2023,0.06
2024,0.14
