Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,-999.0,2.46,2.74,-999.0,-999.0,8.08,-999.0,-999.0,0.0,1.62,50.16,10.65,32.01,25.47,12.81,14.44,0.67,-999.0,-999.0,64.58,56.26,91.73,18.8,1.95,30.47,3.69,87.79,31.24,-999.0,19.38,-999.0,-999.0,50.86,31.97,-999.0,1.13,35.62,-999.0,1.21,50.16,7.67,0.91,10.32,11.96,-999.0,10.69,70.37,16.25,-999.0
1901,-999.0,4.45,5.09,-999.0,-999.0,19.92,-999.0,-999.0,0.0,3.11,51.93,17.77,37.66,34.46,20.25,15.16,0.47,-999.0,-999.0,73.33,66.55,88.88,21.76,4.26,39.9,6.97,84.94,37.21,-999.0,32.7,0.0,-999.0,64.73,40.64,-999.0,5.14,47.23,-999.0,1.75,50.09,9.92,5.24,12.67,19.64,-999.0,10.67,73.66,26.69,-999.0
1902,-999.0,1.38,6.0,-999.0,-999.0,19.84,-999.0,-999.0,0.0,0.63,55.72,22.53,42.97,36.81,27.69,22.55,0.19,-999.0,-999.0,62.16,56.41,75.96,28.82,1.9,50.49,3.88,79.0,42.6,-999.0,25.64,0.25,-999.0,56.51,40.39,-999.0,6.7,46.62,-999.0,0.87,54.79,10.17,1.77,17.82,18.03,-999.0,16.71,62.22,33.59,-999.0
1903,-999.0,1.73,2.53,-999.0,-999.0,25.74,-999.0,-999.0,0.0,0.8,52.83,26.87,42.13,34.4,16.09,16.49,0.0,-999.0,-999.0,62.12,62.54,93.37,23.65,0.56,47.51,2.21,96.03,32.09,-999.0,20.95,0.62,-999.0,59.5,41.63,7.0,4.79,43.08,-999.0,0.24,61.73,4.02,1.09,26.04,15.16,-999.0,19.32,70.39,34.01,-999.0
1904,-999.0,0.35,2.08,-999.0,-999.0,12.7,-999.0,-999.0,0.0,0.88,61.7,17.93,44.47,38.93,17.38,16.34,0.0,-999.0,-999.0,86.27,87.52,90.6,23.55,0.51,43.76,5.29,94.44,31.6,-999.0,39.14,0.12,-999.0,84.18,48.08,8.0,3.2,65.04,-999.0,1.12,59.75,2.44,0.69,10.16,21.4,-999.0,8.83,84.32,21.0,-999.0
1905,-999.0,6.65,8.31,-999.0,-999.0,25.94,-999.0,-999.0,0.0,3.0,54.71,23.38,42.13,32.03,28.09,25.02,1.46,-999.0,-999.0,63.03,63.6,75.13,33.35,4.37,42.94,6.05,82.91,41.2,-999.0,24.42,9.22,-999.0,60.26,38.48,25.0,8.85,42.72,-999.0,2.19,60.28,11.25,5.25,20.22,19.03,-999.0,16.31,69.57,21.06,-999.0
1906,-999.0,0.46,2.16,-999.0,-999.0,20.19,-999.0,-999.0,0.0,0.23,49.89,28.66,32.81,25.38,17.76,15.01,0.32,-999.0,-999.0,58.79,51.78,87.97,22.65,0.8,47.89,2.14,103.15,33.85,-999.0,13.42,5.17,-999.0,53.55,29.8,-999.0,8.17,32.28,-999.0,0.09,64.05,4.55,1.2,23.4,9.13,-999.0,14.7,67.09,13.99,-999.0
1907,-999.0,0.23,2.24,-999.0,-999.0,14.27,-999.0,-999.0,0.0,0.21,42.47,23.1,21.07,21.15,15.53,10.53,0.0,-999.0,-999.0,54.64,53.91,79.43,11.77,0.9,41.71,1.77,88.47,32.22,-999.0,22.77,1.37,-999.0,52.6,26.56,-999.0,10.73,36.33,-999.0,0.25,50.53,4.03,0.3,7.58,10.27,-999.0,22.1,58.36,13.88,-999.0
1908,-999.0,0.0,0.6,-999.0,-999.0,20.41,-999.0,-999.0,0.0,0.07,37.19,19.52,21.95,16.95,5.52,7.13,0.0,-999.0,-999.0,62.18,54.66,75.9,6.62,0.14,41.38,1.21,92.79,17.68,-999.0,14.25,2.02,-999.0,55.96,22.9,2.0,5.97,37.49,-999.0,0.24,50.8,1.26,0.06,17.94,6.95,-999.0,10.35,65.8,10.5,-999.0
1909,-999.0,1.47,6.14,-999.0,-999.0,35.06,-999.0,-999.0,0.0,1.43,58.45,31.93,36.4,29.31,30.15,17.73,1.03,-999.0,-999.0,53.23,59.27,84.91,27.32,2.72,50.86,2.87,92.94,46.62,-999.0,17.41,6.61,-999.0,52.75,33.56,15.0,11.76,37.26,-999.0,1.16,68.38,7.76,3.66,26.0,9.05,-999.0,23.73,67.81,16.97,-999.0
1910,-999.0,0.42,2.8,-999.0,-999.0,22.25,-999.0,15.0,0.0,0.08,54.12,36.53,34.64,32.65,14.47,17.02,0.0,-999.0,-999.0,49.58,62.97,89.16,15.95,0.86,38.87,1.71,91.64,30.34,-999.0,21.18,2.45,-999.0,56.18,40.58,6.84,9.4,45.97,-999.0,0.15,59.45,4.93,0.82,21.77,9.55,-999.0,15.86,78.43,17.96,-999.0
1911,-999.0,1.59,2.03,-999.0,-999.0,30.42,-999.0,3.0,0.0,0.27,42.7,33.85,20.56,16.32,20.54,8.93,0.79,-999.0,-999.0,56.26,46.14,85.16,12.02,1.06,48.05,0.92,103.63,31.4,-999.0,8.51,11.97,-999.0,49.38,18.88,12.0,6.47,24.67,-999.0,0.12,56.48,2.52,1.86,21.48,4.4,-999.0,12.01,58.99,9.6,-999.0
1912,-999.0,1.09,5.34,-999.0,-999.0,28.99,-999.0,23.0,0.0,2.16,66.31,22.43,50.0,42.73,29.82,23.88,0.78,-999.0,-999.0,66.37,75.87,88.9,31.73,2.22,41.5,4.72,90.26,46.13,-999.0,31.22,4.17,-999.0,65.19,46.24,10.84,5.46,50.19,-999.0,1.69,60.82,6.88,1.73,16.38,19.59,-999.0,10.49,78.48,29.26,-999.0
1913,-999.0,0.0,1.78,-999.0,-999.0,36.75,-999.0,4.0,0.0,0.0,47.95,38.15,30.46,22.78,29.97,12.61,0.0,-999.0,-999.0,46.93,52.06,82.35,20.84,0.13,56.24,0.34,81.21,41.79,-999.0,8.88,5.66,-999.0,38.57,25.86,15.92,10.35,25.86,-999.0,0.01,52.83,1.13,2.2,24.93,2.57,-999.0,23.62,63.84,12.48,-999.0
1914,-999.0,1.65,2.71,-999.0,-999.0,29.81,-999.0,15.0,0.0,0.7,54.1,23.69,41.68,37.48,22.43,23.67,0.0,-999.0,-999.0,73.94,67.18,81.44,22.81,1.31,44.05,4.01,91.93,36.48,-999.0,24.73,1.97,-999.0,62.8,43.71,6.07,9.37,55.36,-999.0,0.46,57.75,5.75,0.51,18.75,17.9,-999.0,14.99,71.84,30.74,-999.0
1915,-999.0,0.1,1.72,-999.0,-999.0,29.58,-999.0,4.0,0.0,0.0,49.67,25.96,26.8,21.75,16.35,7.98,0.32,-999.0,-999.0,51.43,58.14,80.63,15.02,0.86,42.07,0.68,97.14,42.89,-999.0,8.99,1.96,-999.0,49.71,27.13,3.46,7.17,37.91,-999.0,0.06,66.77,1.74,0.21,18.56,5.25,-999.0,12.92,63.48,14.8,-999.0
1916,-999.0,2.25,5.81,-999.0,-999.0,36.2,-999.0,-999.0,0.0,0.54,58.86,46.71,39.37,30.57,31.92,18.47,0.32,-999.0,-999.0,78.81,68.62,93.44,25.2,2.1,61.0,1.34,102.87,46.58,-999.0,28.02,4.3,-999.0,64.2,41.29,13.61,15.31,50.86,-999.0,0.02,70.68,7.86,2.01,25.75,11.11,-999.0,35.67,76.07,18.19,-999.0
1917,-999.0,4.7,11.57,-999.0,-999.0,32.21,-999.0,-999.0,0.0,3.89,60.83,36.06,40.55,33.87,21.71,24.43,1.57,-999.0,-999.0,75.85,72.97,94.44,23.93,5.58,57.4,9.64,101.46,37.74,-999.0,23.76,4.07,-999.0,62.92,43.2,13.0,5.13,49.02,-999.0,4.53,69.23,15.67,2.68,25.6,20.83,-999.0,14.27,83.87,28.67,-999.0
1918,-999.0,2.27,10.57,-999.0,-999.0,39.31,-999.0,-999.0,1.0,2.06,46.74,28.84,38.66,33.83,29.82,24.2,1.25,-999.0,-999.0,73.35,54.41,70.27,30.91,3.7,44.45,7.33,73.77,38.26,-999.0,27.48,14.03,-999.0,52.55,37.24,12.84,6.69,38.55,-999.0,1.97,52.16,13.34,4.55,18.92,18.4,-999.0,12.25,61.01,23.22,-999.0
1919,-999.0,1.76,3.86,-999.0,-999.0,36.08,-999.0,-999.0,0.0,0.98,49.4,39.56,30.99,22.02,23.96,8.08,0.62,-999.0,-999.0,52.25,53.6,80.27,17.27,1.95,60.57,2.36,109.69,39.08,-999.0,10.41,4.81,-999.0,44.88,25.92,8.0,12.43,31.27,-999.0,0.68,64.48,4.14,1.65,17.83,7.12,-999.0,20.73,66.23,13.65,-999.0
1920,-999.0,0.0,0.94,-999.0,-999.0,32.26,-999.0,15.0,0.0,0.17,54.14,23.1,36.35,32.73,18.72,16.52,0.0,-999.0,-999.0,73.85,73.35,95.15,20.87,0.92,50.58,3.44,98.67,35.26,-999.0,23.57,3.45,-999.0,58.8,38.58,8.23,5.15,47.72,-999.0,0.37,56.21,5.75,0.81,17.07,14.24,-999.0,10.83,83.15,24.03,-999.0
1921,-999.0,0.0,0.55,-999.0,-999.0,20.58,-999.0,4.0,0.0,0.02,31.52,25.44,15.4,10.75,8.85,4.61,0.0,-999.0,-999.0,65.36,40.69,81.23,7.39,0.04,42.38,0.44,88.73,21.73,-999.0,7.66,0.99,-999.0,37.53,14.99,1.0,7.39,21.44,-999.0,0.06,42.25,0.39,0.2,9.35,3.83,-999.0,15.44,61.36,5.91,-999.0
