Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1980,55.13,56.13,54.38,61.49,72.93,68.74,61.35,54.11,62.11
1981,56.34,58.19,55.03,63.98,75.16,69.96,64.72,55.5,64.84
1982,55.11,51.44,52.65,64.08,74.82,70.27,63.2,51.56,62.25
1983,53.52,51.2,54.52,59.99,70.92,67.34,59.94,49.89,60.62
1984,51.4,52.16,52.38,58.23,72.97,67.24,64.49,50.34,65.98
1985,57.53,58.87,55.45,66.99,76.41,72.86,65.38,57.14,65.74
1986,58.05,57.14,56.46,66.64,76.3,71.81,66.76,55.98,66.7
1987,57.76,58.68,58.84,67.35,75.34,69.15,64.14,59.28,67.0
1988,55.45,58.48,56.03,65.45,74.92,69.91,64.93,56.52,65.89
1989,54.01,54.15,55.15,62.82,74.64,68.41,69.92,50.98,67.82
1990,55.65,55.4,56.85,62.98,74.35,70.9,65.24,54.05,66.55
1991,59.06,55.13,51.89,67.39,76.03,71.93,63.33,56.34,60.23
1992,53.39,59.37,61.77,63.23,74.0,67.91,66.74,52.49,69.21
1993,54.86,54.69,55.35,60.83,71.31,67.82,65.53,51.16,66.05
1994,54.38,58.43,58.53,63.96,75.46,71.11,66.53,54.55,66.84
1995,54.98,50.58,54.23,63.63,75.13,71.79,62.2,51.25,61.24
1996,52.99,50.09,53.9,60.88,73.76,68.3,67.71,47.87,66.75
1997,52.39,52.75,55.81,61.78,74.2,69.58,66.12,49.52,69.16
1998,58.65,54.69,54.2,64.2,74.29,69.78,63.33,56.97,60.3
1999,56.73,54.82,53.13,63.87,75.04,69.75,64.56,55.7,62.74
2000,57.23,58.16,56.48,66.57,76.44,72.28,68.99,57.05,67.67
2001,55.29,55.75,56.7,64.69,74.49,69.91,66.89,53.53,68.1
2002,55.69,50.49,53.68,62.97,75.32,71.87,67.93,49.12,65.81
2003,54.24,55.18,54.6,64.71,75.38,69.18,66.27,53.12,64.1
2004,57.39,57.68,58.43,66.36,76.42,72.69,68.28,54.07,69.77
2005,53.74,55.91,56.27,63.37,73.6,67.81,65.01,53.59,64.71
2006,56.89,57.39,55.4,65.46,77.46,71.4,67.62,56.14,63.28
2007,55.42,57.9,58.22,67.21,76.53,71.97,67.33,55.99,69.5
2008,55.77,53.1,52.79,62.14,74.85,70.07,65.05,50.85,65.41
2009,56.96,53.43,54.55,64.57,74.19,69.55,66.85,53.01,67.03
2010,61.13,54.99,53.04,67.13,75.11,72.41,63.72,59.88,61.58
2011,55.72,50.11,50.36,63.94,76.86,71.64,65.72,50.83,61.99
2012,61.28,61.52,55.56,71.74,79.81,74.41,69.88,60.8,67.23
2013,55.48,51.88,56.28,61.05,71.88,67.13,66.51,48.53,68.62
2014,53.79,54.1,57.18,63.43,73.8,69.75,66.43,49.27,68.51
2015,56.18,57.95,59.26,64.88,75.51,71.25,65.82,55.17,68.27
2016,57.46,57.97,58.64,66.08,76.2,71.71,66.09,55.59,66.69
2017,55.09,56.65,55.35,65.87,77.08,71.87,68.19,53.27,67.31
2018,54.56,54.21,56.53,63.56,75.49,69.08,68.84,52.45,65.9
2019,54.78,50.62,55.2,63.34,75.01,72.04,63.6,49.86,63.51
2020,55.64,54.48,56.31,63.07,75.79,69.88,67.74,52.52,66.1
2021,58.22,56.5,57.26,65.3,74.86,71.41,66.42,56.38,67.36
2022,57.53,53.05,52.98,64.98,76.83,72.27,67.88,50.68,67.28
2023,57.63,52.55,54.13,65.36,75.74,70.52,64.07,52.93,62.52
2024,58.82,55.5,55.15,68.31,77.09,72.69,65.65,56.4,65.1
