Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1946,-999,-999,-999,-999,-999,0.0,-999,0.02,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,1.24,0.0,-999,0.06,0.0,0.31,0.0,0.04,-999,0.2,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.01,-999,0.0,0.0,0.11,0.0,-999
1947,-999,-999,-999,-999,-999,0.0,-999,0.12,-999,-999,-999,-999,0.01,0.0,0.0,0.0,0.17,-999,-999,-999,-999,0.0,0.05,0.2,0.0,-999,0.28,-999.0,0.3,0.0,0.0,-999,0.2,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.04,-999,0.0,0.0,0.08,0.0,-999
1948,-999,-999,-999,-999,-999,0.0,-999,0.81,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.99,0.19,3.78,0.0,-999,0.36,0.0,1.9,0.01,0.29,-999,0.7,0.0,0.33,0.0,-999,0.0,0.0,-999,-999,0.04,-999,-999,0.05,-999,1.0,0.0,1.4,0.0,-999
1949,-999,-999,-999,-999,-999,0.0,-999,0.67,-999,-999,-999,-999,0.03,0.46,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.59,0.0,-999,2.89,0.0,1.48,0.0,0.0,-999,0.04,1.0,0.01,0.0,-999,0.71,0.0,-999,-999,0.57,-999,-999,1.32,-999,0.0,0.32,0.09,0.0,-999
1950,-999,-999,-999,-999,-999,0.0,-999,0.11,-999,-999,-999,-999,0.05,0.13,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.03,2.35,0.0,-999,3.87,0.0,5.15,0.1,0.04,-999,0.04,0.0,0.01,0.0,-999,0.49,0.0,-999,-999,0.3,-999,-999,0.33,-999,0.0,1.42,1.09,0.0,-999
1951,-999,-999,-999,-999,-999,0.0,-999,0.53,-999,-999,-999,-999,0.18,0.17,0.0,0.18,0.0,-999,-999,-999,-999,0.29,0.47,3.95,0.0,-999,1.4,0.0,2.31,0.0,0.08,-999,0.37,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.44,-999,-999,0.08,-999,0.0,0.0,2.31,0.0,-999
1952,-999,-999,-999,-999,-999,0.0,-999,0.55,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.85,0.0,-999,0.44,0.0,0.49,0.0,0.0,-999,0.04,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,1.75,-999,0.0,0.0,0.38,0.0,-999
1953,-999,-999,-999,-999,-999,0.0,-999,0.03,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.7,0.0,-999,0.03,0.0,0.01,0.0,0.0,-999,0.04,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.02,-999,0.0,0.0,0.01,-999.0,-999
1954,-999,-999,-999,-999,-999,0.0,-999,0.08,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.03,1.94,0.0,-999,2.02,0.0,3.04,0.0,0.0,-999,0.04,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.31,-999,-999,0.02,-999,0.0,0.0,0.49,0.0,-999
1955,-999,-999,-999,-999,-999,0.0,-999,0.28,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.29,0.02,1.24,0.0,-999,0.35,0.0,0.67,0.0,0.08,-999,0.2,0.0,0.03,0.0,-999,0.0,0.0,-999,-999,0.03,-999,-999,0.02,-999,0.0,0.0,0.17,0.0,-999
1956,-999,-999,-999,-999,-999,0.0,-999,0.42,-999,-999,-999,-999,0.0,0.11,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.39,0.0,-999,0.82,0.0,0.37,0.0,0.0,-999,0.04,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.09,-999,-999,0.14,-999,0.0,0.0,0.04,0.0,-999
