Year,CONUS
1930,1.1
1931,1.19
1932,1.66
1933,1.44
1934,1.23
1935,1.51
1936,1.43
1937,1.52
1938,1.51
1939,1.14
1940,1.35
1941,1.65
1942,1.64
1943,1.31
1944,1.57
1945,1.75
1946,1.71
1947,1.38
1948,1.49
1949,1.48
1950,1.59
1951,1.41
1952,1.19
1953,1.34
1954,1.22
1955,1.42
1956,1.06
1957,1.68
1958,1.38
1959,1.49
1960,1.3
1961,1.65
1962,1.25
1963,1.12
1964,1.75
1965,1.38
1966,1.37
1967,1.39
1968,1.43
1969,1.71
1970,1.39
1971,1.35
1972,1.55
1973,1.99
1974,1.53
1975,1.63
1976,1.12
1977,1.49
1978,1.43
1979,1.96
1980,1.39
1981,1.41
1982,1.73
1983,1.79
1984,1.45
1985,1.66
1986,1.65
1987,1.42
1988,1.2
1989,1.61
1990,1.74
1991,1.88
1992,1.43
1993,1.57
1994,1.61
1995,1.92
1996,1.78
1997,1.68
1998,1.95
1999,1.48
2000,1.43
2001,1.62
2002,1.73
2003,1.56
2004,1.97
2005,1.54
2006,1.65
2007,1.57
2008,1.93
2009,1.91
2010,1.75
2011,1.7
2012,1.4
2013,1.87
2014,1.73
2015,2.2
2016,1.8
2017,1.93
2018,2.12
2019,1.87
2020,1.89
2021,1.81
2022,1.52
2023,1.59
2024,1.94
