Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1930,209.06,-999,-999,48.1,60.6,120.1,65.09,189.06,126.29,96.14,2.92,36.36,141.32,158.82,125.95,119.88,126.22,98.7,25.18,131.01,133.8,175.91,158.7,174.45,109.56,40.59,173.11,86.05,187.32,149.89,169.38,111.59,154.49,179.41,151.08,126.13,80.86,112.65,135.76,141.0,55.29,167.48,85.07,48.1,160.94,109.8,154.92,115.13,161.11,127.05,-999
1931,196.24,-999,-999,31.04,38.35,113.39,58.21,186.41,122.17,80.79,2.33,25.9,134.35,168.98,100.34,100.12,114.39,70.48,10.03,119.51,124.06,161.55,149.49,164.72,84.65,24.01,176.63,72.38,181.48,149.77,166.81,101.29,134.38,176.97,137.09,113.19,53.7,105.25,126.27,133.0,42.3,167.36,65.2,32.02,156.65,88.6,152.18,106.98,147.19,102.28,-999
1932,195.14,-999,-999,34.25,59.49,115.17,73.43,190.15,122.34,81.44,2.92,26.38,155.59,170.29,121.02,112.37,130.69,79.79,20.73,131.39,106.79,175.62,161.83,181.29,106.2,36.05,173.94,58.95,191.26,156.08,177.95,105.06,153.84,178.25,152.34,119.44,76.05,98.04,132.36,128.0,34.63,166.12,74.32,51.11,165.44,83.76,161.69,100.38,171.09,111.74,-999
1933,215.06,-999,-999,26.81,41.28,118.59,76.43,187.58,131.54,90.42,1.05,24.82,152.37,177.67,116.19,110.03,114.3,77.13,10.26,136.59,113.51,185.66,165.52,185.16,92.6,24.9,179.84,62.26,193.56,150.22,181.47,105.87,149.26,187.72,154.41,116.57,61.53,105.43,130.69,140.0,39.99,168.45,63.57,32.72,173.28,86.14,169.75,105.26,171.76,114.11,-999
1934,194.7,-999,-999,39.73,60.3,86.63,45.12,179.08,126.87,102.87,5.84,42.02,143.19,142.39,123.31,122.72,118.6,98.34,17.32,133.9,129.83,174.26,163.81,175.96,108.09,39.63,166.05,87.56,188.71,147.49,171.63,114.31,138.78,147.25,155.39,131.83,73.47,64.36,143.13,142.0,57.9,164.15,83.75,39.07,139.32,111.09,158.48,75.79,160.41,131.76,-999
1935,209.62,-999,-999,45.21,55.53,100.18,64.21,189.49,118.61,90.6,7.33,44.98,147.09,184.57,112.33,108.89,114.14,83.61,23.81,125.33,108.45,180.4,166.69,183.46,95.11,40.68,192.07,72.76,197.57,156.97,180.86,105.96,143.93,178.12,151.38,115.67,68.55,120.57,134.36,137.0,52.06,178.16,73.29,35.16,162.89,93.82,169.33,125.48,169.02,113.9,-999
1936,193.36,-999,-999,38.02,67.76,101.55,56.75,186.79,121.69,104.34,3.56,34.4,157.34,183.06,134.92,131.06,134.75,100.53,28.67,126.16,123.75,180.25,170.22,189.44,116.04,47.44,175.57,76.94,192.79,160.57,174.46,108.32,150.17,171.3,155.01,136.72,85.72,108.62,134.05,130.0,49.33,174.59,83.2,52.45,158.2,104.9,164.05,117.08,172.3,124.31,-999
1937,196.87,-999,-999,37.02,66.98,106.16,65.91,189.6,134.2,96.75,3.44,34.08,156.87,173.97,134.85,130.76,131.94,98.87,19.87,136.13,117.92,178.34,166.73,179.25,120.39,40.9,176.67,69.59,188.92,152.62,178.8,112.82,151.68,169.97,154.65,134.33,91.77,94.69,139.05,140.0,44.1,169.73,74.03,53.34,156.82,98.79,151.51,100.75,169.91,120.84,-999
1938,185.81,-999,-999,36.18,58.17,95.93,56.42,180.64,114.42,87.49,4.35,31.5,138.52,162.43,109.23,109.8,113.38,74.43,18.72,118.06,112.58,167.87,147.07,167.14,92.62,36.96,171.84,63.05,175.17,139.92,161.73,104.01,147.31,174.31,142.97,118.25,73.23,101.39,129.4,124.0,40.04,157.9,65.12,42.62,151.46,91.34,148.52,105.93,149.18,116.07,-999
1939,202.2,-999,-999,32.5,57.76,102.56,57.22,182.49,137.04,96.47,3.36,29.1,148.45,165.8,123.58,118.85,120.82,91.31,13.12,144.25,123.96,190.43,170.97,184.93,100.61,33.3,171.42,74.8,187.67,148.56,190.72,115.23,152.26,164.63,161.11,130.85,76.32,98.43,132.03,148.0,48.38,168.75,75.31,40.2,146.29,98.4,177.6,96.43,170.03,126.86,-999
1940,192.16,-999,-999,50.99,73.07,85.98,43.92,176.99,152.07,110.21,11.06,49.97,147.17,151.91,127.14,121.91,124.35,96.26,31.05,144.21,122.86,182.45,169.77,179.13,114.77,50.07,167.66,88.27,183.93,147.12,185.14,123.42,147.64,146.17,165.89,136.57,84.15,80.45,141.49,142.0,63.56,169.91,85.9,51.64,137.81,108.87,170.45,85.56,167.05,132.68,-999
1941,188.4,-999,-999,48.03,66.33,80.33,46.53,178.78,144.7,103.81,4.17,43.31,134.87,159.96,114.41,116.02,118.11,94.02,14.95,131.79,121.5,175.39,154.4,165.09,102.38,43.91,179.81,93.43,181.58,144.02,180.62,123.0,141.84,176.36,152.61,124.78,72.09,83.6,140.42,142.0,62.72,161.29,85.73,32.95,144.09,113.48,162.76,88.58,151.57,134.22,-999
1942,191.47,-999,-999,48.77,66.76,95.63,61.56,191.66,138.22,97.21,6.1,40.75,149.27,176.95,120.21,118.59,125.4,95.37,28.89,127.95,102.06,174.6,169.76,181.16,106.48,49.57,186.81,84.91,190.47,155.24,177.66,111.3,152.29,187.71,149.95,126.78,80.61,101.96,137.38,148.0,54.46,173.39,87.18,49.19,165.44,102.72,163.52,108.75,167.92,128.69,-999
1943,193.21,-999,-999,53.75,71.78,85.77,53.37,185.07,150.96,111.96,7.18,45.35,155.73,164.88,132.98,128.98,135.27,102.08,30.24,146.29,120.59,186.98,178.12,188.69,118.73,50.48,183.63,90.95,189.88,157.07,184.59,131.46,152.16,167.59,165.73,140.0,85.99,111.47,152.7,157.0,59.56,176.03,91.93,54.26,147.16,110.3,169.12,113.11,175.74,133.06,-999
1944,190.65,-999,-999,43.86,60.33,96.93,59.7,195.25,145.06,110.69,4.06,35.77,143.34,180.33,120.31,122.71,125.61,96.23,25.27,141.05,113.14,182.08,170.3,176.16,104.0,38.64,185.68,87.31,185.26,159.31,187.32,122.34,158.49,178.39,165.81,133.43,70.99,116.09,142.91,152.0,51.83,172.36,80.3,45.41,155.79,113.93,176.98,109.21,165.45,137.48,-999
1945,201.97,-999,-999,40.89,60.85,113.01,58.59,191.31,123.45,97.48,3.71,34.41,139.67,176.03,113.97,114.78,125.71,92.62,21.29,123.05,102.09,172.06,162.67,187.21,105.22,35.79,191.67,69.61,202.95,155.26,159.23,105.93,157.57,170.62,143.11,122.54,81.9,94.02,134.41,140.0,43.63,178.16,73.42,42.58,158.83,95.79,152.57,101.64,164.91,121.6,-999
1946,208.13,-999,-999,32.04,46.23,102.76,62.84,185.87,124.8,81.35,0.94,23.65,124.3,174.91,96.5,98.46,100.05,75.04,13.59,118.0,81.18,182.74,147.91,167.41,78.92,26.33,188.83,61.02,188.76,140.97,163.78,98.69,135.95,175.77,143.76,109.55,60.42,95.67,127.38,138.0,35.43,164.09,64.09,36.81,154.74,85.91,155.61,109.81,144.02,106.14,-999
1947,199.03,-999,-999,47.39,74.12,107.4,62.39,185.84,152.91,99.53,5.09,35.09,149.95,163.7,126.71,128.95,129.38,115.89,30.0,145.76,116.82,191.91,173.86,180.34,113.14,48.06,169.85,84.62,189.87,157.04,182.26,125.65,161.43,166.69,165.2,134.2,93.61,88.44,146.49,160.0,51.44,172.88,97.07,49.54,152.66,113.37,174.95,93.98,164.18,133.29,-999
