Year,CONUS
1930,53.97
1931,40.5
1932,54.23
1933,49.44
1934,44.76
1935,50.71
1936,58.9
1937,56.62
1938,47.33
1939,47.83
1940,52.58
1941,43.45
1942,49.3
1943,55.63
1944,52.76
1945,50.8
1946,43.95
1947,54.88
1948,57.68
1949,51.49
1950,56.85
1951,58.69
1952,50.37
1953,40.65
1954,44.86
1955,61.9
1956,53.51
1957,47.75
1958,52.39
1959,54.08
1960,60.26
1961,50.04
1962,52.1
1963,56.7
1964,58.8
1965,52.69
1966,56.47
1967,52.91
1968,54.76
1969,55.89
1970,57.53
1971,53.88
1972,55.03
1973,44.52
1974,46.66
1975,53.86
1976,59.48
1977,56.63
1978,62.19
1979,59.51
1980,52.37
1981,46.05
1982,55.49
1983,44.77
1984,49.12
1985,61.09
1986,43.15
1987,41.73
1988,55.24
1989,60.17
1990,44.71
1991,47.73
1992,41.65
1993,52.96
1994,49.88
1995,48.53
1996,56.48
1997,48.84
1998,34.57
1999,39.19
2000,51.71
2001,45.73
2002,49.71
2003,49.17
2004,45.38
2005,44.29
2006,40.47
2007,50.64
2008,55.9
2009,53.49
2010,49.98
2011,50.64
2012,39.45
2013,58.33
2014,56.23
2015,44.17
2016,39.25
2017,41.39
2018,53.43
2019,53.26
2020,43.26
2021,41.04
2022,58.61
2023,41.78
2024,36.15
