Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1980,56.68,58.48,58.19,65.73,76.26,70.64,67.55,53.6,70.9
1981,56.36,59.11,57.82,65.17,75.73,70.21,67.48,54.88,68.86
1982,60.09,53.95,54.12,65.62,75.67,70.4,64.1,53.97,64.85
1983,60.15,56.54,56.67,67.27,75.98,71.23,67.29,55.02,68.6
1984,59.49,54.01,53.67,65.6,75.71,71.46,63.95,54.9,66.57
1985,60.14,48.41,50.27,66.77,76.9,74.09,63.81,52.02,64.6
1986,57.12,53.14,55.78,64.9,75.8,71.36,63.95,52.87,67.29
1987,57.93,59.52,62.43,65.96,75.7,70.98,67.5,55.38,70.92
1988,57.17,57.59,59.96,64.62,75.18,69.05,68.31,53.7,71.44
1989,59.04,57.82,58.63,65.53,75.7,70.97,68.54,55.01,69.96
1990,60.28,60.79,59.5,68.32,78.58,73.79,68.19,57.43,71.33
1991,59.36,54.85,59.12,65.11,74.81,71.42,66.22,51.92,72.02
1992,56.65,55.74,57.14,63.88,74.08,69.54,66.82,52.66,70.4
1993,57.5,53.63,58.06,62.6,74.41,71.43,65.24,51.3,69.53
1994,60.33,57.37,56.33,67.43,75.69,71.44,65.62,58.03,66.14
1995,58.5,55.69,59.15,64.25,75.24,69.54,70.14,51.85,74.05
1996,56.82,52.69,56.29,62.48,73.79,68.65,65.98,52.7,68.99
1997,57.12,57.71,57.9,64.04,74.58,69.49,66.85,54.42,69.47
1998,60.13,59.41,58.8,69.51,78.9,74.38,68.31,58.98,67.31
1999,61.42,60.76,61.15,70.11,78.2,72.13,71.22,58.59,73.74
2000,58.55,54.57,54.95,66.0,75.8,70.47,64.93,56.03,66.99
2001,62.37,60.79,59.98,68.21,76.68,73.21,70.58,58.53,72.45
2002,58.5,55.18,58.84,65.12,74.79,70.13,65.91,53.67,70.7
2003,59.8,56.91,59.03,66.22,76.64,72.35,69.12,55.8,71.65
2004,59.95,58.34,56.81,67.45,76.86,71.18,64.95,58.72,67.34
2005,61.72,59.91,57.13,68.8,78.64,73.91,69.24,59.04,69.99
2006,59.19,55.45,57.98,64.17,75.51,70.0,66.07,54.6,69.78
2007,61.85,59.24,57.11,69.49,77.63,74.47,70.25,58.01,69.85
2008,58.65,57.82,59.82,65.72,74.62,69.49,69.1,55.91,72.85
2009,59.06,57.35,58.0,64.88,74.36,70.33,67.46,56.98,71.02
2010,60.07,58.02,57.41,68.94,78.86,73.9,69.05,56.85,69.55
2011,61.68,59.45,59.03,66.43,76.08,71.65,68.1,58.15,70.48
2012,59.07,58.84,60.13,64.78,75.65,69.69,70.56,55.95,72.96
2013,59.21,56.89,57.33,65.52,75.47,70.14,66.24,55.66,69.4
2014,59.05,56.91,59.78,63.23,75.06,69.91,68.83,52.7,73.0
2015,62.88,60.72,59.13,69.23,77.69,71.99,68.85,60.41,70.76
2016,62.39,61.02,58.31,71.24,80.89,74.46,70.38,60.49,70.6
2017,62.44,57.81,57.6,67.95,77.4,72.44,70.78,57.03,71.1
2018,57.17,54.52,58.21,64.2,75.35,71.44,66.65,51.51,71.12
2019,58.93,53.85,55.84,66.63,77.62,73.2,67.98,52.59,69.96
2020,61.38,58.22,60.4,67.17,76.93,72.79,71.5,55.0,74.46
2021,61.42,61.89,59.01,68.04,76.9,72.26,70.75,59.33,71.55
2022,61.27,58.71,60.27,66.91,76.71,71.4,67.44,57.54,71.22
2023,60.82,59.63,58.46,68.16,77.73,72.05,70.13,58.07,69.99
2024,62.88,62.65,59.89,70.57,79.59,73.29,70.85,61.95,72.11
