Year,CONUS
1895,61.55
1896,62.51
1897,62.34
1898,62.36
1899,61.98
1900,63.47
1901,62.3
1902,62.14
1903,61.5
1904,61.45
1905,61.44
1906,62.33
1907,61.73
1908,63.2
1909,62.23
1910,63.18
1911,63.13
1912,61.0
1913,63.04
1914,62.41
1915,62.02
1916,61.97
1917,60.67
1918,62.73
1919,62.55
1920,61.49
1921,64.99
1922,63.1
1923,62.4
1924,61.5
1925,63.4
1926,62.1
1927,62.86
1928,62.51
1929,61.91
1930,63.36
1931,64.69
1932,63.09
1933,64.11
1934,64.63
1935,62.34
1936,63.24
1937,62.37
1938,64.18
1939,64.4
1940,61.87
1941,63.44
1942,62.79
1943,63.12
1944,62.93
1945,62.59
1946,64.23
1947,62.64
1948,62.83
1949,63.78
1950,62.27
1951,62.32
1952,63.75
1953,64.89
1954,64.35
1955,63.04
1956,63.39
1957,62.79
1958,61.96
1959,63.16
1960,62.15
1961,62.56
1962,62.41
1963,63.11
1964,62.98
1965,62.43
1966,62.33
1967,62.32
1968,62.12
1969,61.9
1970,62.38
1971,62.52
1972,61.71
1973,63.09
1974,63.05
1975,62.49
1976,62.72
1977,63.16
1978,61.53
1979,61.58
1980,62.93
1981,63.43
1982,62.0
1983,62.27
1984,62.62
1985,62.18
1986,63.62
1987,64.14
1988,63.71
1989,62.44
1990,64.83
1991,64.13
1992,62.54
1993,61.8
1994,63.41
1995,63.08
1996,62.13
1997,62.48
1998,64.92
1999,65.15
2000,63.73
2001,64.54
2002,64.2
2003,63.31
2004,63.34
2005,64.21
2006,65.17
2007,64.5
2008,63.28
2009,62.74
2010,63.85
2011,64.15
2012,66.47
2013,62.85
2014,62.69
2015,64.69
2016,65.59
2017,65.03
2018,63.78
2019,63.27
2020,65.06
2021,65.11
2022,64.53
2023,65.29
2024,66.19
