Year,CONUS
1900,2.08
1901,1.88
1902,2.21
1903,1.89
1904,1.5
1905,2.08
1906,2.07
1907,1.74
1908,1.79
1909,1.91
1910,1.36
1911,1.63
1912,1.75
1913,1.78
1914,1.56
1915,2.15
1916,1.58
1917,1.15
1918,1.56
1919,2.03
1920,1.89
1921,1.62
1922,1.66
1923,1.61
1924,1.39
1925,1.34
1926,1.88
1927,1.79
1928,1.76
1929,1.87
1930,1.23
1931,1.39
1932,1.86
1933,1.6
1934,1.46
1935,1.65
1936,1.63
1937,1.67
1938,1.73
1939,1.33
1940,1.55
1941,1.81
1942,1.86
1943,1.5
1944,1.82
1945,2.01
1946,1.95
1947,1.5
1948,1.71
1949,1.73
1950,1.84
1951,1.6
1952,1.35
1953,1.55
1954,1.32
1955,1.57
1956,1.22
1957,1.94
1958,1.58
1959,1.64
1960,1.4
1961,1.96
1962,1.4
1963,1.27
1964,2.02
1965,1.57
1966,1.49
1967,1.57
1968,1.69
1969,1.9
1970,1.56
1971,1.51
1972,1.82
1973,2.28
1974,1.79
1975,1.82
1976,1.3
1977,1.73
1978,1.53
1979,2.28
1980,1.6
1981,1.55
1982,2.02
1983,2.08
1984,1.71
1985,1.87
1986,1.81
1987,1.61
1988,1.36
1989,1.93
1990,2.05
1991,2.14
1992,1.66
1993,1.83
1994,1.84
1995,2.13
1996,2.04
1997,1.89
1998,2.27
1999,1.66
2000,1.64
2001,1.89
2002,1.98
2003,1.82
2004,2.23
2005,1.68
2006,1.81
2007,1.77
2008,2.22
2009,2.25
2010,2.01
2011,1.93
2012,1.57
2013,2.2
2014,1.94
2015,2.55
2016,2.14
2017,2.21
2018,2.49
2019,2.1
2020,2.19
2021,2.03
2022,1.78
2023,1.74
2024,2.19
