Year,CONUS
1930,120.92
1931,110.66
1932,119.27
1933,117.89
1934,113.47
1935,119.82
1936,123.6
1937,122.1
1938,111.31
1939,116.67
1940,117.44
1941,113.51
1942,122.03
1943,125.28
1944,122.43
1945,119.74
1946,110.5
1947,123.5
1948,121.46
1949,116.67
1950,122.19
1951,125.07
1952,122.46
1953,113.57
1954,118.83
1955,123.76
1956,123.73
1957,114.53
1958,120.72
1959,124.37
1960,126.7
1961,122.5
1962,119.48
1963,119.32
1964,126.31
1965,121.15
1966,125.44
1967,122.61
1968,124.56
1969,125.82
1970,127.14
1971,122.14
1972,122.14
1973,113.16
1974,118.04
1975,124.76
1976,130.3
1977,117.07
1978,124.05
1979,124.93
1980,121.81
1981,116.04
1982,120.58
1983,117.29
1984,120.95
1985,121.66
1986,109.79
1987,114.89
1988,123.09
1989,122.29
1990,112.99
1991,115.99
1992,112.28
1993,121.42
1994,113.83
1995,116.29
1996,122.48
1997,118.25
1998,101.39
1999,112.99
2000,116.02
2001,111.61
2002,123.52
2003,112.97
2004,110.07
2005,111.33
2006,111.74
2007,114.46
2008,124.51
2009,118.38
2010,117.07
2011,118.23
2012,107.63
2013,129.42
2014,120.38
2015,106.26
2016,104.26
2017,106.22
2018,123.96
2019,122.85
2020,118.01
2021,112.46
2022,123.43
2023,110.23
2024,103.51
