Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1944,-999,-999,-999,4.33,11.08,37.63,24.56,0.76,0.0,0.03,1.33,5.72,0.18,0.88,2.67,1.43,9.97,1.9,6.59,0.25,0.44,0.79,0.22,0.0,2.43,6.89,0.1,1.99,0.04,2.7,0.23,1.47,7.83,0.39,0.34,1.24,18.62,3.01,1.51,0.0,7.23,1.37,2.47,23.23,9.46,1.88,0.0,1.72,0.21,0.91,0.25
1945,-999,-999,-999,1.56,3.42,30.11,28.6,1.2,0.0,0.03,1.48,1.78,0.25,1.87,0.57,0.07,10.78,0.44,0.15,0.05,1.01,0.0,0.0,0.05,1.61,0.56,1.31,1.21,0.63,4.06,0.0,0.17,5.46,4.86,0.01,0.01,5.22,1.76,0.01,0.0,3.01,3.26,1.04,16.65,8.04,1.31,0.0,1.21,0.03,0.03,0.31
1946,-999,-999,-999,0.06,6.77,36.96,25.85,2.88,0.0,0.03,0.0,0.12,0.36,2.36,0.82,0.2,24.41,0.0,0.39,0.01,0.0,0.0,0.02,0.03,5.53,0.01,0.95,0.16,0.79,6.89,0.0,0.06,7.78,3.44,0.01,0.07,26.43,2.74,0.05,0.0,0.53,3.41,0.03,22.65,8.12,0.02,0.0,1.88,0.0,0.05,0.38
1947,-999,-999,-999,2.3,25.46,38.52,24.23,3.3,0.0,0.03,0.06,0.63,6.88,1.71,4.81,1.47,23.85,1.04,15.42,0.01,0.0,0.0,1.04,1.45,13.76,8.84,2.54,0.47,3.21,13.13,0.0,0.06,4.06,4.31,0.01,0.25,25.6,0.58,0.01,0.0,1.83,10.17,3.58,22.73,8.0,0.02,0.0,0.52,1.17,0.03,2.92
1948,-999,-999,-999,0.84,3.32,45.43,22.88,1.41,0.0,0.03,0.0,1.49,1.32,0.85,0.22,0.33,3.95,0.67,8.61,0.85,1.69,0.0,0.14,0.33,0.3,2.1,1.71,2.64,1.49,4.88,0.96,1.19,8.17,1.38,0.51,1.09,7.06,1.14,0.85,0.0,3.58,4.3,0.97,30.09,7.87,1.58,0.0,0.35,0.95,0.61,1.13
1949,-999,-999,-999,0.0,0.99,41.09,25.43,1.07,0.5,1.14,0.09,0.43,0.1,2.0,0.42,0.0,3.83,0.0,0.23,0.87,0.88,0.0,0.01,0.43,0.1,0.53,2.95,1.42,3.34,1.44,0.27,1.72,3.22,3.12,0.37,0.46,4.79,1.76,0.49,0.0,1.78,8.82,0.03,10.98,7.89,0.12,0.0,1.77,0.0,0.02,2.13
1950,-999,-999,-999,0.0,0.13,36.85,31.02,0.82,0.0,0.03,1.21,2.5,0.02,1.48,0.01,0.0,3.59,0.0,0.15,0.01,0.0,0.0,0.0,0.07,0.04,0.35,0.52,0.18,0.04,0.73,0.0,0.06,4.8,6.1,0.01,0.0,1.04,1.45,0.01,0.0,2.48,0.54,0.02,8.58,8.04,0.3,-999.0,1.17,0.0,0.02,0.41
1951,-999,-999,-999,6.3,8.98,46.78,27.57,1.44,0.0,0.03,0.19,4.4,0.01,2.17,0.04,0.4,4.96,1.23,10.93,0.01,0.0,0.0,0.0,0.0,0.47,12.3,2.04,1.22,0.33,0.59,0.0,0.06,17.11,1.58,0.01,0.27,17.49,1.72,0.01,0.0,4.02,1.01,2.81,36.88,11.72,0.31,0.0,1.27,0.0,0.02,0.88
1952,-999,-999,-999,12.24,20.85,49.96,27.57,4.84,0.5,0.4,0.78,10.52,0.28,1.16,2.4,1.86,26.14,9.68,5.09,0.35,0.56,0.0,0.0,0.0,9.5,15.51,1.14,8.62,1.1,8.5,0.15,0.47,10.53,1.37,0.22,1.04,26.37,1.9,0.12,0.0,12.78,4.79,11.84,28.18,9.53,4.95,0.0,2.01,0.0,0.05,0.9
1953,-999,-999,-999,2.36,19.72,43.32,25.22,3.99,0.5,0.4,1.44,3.02,1.2,1.34,5.23,4.6,20.7,7.61,5.82,0.27,4.04,0.0,0.53,0.04,13.65,9.02,1.28,2.15,0.3,6.11,0.08,2.31,14.61,3.77,1.26,1.58,20.64,1.04,2.7,0.0,5.58,1.6,4.08,34.37,12.5,5.9,1.0,1.2,0.09,2.88,2.01
1954,-999,-999,-999,23.12,48.19,36.04,22.93,6.2,0.0,1.54,1.28,18.47,3.01,1.58,7.59,5.34,37.3,10.96,17.53,0.01,2.91,0.0,0.0,0.18,27.91,25.11,1.74,7.71,0.36,13.9,0.0,1.1,9.68,4.51,0.28,0.58,49.89,0.77,0.7,0.0,19.98,4.51,17.07,35.69,13.31,5.35,0.0,0.06,0.0,0.61,5.38
1955,-999,-999,-999,0.26,2.06,31.31,26.12,2.71,0.5,0.77,0.13,1.41,5.72,2.37,1.04,0.1,16.6,0.85,0.0,0.22,1.59,0.17,0.51,0.92,2.29,0.11,2.03,0.25,0.75,14.29,0.92,1.64,2.81,5.04,0.84,0.08,10.93,2.97,1.41,0.0,0.62,9.15,0.29,13.1,7.93,0.34,0.0,1.11,1.0,0.1,1.06
1956,-999,-999,-999,3.26,14.27,46.24,24.14,2.47,0.0,0.03,0.15,1.68,1.51,1.41,0.57,0.13,31.61,0.31,4.76,0.01,0.0,0.0,0.0,0.28,6.17,4.47,0.82,0.4,0.26,6.36,0.0,0.06,7.97,1.8,0.01,0.01,43.43,2.6,0.01,0.0,4.62,4.15,3.64,35.93,11.05,0.23,0.0,1.56,0.0,0.02,0.48
1957,-999,-999,-999,0.73,1.38,39.96,25.75,1.97,0.0,1.91,0.0,1.75,0.73,0.97,0.01,0.01,13.23,0.06,0.34,0.01,1.37,0.0,0.0,0.02,1.5,0.18,1.48,0.76,0.83,5.19,0.0,1.33,9.55,3.12,0.09,0.08,16.95,0.26,0.53,0.0,3.13,2.18,0.24,23.92,7.97,1.19,0.0,0.09,0.0,0.06,1.3
1958,-999,-999,-999,0.0,0.31,59.03,29.48,2.09,0.0,0.03,0.24,0.61,0.01,1.55,0.01,0.0,3.79,0.0,0.17,0.01,0.0,0.0,0.0,0.21,0.03,0.01,0.95,0.02,2.1,1.27,0.0,0.06,10.37,3.24,0.01,0.01,8.33,3.13,0.01,0.0,1.03,3.76,0.05,21.19,12.91,0.02,0.0,3.22,0.0,0.02,0.65
1959,-999,-999,-999,0.0,0.19,36.69,29.29,2.89,0.0,0.77,0.01,1.75,0.04,3.7,0.05,0.0,9.04,0.0,0.05,0.01,0.39,0.0,0.0,0.41,0.03,0.01,1.42,1.59,3.47,3.8,0.0,0.11,5.61,12.87,0.02,0.04,5.47,3.87,0.01,0.0,3.54,8.88,0.04,10.41,11.35,1.22,0.0,2.1,0.0,0.22,1.44
1960,-999,-999,-999,0.37,2.84,48.09,33.74,5.36,0.0,0.03,0.1,0.39,0.03,4.16,0.4,0.0,9.25,0.09,2.81,0.01,0.0,0.0,0.0,0.04,1.22,2.25,4.06,0.05,1.94,3.66,0.0,0.06,7.53,11.45,0.02,0.01,7.02,4.63,0.01,0.0,0.73,7.55,0.92,17.27,16.32,0.17,0.0,3.71,0.0,0.02,3.97
1961,-999,-999,-999,0.0,0.07,39.82,29.74,2.05,0.0,0.03,0.83,0.39,0.03,5.51,0.01,0.0,5.67,0.0,0.01,0.01,0.0,0.0,0.0,0.07,0.01,0.01,4.45,0.02,1.23,3.66,0.0,0.06,3.49,11.15,0.01,0.01,3.21,6.75,0.01,0.0,0.14,4.76,0.03,4.33,11.89,0.02,0.0,4.57,0.0,0.02,2.76
1962,-999,-999,-999,0.92,6.26,45.73,24.47,1.72,0.0,0.03,1.87,1.73,0.01,1.35,0.35,0.19,7.48,0.94,7.84,0.01,0.69,0.0,0.0,0.0,3.17,3.95,0.22,0.08,0.01,0.66,0.0,0.06,5.46,1.89,0.01,0.07,12.46,1.57,0.08,0.0,1.07,0.96,1.88,24.81,9.92,0.03,0.0,1.06,0.0,0.04,0.11
1963,-999,-999,-999,1.44,5.43,39.4,19.92,5.14,0.0,0.03,0.0,1.23,0.57,0.9,0.36,0.18,18.6,0.22,4.49,0.08,0.0,0.0,0.0,0.04,2.54,3.52,1.53,0.08,0.38,5.45,0.0,0.43,8.32,1.02,0.01,0.01,17.17,0.62,0.11,0.0,0.77,2.46,0.18,25.5,8.77,0.03,0.0,0.21,0.05,0.02,0.67
1964,-999,-999,-999,0.18,11.68,33.81,22.63,4.59,0.0,0.03,0.38,1.83,0.26,1.6,0.96,0.48,20.07,1.27,2.86,0.08,0.0,0.0,0.15,0.2,3.04,1.19,1.75,0.62,0.72,7.11,0.0,0.28,8.65,2.14,0.05,0.22,19.37,1.21,0.11,0.0,1.11,5.29,0.76,23.78,7.94,0.18,0.0,0.66,0.43,0.02,2.19
