Year,CONUS
1930,5.99
1931,5.84
1932,5.87
1933,5.27
1934,9.35
1935,5.21
1936,9.55
1937,5.42
1938,3.77
1939,4.85
1940,4.3
1941,4.79
1942,4.16
1943,6.15
1944,4.76
1945,4.22
1946,4.09
1947,4.74
1948,4.55
1949,4.16
1950,2.47
1951,5.52
1952,6.61
1953,6.02
1954,6.64
1955,4.21
1956,4.29
1957,4.87
1958,5.1
1959,3.92
1960,4.1
1961,3.02
1962,3.76
1963,4.24
1964,4.94
1965,2.66
1966,4.47
1967,3.12
1968,3.08
1969,6.38
1970,5.21
1971,3.18
1972,3.15
1973,3.25
1974,3.05
1975,2.94
1976,2.05
1977,5.24
1978,5.27
1979,3.52
1980,8.92
1981,5.71
1982,4.2
1983,5.2
1984,3.61
1985,3.84
1986,5.28
1987,5.07
1988,6.2
1989,4.64
1990,5.48
1991,4.81
1992,3.73
1993,5.65
1994,4.07
1995,6.6
1996,5.68
1997,5.45
1998,10.18
1999,6.79
2000,6.62
2001,6.73
2002,5.72
2003,5.6
2004,4.32
2005,6.62
2006,7.28
2007,6.4
2008,5.99
2009,6.81
2010,11.9
2011,12.24
2012,7.93
2013,6.1
2014,5.83
2015,7.78
2016,9.7
2017,6.67
2018,7.99
2019,7.85
2020,7.81
2021,7.52
2022,11.08
2023,11.01
2024,11.58
