Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,30.22,31.77,34.39,39.64,51.0,44.66,36.71,29.21,39.99
1901,33.63,31.33,32.04,39.22,48.22,44.32,34.72,30.14,38.42
1902,34.81,30.34,31.95,41.97,52.33,46.05,35.27,32.05,37.2
1903,35.74,27.81,30.5,43.43,52.07,48.4,34.62,32.2,38.13
1904,32.52,27.91,32.36,39.13,50.14,44.42,36.58,27.64,39.61
1905,32.05,30.45,33.4,42.42,54.01,47.66,37.12,29.65,39.23
1906,30.67,28.04,31.49,39.25,49.86,44.34,35.72,28.08,38.5
1907,30.15,26.9,32.55,39.29,51.51,44.71,36.0,25.16,39.37
1908,33.49,28.89,31.22,43.27,54.69,48.93,35.24,29.96,36.52
1909,31.99,26.73,30.19,39.41,50.58,45.15,33.1,27.27,37.22
1910,35.2,33.3,34.58,41.53,50.68,46.33,37.72,32.4,41.12
1911,31.52,30.4,29.89,41.04,51.99,44.3,36.87,31.43,37.61
1912,31.69,26.27,31.1,39.94,51.51,46.83,34.14,26.99,37.18
1913,33.99,27.93,31.33,39.94,50.09,46.5,34.0,27.7,36.67
1914,31.78,30.43,33.75,40.12,49.55,43.61,36.66,29.38,40.54
1915,31.93,30.33,34.54,39.8,48.92,43.37,35.34,30.8,39.63
1916,30.59,28.81,31.62,39.94,50.12,44.6,35.91,27.33,38.62
1917,30.87,25.36,28.94,38.18,48.9,44.16,31.28,26.62,34.41
1918,33.55,30.16,30.67,42.18,52.54,47.57,35.71,30.55,37.26
1919,33.55,29.05,31.87,40.52,50.64,46.19,36.3,30.01,38.91
1920,31.05,27.08,30.11,39.18,50.7,43.59,33.66,27.3,36.73
1921,36.95,30.12,32.55,44.3,52.79,48.44,35.68,33.03,38.57
1922,34.1,29.71,29.06,43.34,53.07,47.8,33.55,32.55,35.72
1923,29.05,27.11,31.26,37.82,50.44,44.79,34.42,24.82,37.81
1924,31.6,26.8,31.07,38.07,48.26,43.33,33.37,27.46,38.26
1925,32.28,31.74,34.0,40.28,51.53,45.17,37.4,29.71,39.82
1926,27.67,30.28,33.81,36.64,47.92,41.7,37.01,25.95,41.94
1927,32.66,29.72,30.97,42.76,53.46,46.53,35.47,31.46,37.87
1928,30.79,29.58,33.46,38.58,49.61,43.96,36.65,27.68,40.68
1929,34.02,28.96,31.04,42.61,53.58,48.0,34.53,30.35,37.16
1930,32.26,30.46,33.16,40.75,50.81,45.28,35.39,30.16,38.98
1931,33.99,28.49,32.76,38.81,47.14,43.27,34.87,29.97,40.4
1932,30.93,29.09,33.12,38.56,49.41,43.62,34.81,27.57,38.86
1933,33.92,29.6,30.47,41.93,52.2,46.62,32.89,30.45,36.38
1934,31.38,32.4,36.53,39.28,50.23,44.69,39.23,29.32,43.09
1935,31.7,28.03,30.47,41.75,53.38,47.11,35.45,29.17,37.29
1936,34.63,30.09,33.37,40.94,51.23,45.86,36.72,29.83,39.75
1937,31.7,29.87,32.42,39.49,49.69,43.94,35.3,28.91,38.44
1938,33.79,31.33,32.64,43.76,53.59,48.0,35.81,32.24,38.38
1939,31.1,30.85,32.98,40.89,51.08,46.02,36.45,28.74,40.07
1940,30.85,30.52,34.85,38.44,48.89,43.13,37.24,26.72,41.29
1941,31.63,31.95,33.99,40.43,49.98,43.75,36.24,32.07,39.25
1942,36.38,30.44,31.67,42.22,50.29,46.49,33.8,33.11,36.71
1943,30.66,26.84,31.6,38.78,50.49,44.81,36.54,26.06,40.75
1944,32.06,28.34,31.23,40.98,51.18,45.73,33.51,29.26,36.91
1945,35.98,28.2,31.89,42.9,52.86,48.67,33.65,31.0,36.69
1946,34.5,32.26,33.05,44.18,53.24,47.93,36.76,32.84,38.86
1947,31.66,27.85,34.23,37.96,49.36,44.06,35.91,27.23,40.73
1948,32.63,28.37,31.18,41.77,52.83,48.04,34.12,29.0,36.12
1949,33.42,30.7,33.63,40.48,50.86,45.36,36.01,30.05,39.36
1950,30.01,25.67,30.33,38.61,49.56,44.25,34.29,25.42,38.02
1951,34.36,25.37,30.53,39.46,49.56,44.66,34.81,29.44,38.48
1952,33.56,28.49,31.37,40.04,49.27,45.49,34.76,29.62,38.06
1953,35.71,28.18,31.23,41.53,52.24,47.71,34.15,30.33,36.17
1954,32.94,27.07,30.84,39.95,50.61,45.48,36.63,28.0,39.47
1955,34.74,28.26,28.58,43.07,53.09,48.11,33.7,30.97,35.87
1956,29.25,28.07,32.61,39.89,50.7,44.59,34.97,26.68,38.44
1957,34.07,29.8,34.37,41.81,51.77,47.07,35.45,29.64,39.19
1958,33.96,30.23,33.16,39.95,50.21,45.37,35.55,30.54,38.42
1959,33.15,29.65,31.42,41.88,50.92,46.39,35.12,30.7,39.0
1960,31.97,27.77,32.0,36.48,47.24,41.95,35.6,27.02,39.29
1961,32.12,30.0,32.92,39.41,49.81,44.28,35.36,29.75,38.18
1962,33.47,29.13,31.77,41.37,49.89,45.2,34.5,31.09,37.96
1963,31.91,31.14,32.57,41.73,52.73,45.96,35.68,30.44,37.82
1964,33.45,28.35,29.55,42.1,51.62,45.87,33.17,30.55,35.98
1965,32.23,26.15,30.6,40.75,51.12,46.02,33.72,28.1,37.99
1966,31.8,28.6,31.45,39.35,50.07,44.18,35.66,29.47,39.61
1967,29.43,28.2,30.8,41.47,52.55,44.88,35.4,28.23,36.85
1968,33.31,29.1,31.82,40.41,49.66,44.39,34.48,31.61,38.26
1969,32.09,28.58,31.82,38.91,48.76,43.62,34.67,28.88,38.55
1970,33.06,27.54,30.52,41.39,51.01,45.69,33.15,28.82,37.08
1971,30.83,29.17,31.1,37.45,47.19,42.08,33.56,27.71,37.02
1972,30.87,30.8,32.57,40.47,50.7,44.49,36.33,28.8,39.82
1973,36.2,30.1,32.06,43.16,51.42,46.75,34.07,33.5,38.8
1974,32.75,30.01,32.18,42.76,52.88,47.02,36.46,29.78,39.05
1975,32.2,27.13,29.96,39.98,50.72,45.38,32.57,28.1,36.19
1976,33.7,29.58,30.36,41.03,50.43,45.58,34.71,30.5,37.45
1977,35.36,32.78,31.33,44.94,52.54,47.91,34.42,36.49,36.31
1978,31.61,31.13,33.63,39.63,49.93,44.59,36.87,29.57,40.3
1979,35.61,28.43,32.9,40.71,51.16,46.46,35.49,28.79,39.55
1980,33.42,30.16,33.65,39.37,49.61,44.98,34.12,29.93,38.21
1981,34.41,32.4,33.59,41.22,50.44,43.92,37.47,32.08,40.33
1982,32.0,28.59,30.5,40.89,51.85,45.78,35.54,30.46,38.18
1983,34.81,29.12,33.63,39.89,48.21,44.64,34.16,30.47,39.0
1984,31.35,29.58,32.75,38.67,49.43,44.05,35.28,28.82,39.88
1985,34.17,32.0,31.67,44.04,52.64,46.66,37.43,34.76,38.88
1986,35.15,32.92,34.14,42.91,50.82,45.44,37.88,33.61,41.06
1987,35.05,33.56,35.22,42.97,50.55,45.28,35.88,34.71,40.99
1988,33.83,31.27,33.04,39.96,48.83,44.04,34.88,31.61,39.07
1989,32.43,29.51,33.74,40.02,50.96,44.89,38.64,28.35,41.96
1990,34.08,30.45,33.92,41.82,51.44,46.83,37.55,31.4,40.91
